N	3gram	Berdyaev_M	Vvedenie
1	для того чтобы	4	22
2	в том что	3	15
3	о том что	3	13
4	не может быть	22	10
5	но также и	2	10
6	до сих пор	5	7
7	мере в какой	1	6
8	в той мере	1	6
9	в самом деле	1	6
10	той мере в	1	6
11	и т п	1	5
12	не что иное	4	5
13	что иное как	4	5
14	во всяком случае	1	5
15	и в том	1	4
16	по отношению к	4	4
17	с точки зрения	1	4
18	по сравнению с	2	4
19	можно было бы	1	4
20	не только в	2	4
21	в отличие от	1	4
22	т е в	1	4
23	в этом отношении	1	4
24	и в этом	1	4
25	вместе с тем	5	3
26	и в самом	3	3
27	в зависимости от	1	3
28	есть не что	3	3
29	с тем что	3	3
30	также и в	2	3
31	сама по себе	1	3
32	как будто бы	2	2
33	не в том	1	2
34	но не может	1	2
35	на том что	1	2
36	по своему значению	3	2
37	не до конца	2	2
38	хотя бы и	2	2
39	и той же	2	2
40	в начале xix	1	2
41	сам по себе	1	2
42	в центре внимания	1	2
43	смысле этого слова	1	2
44	в конце концов	3	2
45	потому что он	3	2
46	одной и той	2	2
47	подобно тому как	2	2
48	не могут быть	2	2
49	уже не только	2	2
50	после того как	2	2
51	может быть и	2	2
52	лишь в том	1	1
53	бы и не	1	1
54	может быть назван	3	1
55	быть и речи	1	1
56	вообще не существует	1	1
57	в глубине человеческой	1	1
58	слова а не	1	1
59	и это есть	1	1
60	тем что в	1	1
61	но если он	1	1
62	но и самый	1	1
63	человека в его	1	1
64	когда говорил что	1	1
65	он должен быть	1	1
66	одним из самых	1	1
67	но и в	4	1
68	в том только	1	1
69	от того что	4	1
70	в том смысле	2	1
71	и тогда когда	1	1
72	и вряд ли	2	1
73	быть у него	1	1
74	на самом деле	1	1
75	и в идеале	1	1
76	в одном отношении	1	1
77	как момент в	1	1
78	человека к человеку	3	1
79	его отношение к	2	1
80	но нужно сказать	1	1
81	вопрос о природе	1	1
82	он мог бы	1	1
83	не значит что	1	1
84	когда мы говорим	1	1
85	в этом втором	1	1
86	о чем они	1	1
87	только в этом	1	1
88	но на них	1	1
89	отношению к нему	1	1
90	и есть то	1	1
91	смысле в каком	2	1
92	нужно сказать что	1	1
93	в них не	1	1
94	не было бы	5	1
95	в его время	1	1
96	на этом пути	4	1
97	потому что она	2	1
98	деле то что	1	1
99	и в конце	2	1
100	принять участие в	1	1
101	потому что в	4	1
102	он был в	1	1
103	не потому что	1	1
104	не имеет своего	1	1
105	во всех его	1	1
106	прежде всего должен	1	1
107	т е своего	1	1
108	сомневаться в том	1	1
109	люди с их	1	1
110	не осталось ни	1	1
111	так же как	1	1
112	том смысле в	1	1
113	имеем в виду	1	1
114	в этом опыте	1	1
115	мы имеем в	1	1
116	том что в	1	1
117	превратить его в	1	1
118	и никогда не	3	1
119	не сам по	1	1
120	только в начале	1	1
121	в нем не	2	1
122	том что он	1	1
123	может быть названа	1	1
124	с разных сторон	1	1
125	того чтобы сделать	1	1
126	этот вопрос нужно	1	1
127	не может не	2	1
128	о человеке и	6	1
129	сих пор это	1	1
130	в ней есть	1	1
131	было бы назвать	1	1
132	в нем все	1	1
133	заключает в себе	3	1
134	имел в виду	1	1
135	к тому что	1	1
136	та или иная	1	1
137	каких и не	1	1
138	ни к какому	2	1
139	все это не	1	1
140	что в своей	1	1
141	себе путь к	1	1
142	а не только	3	1
143	том смысле что	1	1
144	только тогда когда	1	1
145	в значительной степени	2	1
146	это прежде всего	1	1
147	прежде всего в	2	1
148	друг для друга	2	1
149	на эту тему	1	1
150	что в центре	1	1
151	всего того что	1	1
152	смысле слова а	1	1
153	в нем есть	5	1
154	глубине человеческой природы	1	1
