N	2gram	Bakhtin_Pr	VrazhdaK
1	в году	1	18
2	у тургенева	2	11
3	в бесах	1	10
4	не только	26	9
5	достоевского с	8	9
6	и достоевского	1	9
7	в этом	40	8
8	достоевский и	3	8
9	и в	59	8
10	и что	2	8
11	достоевский в	10	8
12	что в	14	7
13	достоевского в	21	7
14	достоевского и	14	7
15	и все	4	7
16	но и	22	7
17	то что	21	7
18	к достоевскому	1	6
19	о нем	16	6
20	как и	21	6
21	и даже	4	6
22	и с	10	6
23	в романе	12	6
24	все же	9	6
25	в котором	6	6
26	в начале	3	6
27	в нем	38	6
28	но в	7	6
29	то же	15	5
30	у него	9	5
31	в россии	1	5
32	и не	66	5
33	между тем	5	5
34	об этом	4	5
35	в письме	1	5
36	не было	5	5
37	же время	10	5
38	в то	15	5
39	это не	13	4
40	при этом	5	4
41	несмотря на	7	4
42	с ним	13	4
43	для нас	3	4
44	все это	12	4
45	х годов	2	4
46	в виду	2	4
47	в своих	5	4
48	что он	16	4
49	достоевского не	18	4
50	письме к	1	4
51	уже в	9	4
52	у достоевского	35	4
53	о том	5	4
54	подпольного человека	1	4
55	в дневнике	1	4
56	может быть	38	4
57	в ней	8	4
58	в истории	3	4
59	как бы	40	4
60	так же	10	4
61	во многом	1	4
62	что достоевский	3	4
63	он считал	2	4
64	что у	5	3
65	русской литературе	2	3
66	в его	44	3
67	в том	17	3
68	имел в	1	3
69	достоевского к	5	3
70	сам достоевский	4	3
71	его в	6	3
72	связи с	1	3
73	но он	3	3
74	достоевского о	1	3
75	достоевский не	8	3
76	я не	7	3
77	и как	10	3
78	далеко не	3	3
79	тем что	5	3
80	ставрогина и	1	3
81	в чем	2	3
82	и у	6	3
83	в черновиках	1	3
84	в русской	3	3
85	о себе	12	3
86	человека в	8	3
87	эти слова	1	3
88	том что	15	3
89	в этот	2	3
90	он не	11	3
91	и уже	3	3
92	в конце	9	3
93	к творчеству	1	3
94	и о	5	3
95	наряду с	1	3
96	одним из	11	3
97	из подполья	14	3
98	в своем	12	3
99	с его	14	3
100	и его	21	3
101	к этому	6	3
102	который был	1	3
103	по нашему	5	3
104	и во	2	3
105	достоевский был	5	2
106	в той	9	2
107	таким образом	22	2
108	и то	1	2
109	ответ на	2	2
110	и он	3	2
111	в момент	4	2
112	время и	2	2
113	его с	2	2
114	к себе	2	2
115	и далее	1	2
116	с точки	21	2
117	для него	23	2
118	его и	4	2
119	лермонтова и	1	2
120	как раз	9	2
121	нашего времени	1	2
122	нашему убеждению	2	2
123	и достоевский	3	2
124	же не	1	2
125	роман достоевского	11	2
126	в них	5	2
127	как же	5	2
128	и наказания	2	2
129	же в	3	2
130	достоевского он	2	2
131	с князем	1	2
132	отношения к	4	2
133	его на	2	2
134	в мире	10	2
135	петра верховенского	1	2
136	их в	8	2
137	же как	5	2
138	в своей	17	2
139	рядом с	16	2
140	вместе с	2	2
141	так в	1	2
142	в известном	1	2
143	не менее	3	2
144	и это	5	2
145	в эту	1	2
146	на первый	1	2
147	еще не	11	2
