N	3gram	Savitsky_P	VLabPisa
1	и т д	1	16
2	не может быть	1	8
3	с другой стороны	1	8
4	более или менее	1	6
5	в том что	4	5
6	хотя бы и	1	5
7	в то же	7	5
8	то же время	7	5
9	вместе с тем	1	4
10	не было бы	1	4
11	в значительной мере	2	3
12	для того чтобы	1	3
13	и в то	2	3
14	та или иная	1	3
15	одной стороны и	2	2
16	во всяком случае	1	2
17	в том числе	2	2
18	не в том	1	2
19	чуть ли не	1	2
20	мы знаем что	1	2
21	том числе и	1	2
22	не только в	4	2
23	в частности в	1	2
24	с одной стороны	3	2
25	и не может	1	2
26	так же как	1	1
27	в применении к	1	1
28	но и в	2	1
29	в этом смысле	1	1
30	по сравнению с	1	1
31	заключает в себе	2	1
32	главным образом на	1	1
33	и тем более	1	1
34	сами по себе	3	1
35	но в то	1	1
36	в качестве общего	1	1
37	что во всех	1	1
38	в ней не	2	1
39	и есть в	1	1
40	эта не только	1	1
41	и в качестве	1	1
42	мы не будем	1	1
43	тот или иной	1	1
