N	3gram	Vinokur_Ku	Vladivir
1	в том что	23	29
2	вл соловьева к	1	25
3	о том что	6	22
4	тем не менее	9	18
5	что же касается	4	14
6	и то что	1	14
7	в письме к	1	13
8	дело в том	1	13
9	во всяком случае	8	12
10	в связи с	4	12
11	более или менее	3	11
12	в конце концов	3	11
13	к тому же	1	11
14	не может быть	5	10
15	в то же	4	10
16	вместе с тем	3	10
17	с точки зрения	16	10
18	в этом смысле	8	9
19	как раз и	1	9
20	на этот раз	1	9
21	то же время	4	9
22	а также и	1	8
23	на то что	3	8
24	точно так же	4	7
25	в свое время	4	7
26	в это время	1	7
27	так или иначе	3	6
28	само по себе	6	6
29	в данном случае	1	6
30	том что в	1	6
31	в отличие от	3	6
32	также и то	1	6
33	с другой стороны	12	6
34	в настоящее время	2	6
35	как мы видели	1	6
36	том что он	4	6
37	в году в	1	6
38	но даже и	2	5
39	и в то	1	5
40	и в его	1	5
41	бы то ни	1	5
42	и в том	2	5
43	и потому что	4	5
44	не говоря уже	2	5
45	не только в	4	5
46	что и в	1	5
47	можно сказать что	2	4
48	говоря уже о	1	4
49	для того чтобы	21	4
50	в этом отношении	8	4
51	сам по себе	1	4
52	и вместе с	1	4
53	что в этом	1	4
54	то это значит	1	4
55	и т д	21	4
56	в том чтобы	9	4
57	по крайней мере	11	4
58	заключается в том	2	4
59	в себе и	1	4
60	не что иное	2	4
61	вовсе не есть	1	4
62	можно было бы	11	4
63	что иное как	2	4
64	с одной стороны	2	4
65	также и в	1	4
66	еще и потому	1	4
67	ни в каком	2	3
68	по существу же	1	3
69	он уже не	1	3
70	хотя бы и	4	3
71	в самом деле	14	3
72	себе и представить	1	3
73	не в том	5	3
74	мы знаем что	2	3
75	в том случае	3	3
76	ничего общего с	2	3
77	свидетельствует о том	1	3
78	иметь в виду	1	3
79	а с другой	3	3
80	а в том	2	3
81	письмо вл соловьева	1	3
82	в последнее время	1	3
83	это вовсе не	1	3
84	к тому что	2	3
85	только то что	1	3
86	но это не	1	3
87	или иначе но	1	3
88	в свою очередь	4	3
89	не имеет никакого	1	3
90	так и не	1	3
91	несмотря на все	1	3
92	только в том	5	3
93	тем более что	1	3
94	хотя и не	1	3
95	мы видели выше	1	3
96	хотя бы на	2	3
97	и в частности	1	3
98	так что в	1	3
99	в первую очередь	3	3
100	у нас нет	1	3
101	и в смысле	1	3
102	что несмотря на	1	3
103	так же как	3	2
104	но только в	1	2
105	этот раз из	1	2
106	от того чтобы	1	2
107	и с его	1	2
108	но еще и	1	2
109	с ударением на	1	2
110	и не в	2	2
111	бы обратить внимание	1	2
112	и в таком	1	2
113	на том же	1	2
114	вовсе не был	1	2
115	так что здесь	1	2
116	сказать что для	1	2
117	в подлинном смысле	1	2
118	до некоторой степени	1	2
119	но все дело	1	2
120	так и в	2	2
121	до сих пор	5	2
122	есть не что	1	2
123	в этой области	3	2
124	для своего времени	1	2
125	но в том	2	2
126	то ни было	1	2
127	можно говорить и	1	2
128	но что же	1	2
129	свидетельствуют о том	1	2
130	до конца он	1	2
131	все дело в	1	2
132	не то что	1	2
133	что для нас	1	2
134	уже о том	1	2
135	те или иные	2	2
136	что можно сказать	2	2
137	при этом в	1	2
138	он так и	1	2
139	в том и	3	2
140	и тем не	4	2
141	вопрос об отношении	1	2
142	что это есть	1	2
143	то что его	1	2
144	а так как	1	2
145	но и здесь	1	2
146	на то как	1	2
147	тех пор пока	1	2
148	в самом этом	1	2
149	и притом не	1	2
150	отчет в том	1	2
151	а следовательно и	2	2
152	и даже в	1	2
153	ответ на это	1	2
154	об этом и	1	2
155	до тех пор	1	2
156	таким образом если	1	2
157	с а а	1	2
158	том что и	1	2
159	одно и то	1	2
160	и то же	1	2
161	да и то	1	2
162	с первого же	2	2
163	дать общую характеристику	1	2
164	главным образом в	1	2
165	в этом случае	4	2
166	что он называет	1	2
167	и то обстоятельство	2	2
168	в году но	1	2
169	с тем что	1	2
170	то обстоятельство что	15	2
171	и все же	1	2
172	том случае если	3	2
173	притом не только	1	2
174	до конца и	1	2
175	после того как	2	2
176	сводится к тому	2	2
177	может быть и	1	2
178	в каком отношении	1	1
179	народного просвещения и	1	1
180	а по существу	1	1
181	слов которые в	1	1
182	лишь в том	2	1
183	что очень часто	1	1
184	как раз на	2	1
185	от того кто	1	1
186	всей исторической жизни	1	1
187	бы и не	1	1
188	как и всякая	1	1
189	все то что	1	1
190	ясно что в	2	1
191	ни на минуту	1	1
192	что же это	1	1
193	прежде всего от	1	1
194	с ними и	1	1
195	был в свое	1	1
196	отнюдь не является	1	1
197	можно себе представить	1	1
198	а не с	1	1
199	в лондоне и	1	1
200	только в более	1	1
201	в этом роде	3	1
202	того чтобы не	1	1
