N	4gram	Savitsky_E	FransuaR
1	в то же время	14	55
2	но в то же	2	20
3	в том числе и	1	17
4	большей или меньшей степени	1	14
5	в большей или меньшей	1	14
6	дело в том что	1	13
7	и в то же	8	12
8	в той или иной	3	10
9	с одной стороны и	6	5
10	и до настоящего времени	1	4
11	в связи с этим	1	4
12	один и тот же	1	4
13	то же время в	1	4
14	одного и того же	1	3
15	той или иной степени	1	3
16	одна и та же	1	2
17	с точки зрения этих	1	2
18	с другой стороны в	1	2
19	можно сказать что в	2	2
20	заключается в том что	2	2
21	бы то ни было	4	2
22	на этот вопрос мы	1	2
23	и прежде всего в	1	2
24	мы можем сказать что	1	2
25	то же время не	1	2
26	и с точки зрения	1	2
27	так же как и	3	2
28	с одной стороны в	1	1
29	в гораздо большей степени	1	1
30	от плоти и кровь	1	1
31	большей степени чем в	1	1
32	в тех случаях когда	1	1
33	в то время как	1	1
34	так и по своей	1	1
35	плоть от плоти и	1	1
36	мы не находим в	1	1
37	было бы совершенно неправильно	1	1
38	в xviii и xix	1	1
39	имеют существенное значение в	1	1
40	и связанное с ним	1	1
41	в этом отношении особенно	1	1
42	в том случае если	1	1
43	плоти и кровь от	1	1
44	и примыкающих к ним	1	1
45	бы неправильно думать что	1	1
46	это может быть и	1	1
47	но не только в	1	1
48	то мы увидим что	1	1
49	на то или иное	1	1
50	xviii и xix веках	1	1
51	и кровь от крови	1	1
52	гораздо большей степени чем	1	1
53	было бы неправильно думать	1	1
54	не может дать ей	1	1
