N	2gram	Propp_Isto	Narrotol
1	не только	17	62
2	и не	19	50
3	при этом	4	47
4	но и	16	45
5	а не	5	38
6	в качестве	13	35
7	в частности	9	31
8	может быть	31	30
9	и в	44	30
10	в том	13	29
11	в этом	20	28
12	тогда как	1	28
13	своего рода	1	28
14	том что	12	28
15	а в	9	27
16	такого рода	2	26
17	представляет собой	8	25
18	только в	8	25
19	состоит в	1	25
20	в данном	3	24
21	как и	12	24
22	не в	11	23
23	то что	16	23
24	в тексте	1	22
25	не может	10	20
26	в себе	1	17
27	данном случае	2	17
28	так и	9	17
29	а также	5	17
30	со стороны	6	16
31	в его	16	16
32	к тому	1	15
33	можно сказать	2	15
34	но в	7	15
35	иначе говоря	1	15
36	в жизни	1	14
37	и его	15	14
38	то же	9	13
39	в своей	3	13
40	уже не	14	13
41	о том	11	13
42	в своем	3	13
43	у него	7	13
44	все же	17	12
45	сводится к	1	12
46	как в	11	12
47	перед нами	2	12
48	как бы	4	12
49	прежде всего	7	12
50	по отношению	2	11
51	об этом	6	11
52	к себе	3	11
53	хотя и	1	11
54	в мире	1	11
55	если бы	5	11
56	и тем	7	11
57	в этой	5	11
58	в нем	10	11
59	героя в	11	11
60	в отличие	1	11
61	отличие от	1	11
62	тем самым	2	11
63	отношению к	2	11
64	один из	6	10
65	как правило	2	10
66	никогда не	5	10
67	точки зрения	3	10
68	между тем	1	10
69	как это	5	10
70	в то	5	10
71	и все	4	10
72	не является	1	10
73	жизни и	4	10
74	с его	3	10
75	ничего не	4	10
76	того что	3	10
77	но не	8	10
78	в соответствии	1	9
79	тем не	6	9
80	отнюдь не	1	9
81	что в	18	9
82	с ним	9	9
83	что он	29	9
84	еще не	16	9
85	потому что	18	9
86	для него	2	9
87	далеко не	1	9
88	и к	3	8
89	в самом	1	8
90	в таком	2	8
91	о чем	6	8
92	не менее	6	8
93	большей части	1	8
94	не мог	3	8
95	одна из	6	8
96	он не	5	8
97	и он	9	8
98	самом деле	2	8
99	того чтобы	3	8
100	внимание на	1	8
101	мы имеем	22	8
102	же время	1	8
103	соответствии с	1	8
104	и для	3	8
105	в литературе	1	8
106	у нас	1	8
107	по большей	1	8
108	но при	2	8
109	у нее	1	8
110	или иной	1	8
111	в котором	2	7
112	с другой	11	7
113	пока еще	1	7
114	едва ли	1	7
115	в ее	4	7
116	на себя	4	7
117	в конце	1	7
118	в силу	7	7
119	и на	11	7
120	в форме	5	7
121	же в	3	7
122	в свою	3	7
