N	2gram	Losev_Dial	VeschiIm
1	т е	49	81
2	не есть	67	79
3	и не	51	57
4	вещи есть	3	55
5	не только	26	48
6	то что	25	48
7	не может	16	46
8	и в	35	45
9	вещи и	5	40
10	это –	38	40
11	и есть	20	40
12	и т	31	39
13	может быть	30	39
14	т д	28	38
15	а не	24	37
16	значит что	25	32
17	это значит	18	30
18	что я	5	26
19	общения с	1	25
20	потому что	23	25
21	не просто	19	24
22	было бы	14	24
23	только в	7	23
24	по себе	39	23
25	что она	18	23
26	в себе	23	23
27	с вещью	2	22
28	сказать что	19	22
29	в смысле	5	22
30	и что	17	22
31	как бы	19	20
32	что такое	13	20
33	и следовательно	7	20
34	что это	21	19
35	что же	5	19
36	с нею	3	19
37	но и	17	19
38	и ее	1	19
39	в этом	18	18
40	все же	9	18
41	есть только	9	18
42	так как	24	17
43	что мы	3	17
44	прежде всего	14	17
45	и это	6	17
46	и –	15	17
47	есть не	8	17
48	таким образом	5	16
49	оно есть	5	16
50	того что	6	16
51	как раз	7	16
52	от всего	2	15
53	как и	10	15
54	уже не	3	15
55	в том	20	15
56	в ней	4	15
57	– в	11	14
58	но это	12	14
59	и то	15	14
60	вещь есть	1	14
61	не в	12	14
62	в самом	6	13
63	не будет	2	13
64	том что	18	13
65	и больше	2	13
66	есть и	11	13
67	и для	2	13
68	это и	6	13
69	и явление	2	13
70	что в	19	12
71	и с	10	12
72	вещи как	1	12
73	то же	21	12
74	больше ничего	3	12
75	и даже	23	12
76	в вещи	2	12
77	есть нечто	16	12
78	есть то	2	12
79	о том	8	12
80	еще не	4	12
81	есть ни	7	12
82	не что	4	12
83	если мы	3	12
84	точки зрения	25	12
85	но если	6	12
86	она есть	12	12
87	ничего не	19	12
88	что они	8	12
89	что иное	4	12
90	ни было	2	12
91	не значит	6	12
92	совершенно не	13	12
93	что и	7	12
94	смысл вещи	2	12
95	между собою	3	12
96	и как	14	12
97	смысл и	6	12
98	вещей и	5	12
99	если она	4	12
100	иное как	4	12
101	и их	5	11
102	содержит в	6	11
103	не менее	5	11
104	себя в	2	11
105	д и	3	11
106	и пр	7	11
107	еще и	4	11
108	тем не	3	11
109	ни в	20	11
110	что не	13	11
111	вовсе не	19	11
112	– не	17	11
113	также и	7	11
114	в то	10	11
115	и только	5	11
116	вещи не	2	11
117	вещи в	4	10
118	по крайней	11	10
119	учение об	3	10
120	в чем	9	10
121	крайней мере	11	10
122	что оно	9	10
123	сама вещь	2	10
124	ясно что	11	10
125	вещь не	3	10
126	есть ли	3	10
127	я и	3	9
128	с ним	9	9
129	вещи –	1	9
130	в результате	2	9
131	со стороны	2	9
132	бы и	4	9
133	то и	3	9
134	хотя бы	6	9
135	нисколько не	7	9
136	говорить о	9	9
137	явление и	3	9
138	в своем	7	9
139	ни с	8	9
140	сущность и	1	9
141	должно быть	7	9
142	это не	18	9
143	есть явление	1	9
144	но что	10	9
145	бы в	3	9
146	ли это	4	9
147	она не	10	9
148	другими словами	2	9
149	так что	21	9
150	но не	9	9
151	на то	5	9
152	и его	6	9
153	как с	2	8
154	должна быть	5	8
155	это есть	13	8
156	если бы	12	8
157	смысла и	3	8
158	с тем	2	8
159	что он	16	8
160	себя и	1	8
161	отличается от	3	8
162	– как	6	8
163	действительность и	1	8
164	по сравнению	2	8
165	что тут	5	8
166	но в	8	8
167	тут не	5	8
168	мы не	1	8
169	что значит	1	8
170	мы имеем	4	8
171	для него	2	8
172	в ее	3	8
173	все это	14	8
174	с другими	2	8
175	в отношении	5	8
176	его в	3	8
177	указывает на	3	8
178	всего прочего	1	8
179	только и	5	8
180	и потому	6	8
181	не с	5	8
182	даже не	4	8
183	с другой	10	8
184	можно сказать	10	8
185	что есть	2	8
186	и сущность	1	8
187	отнюдь не	13	8
188	значит ли	2	7
189	с этой	3	7
190	в сущности	2	7
191	то не	4	7
192	оно не	2	7
193	самом деле	6	7
194	вещь в	1	7
195	все эти	4	7
196	тем что	2	7
197	сравнению с	2	7
198	ни на	8	7
199	относится к	2	7
200	и тогда	4	7
201	слова и	1	7
202	тут –	5	7
203	с самой	1	7
204	не потому	5	7
205	можно ли	3	7
206	рационализма и	1	7
207	без всякого	3	7
208	мог бы	3	7
209	никак не	6	7
210	и тут	6	7
211	или не	5	7
212	вообще не	2	7
213	сама по	12	7
214	я не	9	7
215	есть именно	1	7
216	вещь но	2	7
217	и тем	2	7
218	е в	3	7
219	ни от	2	7
220	от того	2	7
221	а в	8	7
222	из них	5	7
223	с чем	2	7
224	необходимо чтобы	2	7
225	и нечто	3	7
226	можно только	4	7
227	в той	4	6
228	с полной	1	6
229	в разных	6	6
230	есть сама	2	6
231	и позитивизма	1	6
232	мы говорим	6	6
233	оно –	4	6
234	она –	9	6
235	их в	2	6
236	в своей	9	6
237	с собою	1	6
238	в каком	10	6
239	в данном	5	6
240	а если	1	6
241	в одном	4	6
242	вообще но	1	6
243	и до	2	6
244	как только	4	6
245	как я	3	6
246	момент в	2	6
247	одна из	1	6
248	ее не	1	6
249	вопрос о	3	6
250	в сфере	2	6
251	и значит	4	6
252	тут мы	2	6
253	действительность есть	4	6
254	на почве	2	6
255	от вещи	1	6
256	для всякого	2	6
257	несмотря на	12	6
258	с точки	18	6
259	есть просто	6	6
260	эти две	1	6
261	все равно	7	6
262	как же	8	6
263	или иначе	3	6
264	дело в	1	6
265	быть только	3	6
266	и другое	3	6
267	между ними	1	6
268	и вещи	1	6
269	и бытия	4	6
270	если я	1	6
271	в нем	25	6
272	и вообще	10	6
273	так или	3	6
274	бытие и	2	6
275	должны быть	2	6
276	одно и	8	6
277	ни просто	1	6
