N	3gram	Medvedev_V	Sotsiolo
1	по отношению к	7	2
2	дело не в	1	2
3	только в этом	1	2
4	в том что	5	2
5	но ведь это	1	2
6	в конце концов	2	2
7	не в том	2	2
8	это и есть	3	1
9	и в то	3	1
10	в то же	5	1
11	прежде всего не	2	1
12	а между тем	1	1
13	что в них	1	1
14	в конечном счете	5	1
15	между собой не	1	1
16	с одной стороны	2	1
17	и мы не	1	1
18	в связи с	4	1
19	то же самое	1	1
20	чуть ли не	2	1
21	то что в	1	1
22	главным образом в	1	1
23	по крайней мере	2	1
24	по себе из	1	1
25	о том как	3	1
26	в этой области	3	1
27	то же время	5	1
28	в противном случае	2	1
29	только то что	2	1
30	в любой области	1	1
31	сама по себе	1	1
32	это вовсе не	1	1
33	во всяком случае	2	1
34	а в том	1	1
35	не может не	2	1
36	именно в том	1	1
37	себе из себя	1	1
38	не было бы	4	1
