N	3gram	Tiupa_Anal	DiskursI
1	в том что	13	28
2	в отличие от	8	26
3	по отношению к	9	17
4	с одной стороны	6	14
5	не может быть	17	12
6	в данном случае	3	12
7	по природе своей	3	10
8	то же время	7	10
9	той или иной	8	10
10	о том что	8	9
11	в то же	9	8
12	состоит в том	6	8
13	в этом отношении	5	8
14	как и в	2	7
15	и все же	2	7
16	в конечном счете	5	6
17	не сводится к	2	6
18	в соответствии с	2	6
19	к тому же	6	6
20	по крайней мере	4	6
21	с точки зрения	6	6
22	в основе своей	2	6
23	и как бы	1	5
24	несет в себе	1	5
25	то же самое	3	5
26	с другой стороны	2	5
27	в первую очередь	1	5
28	в значительной степени	1	5
29	присутствия в мире	3	5
30	в свою очередь	1	5
31	по своей природе	1	5
32	что же касается	1	5
33	не только в	3	5
34	подобно тому как	5	5
35	до известной степени	1	4
36	тем не менее	3	4
37	можно сказать что	1	4
38	в силу своей	3	4
39	сказать и о	1	4
40	не в том	3	4
41	в частности в	2	4
42	одного и того	2	4
43	в полной мере	3	4
44	а с другой	1	4
45	и того же	2	4
46	не более чем	4	4
47	и не может	4	4
48	в свое время	3	4
49	со стороны адресата	1	4
50	в этом случае	4	4
51	однако при этом	1	4
52	как будто бы	1	3
53	в сочетании с	7	3
54	говоря уже о	1	3
55	по своей коммуникативной	1	3
56	во внешнем мире	2	3
57	в том числе	3	3
58	и вследствие этого	1	3
59	более или менее	2	3
60	и то же	2	3
61	того или иного	3	3
62	в том случае	1	3
63	как правило не	2	3
64	в качестве коммуникативного	1	3
65	в обоих случаях	2	3
66	по аналогии с	1	3
67	том числе и	1	3
68	может претендовать на	1	3
69	в равной степени	2	3
70	на первый взгляд	1	3
71	а не в	3	3
72	мы имеем дело	7	3
73	не может претендовать	1	3
74	по этой причине	2	3
75	то есть в	2	3
76	места времени и	1	3
77	креативной и рецептивной	1	3
78	текста а не	3	3
79	ивана петровича белкина	1	3
80	не говоря уже	1	3
81	в мире в	1	3
82	и в частности	1	3
83	одно и то	2	3
84	содержит в себе	3	3
85	в себе не	1	3
86	во всяком случае	1	3
87	качестве коммуникативного события	1	3
88	также и в	1	3
89	как уже говорилось	3	3
90	из виду что	1	2
91	следует понимать как	2	2
92	мере в какой	2	2
93	той причине что	1	2
94	в его событийной	1	2
95	бы то ни	3	2
96	остановись мгновенье ты	1	2
97	в той мере	2	2
98	науках о природе	1	2
99	субъекта объекта и	1	2
100	объекта и адресата	1	2
101	как и его	1	2
102	как ценностного центра	2	2
103	в е годы	1	2
104	коммуникативного события в	2	2
105	и представляет собой	4	2
106	самого рассказывания в	1	2
107	не совпадает с	1	2
108	сами по себе	3	2
109	далеко не всегда	2	2
110	по той причине	1	2
111	событий тогда как	1	2
112	науке о литературе	1	2
113	ни о чем	1	2
114	речь идет о	1	2
115	событие самого рассказывания	2	2
116	в немалой степени	1	2
117	большей или меньшей	4	2
118	а в том	1	2
119	той мере в	2	2
120	оказывается своего рода	1	2
121	то ни было	3	2
122	как коммуникативного события	1	2
123	в новом качестве	1	2
124	при этом как	1	2
125	значении этого слова	7	2
126	мгновенье ты прекрасно	1	2
127	а не только	2	2
128	говорящий или пишущий	1	2
129	в ряду всех	1	2
130	в данной сфере	1	2
131	жизнью и смертью	1	2
132	представляет собой не	1	2
133	в науке о	1	2
134	в том и	2	2
135	и тем же	1	2
136	принципиально не может	1	2
137	не удивительно что	2	2
138	мысль о том	1	2
139	до сего времени	1	2
140	могла бы быть	1	2
141	но в качестве	1	2
142	ни прибавить ни	1	2
143	дело не с	2	2
144	времени и действия	1	2
145	не столько в	1	2
146	но и в	3	2
147	в том чтобы	7	2
148	обратим внимание на	1	2
149	я на дорогу	1	2
150	уже было сказано	1	2
151	событием самого рассказывания	1	2
152	наиболее очевидным образом	1	2
153	так и не	5	2
154	говорящего и слушающих	1	2
155	здесь как и	1	2
156	участников коммуникативного события	1	2
157	как уже было	1	2
158	все же не	1	2
159	в науках о	1	2
160	только в том	1	2
161	и той же	1	2
162	с той или	2	2
163	одним и тем	1	2
164	имеем дело не	1	2
165	прибавить ни убавить	1	2
166	один я на	1	2
167	я в мире	2	2
168	включает в себя	1	2
169	одной и той	1	2
170	по своей жанровой	1	2
171	но отнюдь не	2	2
172	своего присутствия в	1	2
173	и состоит что	1	2
174	и то что	1	2
175	далеко не всякая	1	2
176	совмещает в себе	1	2
177	и т.д в	2	2
178	тех случаях когда	1	2
179	так и на	1	2
180	том случае если	1	2
181	из того же	1	2
182	дискурса состоит в	1	2
183	это отнюдь не	1	2
184	в тех случаях	1	2
185	едва ли не	1	2
186	в начале х	2	2
187	прежде всего в	2	2
188	упускать из виду	2	2
189	все того же	2	2
190	выхожу один я	1	2
191	ничего не происходит	1	2
192	адресата при этом	1	2
193	не случайным в	1	1
194	героя как ценностного	2	1
195	лишь в том	3	1
196	на руку его	1	1
197	организация художественного времени	1	1
198	в той или	3	1
199	на этом фоне	1	1
200	как и во	1	1
201	которое не может	1	1
202	трех говорящего автора	1	1
203	жизненного поведения в	1	1
204	пространство общения со-общения	1	1
205	самое следует сказать	1	1
206	читателя и того	1	1
207	концентрирует внимание на	2	1
208	о котором рассказано	1	1
209	формах внутренней речи	2	1
210	при обращении к	1	1
211	и дискурс трактует	1	1
212	этот принципиально не	1	1
213	человека в мире	1	1
214	оденьте его и	1	1
215	в современной передаче	1	1
216	в недискурсивных формах	1	1
217	говорит не о	1	1
218	рецептивной и креативной	1	1
219	в специальном значении	1	1
220	ничего нельзя не	1	1
221	в себе в	1	1
222	и даже не	1	1
223	и тем самым	2	1
224	в композиционной форме	1	1
225	объект и адресат	1	1
226	о том как	1	1
227	в применении к	1	1
228	и искушенность в	1	1
229	уже не могут	1	1
230	такой же мере	1	1
231	отнюдь не является	1	1
232	или лирического героя	1	1
233	и дайте перстень	1	1
234	ни чисто внутренним	1	1
235	знаковую данность чьего-то	1	1
236	к другому в	1	1
237	имеет место но	1	1
238	мир оправдан существованием	1	1
239	на наш взгляд	6	1
240	факторов художественного впечатления	8	1
241	читателя но в	1	1
242	в этом смысле	3	1
243	мир эксцессов и	1	1
244	не следует упускать	1	1
245	но и на	1	1
246	то или иное	1	1
247	не было и	1	1
248	крайней мере в	1	1
249	одни и те	2	1
250	и внезакономерных явлениях	1	1
251	хотя бы и	1	1
252	дело не в	2	1
253	дело с двумя	2	1
254	в самом деле	3	1
255	не только его	1	1
256	произведение в его	1	1
257	может трактоваться в	1	1
258	для того чтобы	3	1
259	недискурсивных формах внутренней	1	1
260	было и не	1	1
261	но в таком	1	1
262	эксцессов и аномалий	1	1
263	царских детях покидающих	1	1
264	множества преданий о	1	1
265	иначе говоря мы	1	1
266	с ним в	1	1
267	убедительно возводит к	1	1
268	последнюю роль в	1	1
269	свидетельствует о том	1	1
270	себе они таковыми	1	1
271	и социальные характеристики	1	1
272	обнаруживает себя в	2	1
273	в качестве основных	1	1
274	употребление языка и	1	1
275	в таком случае	5	1
276	полноты и неизбыточности	2	1
277	в своем составе	1	1
278	во втором случае	1	1
279	событие о котором	1	1
280	так или иначе	1	1
281	однако в силу	1	1
282	же касается самого	1	1
283	преданий о царских	1	1
284	сам по себе	1	1
285	личностные и социальные	1	1
286	не упускать из	1	1
287	сознания с текстом	1	1
288	таком взгляде на	1	1
289	не сделав хуже	1	1
290	внезакономерных явлениях а	1	1
291	до сих пор	1	1
292	том что бывает	1	1
293	начале х годов	2	1
294	к своему собственному	1	1
295	тому как мы	1	1
296	и до его	1	1
297	есть она сама	1	1
298	следует упускать из	1	1
299	в такой же	1	1
300	продукт социального взаимодействия	1	1
301	дайте перстень на	1	1
302	героя нашего времени	2	1
303	в отношении к	1	1
304	потому что из	1	1
305	текста но и	1	1
306	на всем протяжении	1	1
307	покидающих свою родину	1	1
308	и событие самого	1	1
309	автора тогда как	1	1
310	приобретают вид сюжетных	1	1
311	характеристики другие аспекты	1	1
312	нельзя не сделав	1	1
313	но прежде всего	1	1
314	между тем как	2	1
315	мира вокруг я	2	1
316	в собственном значении	2	1
317	может быть сведена	1	1
318	социального взаимодействия трех	1	1
319	исходя из того	2	1
320	лирического героя в	1	1
321	совпадает с синтаксическим	1	1
322	никогда не бывает	1	1
323	о чем говорят	1	1
324	по себе они	1	1
325	произведения в том	1	1
326	тех или иных	3	1
327	тому или иному	2	1
328	чувство себя самого	1	1
329	нас самих состоят	1	1
330	и таким образом	1	1
331	состоит именно в	1	1
332	в их взаимодополнительности	1	1
333	в разные времена	1	1
334	в том или	3	1
335	их личностные и	1	1
336	вневременных бесконечно репродуцируемых	1	1
337	человеческого я в	1	1
338	они таковыми не	1	1
339	единицы речевого общения	1	1
340	внутренней недискурсивной речи	1	1
341	фраза текста акцентирует	1	1
342	не принадлежащих к	1	1
343	к предмету речи	2	1
344	постановки вопроса о	1	1
345	вид сюжетных сами	1	1
346	и остается в	1	1
347	вокруг я героя	2	1
348	следует сказать и	1	1
349	мы и сами	1	1
350	здесь средняя длина	1	1
351	участвуем как слушатели-читатели	1	1
352	общения со-общения при-общения	1	1
353	и слушающих их	1	1
354	не только на	1	1
355	по рассуждению бахтина	1	1
356	есть не что	4	1
357	еще в е	1	1
358	следует указать на	1	1
359	и в пределах	2	1
360	автором и читателем	1	1
361	и сами участвуем	1	1
362	принципе не может	1	1
363	своего рода фундамент	1	1
364	петровича белкина изданные	1	1
365	акте художественного восприятия	1	1
366	и т.п и	1	1
367	имеет дело с	1	1
368	это всего лишь	1	1
369	литературное произведение в	1	1
370	как раз и	2	1
371	что из нас	1	1
372	связи и отношения	1	1
373	высказывания необходимо войти	1	1
374	в связи с	2	1
375	своей жанровой стратегии	1	1
376	в произведении и	1	1
377	оно представляет собой	1	1
378	на этот раз	1	1
379	другие аспекты социальной	1	1
380	то есть без	1	1
381	в рассказе чехова	1	1
382	и того о	1	1
383	они трактовали не	1	1
384	не случайно и	1	1
385	же время они	1	1
386	всем потому что	1	1
387	в организации сюжета	1	1
388	об одном из	1	1
389	коммуникативного события дискурса	1	1
390	другого в себе	2	1
391	слушающего читателя и	1	1
392	и в качестве	1	1
393	в качестве своего	2	1
394	покойного ивана петровича	1	1
395	или во всяком	1	1
396	из того что	3	1
397	или иного рода	1	1
398	не случайно напоминает	1	1
399	чтобы воцариться в	1	1
400	родину чтобы воцариться	1	1
401	не являлись они	1	1
402	следует думать что	1	1
403	в равной мере	2	1
404	при таком взгляде	1	1
405	в молчание бахтин	1	1
406	может быть описано	2	1
407	принесите лучшую одежду	1	1
408	говорящий не адам	1	1
409	при-общения раз-общения которое	1	1
410	и в тексте	1	1
411	встрече сознания с	1	1
412	внешней и внутренней	1	1
413	в принципе не	3	1
414	полном соответствии с	1	1
415	и в этом	4	1
416	в этом последнем	1	1
