N	2gram	Medvedev_U	Dialekti
1	не есть	2	181
2	и не	8	120
3	по себе	2	79
4	а не	10	78
5	и в	14	77
6	может быть	6	71
7	не только	10	66
8	то что	7	59
9	это значит	1	54
10	ничего не	2	54
11	не может	7	53
12	и даже	1	47
13	и что	1	42
14	в том	2	40
15	в этом	7	39
16	то же	5	39
17	что такое	4	39
18	что она	2	38
19	в себе	2	38
20	что он	2	37
21	том что	2	37
22	прежде всего	8	37
23	это не	3	36
24	что в	1	34
25	в нем	1	34
26	и все	1	33
27	того что	1	33
28	но и	4	32
29	все это	5	31
30	сказать что	1	30
31	отнюдь не	1	30
32	было бы	3	29
33	так и	1	29
34	как и	3	28
35	никогда не	1	27
36	в виду	1	26
37	крайней мере	2	26
38	не в	2	26
39	по крайней	2	26
40	и то	3	25
41	но это	2	24
42	если бы	2	24
43	таким образом	2	23
44	в то	3	23
45	но что	1	22
46	должна быть	2	21
47	она не	1	21
48	и с	2	20
49	о том	1	20
50	что и	2	20
51	что все	2	20
52	в таком	1	20
53	только в	2	20
54	уже не	1	20
55	как раз	2	20
56	в самом	2	19
57	не существует	1	19
58	в своем	1	19
59	и это	1	19
60	тогда когда	1	19
61	что мы	2	19
62	же время	3	18
63	хотя бы	5	18
64	с другой	4	18
65	что же	1	18
66	можно сказать	1	17
67	должно быть	1	17
68	но если	1	17
69	сам по	1	16
70	само по	1	16
71	в своей	3	16
72	конечно не	4	16
73	мы не	2	16
74	об этом	1	16
75	все же	3	15
76	как таковой	2	15
77	самом деле	2	15
78	в виде	1	15
79	на то	1	15
80	даже и	2	14
81	не было	1	14
82	и потому	1	14
83	и только	5	14
84	другой стороны	3	13
85	не то	1	13
86	он не	1	13
87	но в	3	13
88	в ней	1	13
89	но не	2	12
90	даже не	1	12
91	могут быть	2	12
92	не могут	2	12
93	тем более	1	12
94	в данном	1	11
95	быть в	1	11
96	не о	3	11
97	тех или	2	11
98	не значит	1	11
99	есть ли	1	11
100	мы имеем	1	11
101	одно из	1	10
102	только как	1	10
103	и для	2	10
104	что для	1	10
105	за пределы	1	10
106	то и	1	10
107	в его	2	10
108	в их	4	10
109	это было	2	10
110	в частности	3	10
111	или по	1	9
112	не как	3	9
113	в котором	1	9
114	превращается в	2	9
115	мы можем	1	9
116	же как	1	9
117	бы в	1	9
118	той же	1	9
119	всех этих	2	9
120	вот почему	7	8
121	так то	1	8
122	нет и	1	8
123	с одной	1	8
124	ни от	2	8
125	этом смысле	2	8
126	в этой	4	8
127	или иначе	1	8
128	в сфере	1	8
129	у нас	3	8
130	бы и	2	8
131	как таковая	1	8
132	бы только	1	8
133	все что	1	7
134	мы и	2	7
135	тем что	2	7
136	мы получаем	2	7
137	но он	1	7
138	на первый	2	7
139	как на	1	7
140	но для	1	7
141	в конце	2	7
142	то ни	3	7
143	тут мы	1	7
144	его как	1	7
145	из которых	1	7
146	так или	1	7
147	с его	2	7
148	что этот	1	7
149	она должна	1	7
150	религии и	1	6
151	о чем	2	6
152	у пушкина	1	6
153	более или	1	6
154	одной стороны	1	6
155	если нет	1	6
156	она в	1	6
157	в которой	1	6
158	как таковое	1	6
159	именно как	2	6
160	где же	1	6
161	друг другу	1	6
162	с тем	1	6
163	есть слово	1	6
164	о котором	1	6
165	для него	3	6
166	о нем	1	6
167	того как	1	6
168	ее в	1	6
169	по существу	2	6
170	или менее	1	6
171	бы ни	1	6
172	и прежде	1	6
173	для этого	3	6
174	в той	1	5
175	до сих	2	5
176	что по	1	5
177	их в	1	5
178	и истории	1	5
179	об ее	1	5
180	но даже	2	5
181	от смысла	1	5
182	есть конечно	1	5
183	к этому	1	5
184	все в	1	5
185	все его	1	5
186	в качестве	1	5
187	что под	1	5
188	в понятии	1	5
189	и у	2	5
190	сих пор	2	5
191	но тут	1	5
192	независимо от	1	5
193	почти не	1	5
194	и так	1	5
195	состоит из	1	5
196	в течение	1	5
197	во мне	1	5
198	он может	1	5
199	невозможна без	1	5
200	а это	1	5
201	он и	1	5
202	что с	1	5
203	без этого	1	5
204	же не	2	5
205	бы это	1	5
206	в области	3	5
207	только к	3	5
208	первый план	1	5
209	надо было	2	5
210	конце концов	2	5
211	объекта и	1	4
212	есть наука	1	4
213	нас в	2	4
214	равно как	1	4
215	из самых	1	4
216	его на	1	4
217	только для	1	4
218	говорить не	1	4
219	в этот	1	4
220	и этого	1	4
221	бы то	3	4
222	время не	1	4
223	у него	1	4
224	если не	2	4
225	и является	2	4
226	а как	2	4
227	это уже	2	4
228	что угодно	1	4
229	он будет	1	4
230	связанные с	1	4
231	в словах	1	4
232	поэзии и	1	4
233	быть не	1	4
234	это же	1	4
235	но именно	1	4
236	данном случае	1	4
237	этом отношении	2	4
238	и эта	1	4
239	и эстетической	1	4
240	человека и	1	4
241	же самое	2	4
242	же в	1	4
243	что было	1	3
244	для всех	2	3
245	очевидно что	3	3
246	никогда и	1	3
247	ней не	1	3
248	тех кто	1	3
249	в некоторых	2	3
250	форму и	2	3
