N	4gram	Bakhtin_Fr	Vladivir
1	дело в том что	2	11
2	в то же время	12	9
3	не что иное как	1	4
4	в своем учении о	1	3
5	на самом же деле	1	3
6	как мы уже сказали	1	3
7	о том что он	1	3
8	с начала и до	4	3
9	начала и до конца	4	3
10	заключается в том что	1	3
11	все дело в том	1	2
12	с одной стороны и	1	2
13	не имеет ничего общего	1	2
14	не подлежит никакому сомнению	1	2
15	имеет ничего общего с	1	2
16	но в то же	3	2
17	и то обстоятельство что	1	2
18	есть не что иное	1	2
19	в этом смысле оно	1	1
20	взятый сам по себе	1	1
21	а также и о	1	1
22	в конце года он	1	1
23	а за ними и	1	1
24	за то что тот	1	1
25	у него были и	1	1
26	как мы сейчас увидим	2	1
27	мы уже знаем что	1	1
28	и те и другие	2	1
29	в конце концов и	1	1
30	в конце концов в	1	1
31	о том что в	1	1
32	нужно прибавить что и	1	1
33	то же время и	1	1
34	в июле года он	1	1
35	на другой день после	1	1
36	в виду вовсе не	1	1
