N	4gram	Berdyaev_N	Problema
1	в то время как	1	12
2	в том числе и	1	4
3	так же как и	1	4
4	одного и того же	1	3
5	и вместе с тем	1	3
6	это не значит что	2	3
7	когда мы говорим что	1	3
8	и до сих пор	1	1
9	вступает в свои права	1	1
10	том и заключается что	2	1
11	в этом смысле о	1	1
12	в том и заключается	2	1
13	в такой же мере	1	1
14	с другой же стороны	1	1
15	нужно помнить что в	1	1
16	споры о том что	1	1
17	в том случае если	1	1
18	и должно быть в	1	1
19	не только потому что	1	1
20	xix и xx веков	3	1
21	когда мы говорим о	1	1
22	можно было бы сказать	1	1
23	в этом ничем не	1	1
