N	3gram	Vinokur_St	VLabPisa
1	и т д	25	16
2	в этом отношении	13	14
3	в письме к	5	11
4	и т п	11	9
5	не может быть	5	8
6	с другой стороны	8	8
7	по отношению к	3	7
8	по этому поводу	4	7
9	более или менее	2	6
10	в том что	29	5
11	в процессе работы	1	5
12	хотя бы и	2	5
13	в зависимости от	2	5
14	в то же	5	5
15	то же время	5	5
16	в одном из	4	4
17	вместе с тем	2	4
18	к тому что	4	4
19	о том как	1	3
20	для того чтобы	13	3
21	о том что	19	3
22	в этой области	5	3
23	и в то	1	3
24	хотя бы в	1	3
25	как это делает	1	3
26	на эти вопросы	3	2
27	во всяком случае	8	2
28	том отношении что	2	2
29	в том чтобы	1	2
30	по крайней мере	2	2
31	в чем же	1	2
32	и в другом	1	2
33	одном из писем	2	2
34	в том числе	3	2
35	нет никаких оснований	1	2
36	не в том	3	2
37	таким образом в	1	2
38	но и он	1	2
39	чуть ли не	2	2
40	до сих пор	12	2
41	не только не	2	2
42	иметь в виду	2	2
43	в конце концов	2	2
44	том числе и	2	2
45	не только в	4	2
46	во всех этих	1	2
47	в каждом отдельном	1	2
48	и никогда не	1	2
49	из писем к	2	2
50	не может не	1	2
51	каждой из этих	1	2
52	т е в	3	2
53	только в том	3	2
54	в том отношении	4	2
55	только то что	1	2
56	в другом месте	1	2
57	с одной стороны	2	2
58	также и в	1	2
59	можно было бы	8	2
60	после того как	5	2
61	и не может	1	2
62	так же как	5	1
63	у пушкина в	1	1
64	что он не	5	1
65	поводу легенды о	1	1
66	но ведь это	1	1
67	представляет собою особенно	1	1
68	сих пор не	1	1
69	в той или	1	1
70	в этой системе	1	1
71	этому поводу с	1	1
72	этого образа в	1	1
73	имеет ничего общего	2	1
74	как увидим ниже	1	1
75	своем рассказе о	1	1
76	некоторые из них	1	1
77	в том же	3	1
78	отношении что они	2	1
79	того или иного	4	1
80	т е не	2	1
81	как будто бы	1	1
82	в конце года	1	1
83	той или иной	1	1
84	этой области не	1	1
85	т е тот	1	1
86	бы совершенно неосновательно	1	1
87	в применении к	3	1
88	и в ту	1	1
89	том смысле что	2	1
90	обратил внимание на	1	1
91	очень близко к	1	1
92	на то что	5	1
93	но и в	2	1
94	в ту же	1	1
95	в том смысле	4	1
96	понимать в том	1	1
97	в этом смысле	2	1
98	по сравнению с	1	1
99	его собственному признанию	1	1
100	в результате этого	1	1
101	и в результате	1	1
102	в том случае	1	1
103	может быть даже	1	1
104	из них и	2	1
105	т е из	1	1
106	а не по	1	1
107	и без того	1	1
108	то время как	1	1
109	в печатном тексте	1	1
110	мы говорим о	1	1
111	в которой он	1	1
112	в этом случае	3	1
113	ту или иную	1	1
114	говоря уже о	2	1
115	дело не в	2	1
116	то что в	3	1
117	в самом деле	7	1
118	пушкину и в	1	1
119	таким образом уже	1	1
120	не значит что	3	1
121	что в своем	3	1
122	творческих сил в	1	1
123	в статье о	3	1
124	прежде всего необходимо	1	1
125	в то время	2	1
126	об этом у	1	1
127	могло бы быть	1	1
128	а между тем	2	1
129	но даже и	1	1
130	и то же	1	1
131	на этот вопрос	2	1
132	говорит о том	3	1
133	на почве этих	1	1
134	дают возможность поднять	1	1
135	не говоря уже	2	1
136	так или иначе	3	1
137	сами по себе	2	1
138	к этому и	1	1
139	горя от ума	1	1
140	может быть никакого	1	1
141	того как он	1	1
142	ничего общего с	3	1
143	следует подчеркнуть что	1	1
144	в известном письме	1	1
145	известном письме к	1	1
146	ту же ночь	1	1
147	для правильного понимания	1	1
148	ответ на этот	1	1
149	одно и то	1	1
150	что он в	1	1
151	но в то	2	1
152	выйти за пределы	1	1
153	то или иное	3	1
154	все это имеет	1	1
155	то все же	1	1
156	оснований видеть в	1	1
157	в прямом смысле	2	1
158	спорного и просто	1	1
159	по меньшей мере	3	1
160	том что и	1	1
161	том же духе	1	1
162	и вместе с	1	1
163	от ума и	1	1
164	жанровых особенностей и	1	1
165	если бы все	1	1
166	очевидно что для	1	1
167	еще не означает	1	1
168	по его собственному	1	1
169	быть и речи	1	1
170	в соответствии с	1	1
171	в данном случае	7	1
172	даже и в	1	1
173	никаких оснований видеть	1	1
174	говорит об этом	2	1
175	именно в том	1	1
176	а в том	1	1
177	к тому же	2	1
178	и по отношению	1	1
179	см хотя бы	1	1
180	не имеет ничего	2	1
181	может быть признана	1	1
182	же как и	1	1
183	которая должна быть	1	1
184	действительному положению вещей	1	1
185	уже о том	2	1
186	и он отстаивает	1	1
187	можно ли считать	1	1
188	вот несколько примеров	2	1
189	было бы совершенно	1	1
190	это вовсе не	1	1
191	по его мнению	1	1
192	этом случае она	1	1
193	но все же	3	1
194	т д но	4	1
195	нет ни одного	2	1
196	его работе над	1	1
197	вопрос о том	4	1
198	ответа на эти	1	1
199	нельзя не признать	1	1
200	по поводу легенды	1	1
201	в виду что	1	1
202	в своем рассказе	1	1
203	и речи о	1	1
204	имеем дело с	2	1
205	те или иные	1	1
206	мы имеем дело	1	1
207	но с другой	2	1
208	и это самое	1	1
209	может быть и	2	1
