N	4gram	Medvedev_V	TeoriaLi
1	в то же время	5	8
2	имеем в виду не	1	3
3	не следует смешивать с	1	3
4	в том числе и	2	2
5	с этой точки зрения	1	2
6	одно и то же	1	2
7	но в то же	1	2
8	приводит к тому что	2	2
9	и в то же	3	2
10	следует иметь в виду	2	1
11	по слову вяч иванова	1	1
12	как один из видов	1	1
13	в виду что в	1	1
14	иметь в виду что	1	1
15	как это происходит в	1	1
16	может быть определена как	1	1
17	и по отношению к	1	1
18	духовной жизни личности и	1	1
19	с одной стороны и	2	1
20	в одном и том	1	1
21	той или иной мере	1	1
22	в том случае если	1	1
23	одном и том же	2	1
24	в той или иной	1	1
25	не может быть и	1	1
26	мы имеем дело с	1	1
27	том или ином отношении	1	1
28	есть в конечном счете	1	1
29	в том или ином	1	1
