N	2gram	Savitsky_P	VelikijI
1	и не	12	20
2	и в	14	16
3	то что	4	9
4	в истории	1	8
5	еще не	1	8
6	и потому	4	7
7	а не	2	7
8	не есть	1	6
9	что есть	1	5
10	хотя и	3	5
11	того что	2	5
12	все это	2	5
13	как бы	4	5
14	на себя	1	5
15	в мире	2	5
16	но и	6	5
17	в котором	4	4
18	в этом	10	4
19	что мы	3	4
20	о смысле	1	4
21	потому что	3	4
22	в его	2	4
23	в ней	6	4
24	говорить о	2	4
25	с богом	1	4
26	мы хотим	1	4
27	и есть	2	4
28	что не	1	4
29	что все	1	4
30	как и	1	4
31	и я	1	4
32	в нем	3	4
33	во всех	2	3
34	что в	4	3
35	нет ничего	1	3
36	бы и	1	3
37	и мы	2	3
38	должно быть	2	3
39	хотя бы	8	3
40	в том	9	3
41	не в	5	3
42	и что	1	3
43	что и	1	3
44	всемирной истории	1	3
45	в этих	1	3
46	в них	2	3
47	не было	2	3
48	к чему	2	3
49	что во	1	3
50	в жизни	2	3
51	должна быть	1	3
52	с его	1	3
53	не имеет	1	3
54	во христе	1	3
55	тот же	3	3
56	но в	9	3
57	за то	1	3
58	никогда не	1	3
59	что было	1	2
60	государства и	1	2
61	во всяком	1	2
62	что от	1	2
63	мы и	1	2
64	более чем	2	2
65	и ныне	1	2
66	что бога	1	2
67	того чтобы	1	2
68	это не	3	2
69	между тем	3	2
70	не только	17	2
71	что истина	1	2
72	на этих	2	2
73	является в	2	2
74	для нас	2	2
75	и то	1	2
76	не с	1	2
77	прежде всего	3	2
78	для них	2	2
79	ценности и	1	2
80	вслед за	3	2
81	и это	2	2
82	мы не	3	2
83	и теперь	1	2
84	только в	7	2
85	а с	1	2
86	а в	4	2
87	в прошлом	1	2
88	в число	1	2
89	и любви	1	2
90	но не	3	2
91	духа и	2	2
92	могут быть	3	2
93	с тем	3	2
94	давно уже	1	2
95	и т	3	2
96	мир от	1	2
97	одна из	2	2
98	т д	1	2
99	да и	2	2
100	том что	4	2
101	когда в	1	2
102	в себя	1	2
103	в существе	1	2
104	вечности и	1	2
105	не к	2	2
106	о личности	1	1
107	и мир	1	1
108	в самом	1	1
109	будет с	1	1
110	ли они	1	1
111	были в	1	1
112	могли бы	1	1
113	и другие	1	1
114	и пусть	2	1
115	но как	1	1
116	мы видим	1	1
117	и быть	1	1
118	не хотим	1	1
119	что оно	1	1
120	привести не	1	1
121	и на	1	1
122	вопрос о	1	1
123	о духе	1	1
124	может быть	5	1
125	они не	1	1
126	богом и	1	1
127	если в	2	1
128	эта не	1	1
129	и который	1	1
130	и вот	2	1
131	она не	1	1
132	уже в	1	1
133	человеческого бытия	1	1
134	но верим	1	1
135	есть прежде	1	1
136	и великого	1	1
137	русской революции	2	1
138	что уже	1	1
139	первобытным и	1	1
140	то же	9	1
141	и если	4	1
142	живет в	1	1
143	есть знак	1	1
144	теперь в	2	1
145	только мы	1	1
146	по сравнению	2	1
147	для того	3	1
148	и менее	1	1
149	этом мире	1	1
150	и должна	1	1
151	эта идея	2	1
152	что это	1	1
153	христианского мира	1	1
154	есть путь	1	1
155	в ее	2	1
156	и тем	2	1
157	и уже	1	1
158	оно ни	1	1
159	от этой	1	1
160	мы все	1	1
161	пути в	2	1
162	в которую	2	1
163	и всегда	1	1
164	пусть не	1	1
165	миру в	1	1
166	в тот	2	1
167	не были	1	1
168	есть и	1	1
169	на пути	4	1
170	церкви и	2	1
171	и современная	1	1
172	в этой	1	1
173	мира с	2	1
174	в результате	1	1
175	в трех	1	1
176	другой стороны	1	1
177	над личностью	1	1
178	нет никакого	1	1
179	и чем	1	1
180	в русском	2	1
181	них и	1	1
182	к конечному	1	1
183	так же	1	1
184	в виде	2	1
185	это имеет	1	1
186	над ним	1	1
187	только это	2	1
188	их не	1	1
189	христа и	1	1
190	является и	1	1
191	всего что	1	1
192	с другой	5	1
193	в которой	1	1
194	идти в	1	1
195	и с	2	1
196	к ним	1	1
197	времени с	1	1
198	того света	1	1
199	и осмыслить	1	1
200	может ли	2	1
201	на нее	1	1
202	известном смысле	1	1
203	в мир	1	1
204	эти силы	1	1
205	и неверием	1	1
206	в бытии	1	1
207	ведет к	1	1
208	в своем	4	1
209	к жизни	1	1
210	тем чтобы	1	1
211	быть может	6	1
212	как она	1	1
213	весь мир	1	1
214	с ними	3	1
215	к миру	1	1
216	и именно	1	1
217	духа в	1	1
218	и очень	1	1
219	ней и	1	1
220	вместе с	1	1
221	все же	1	1
222	в одно	1	1
223	ибо к	1	1
224	в которых	5	1
225	находится в	1	1
226	света в	2	1
227	бы ни	2	1
228	и по	1	1
229	и ошибки	1	1
230	с которым	1	1
231	это в	1	1
232	ними как	1	1
233	не будут	1	1
234	сравнению с	1	1
235	может и	2	1
236	духа а	1	1
237	в известном	1	1
238	не просто	1	1
239	он был	1	1
240	подхватят и	1	1
241	и ее	1	1
242	но к	2	1
243	есть не	2	1
244	злого начала	1	1
245	смысле на	1	1
246	бы это	1	1
