N	3gram	Medvedev_I	FransuaR
1	для того чтобы	1	17
2	с другой стороны	1	12
3	по отношению к	1	9
4	в значительной мере	1	7
5	ничего не остается	1	3
6	а с другой	1	3
7	ничего не дает	1	2
8	что в основе	1	2
9	только для того	1	2
10	и др он	1	2
11	и в целом	1	2
12	тем что последний	1	1
13	а в киеве	1	1
14	огороде бузина а	1	1
15	в половом отношении	1	1
16	в художественном творчестве	1	1
17	в них не	1	1
18	в огороде бузина	1	1
19	в первую очередь	1	1
20	другой стороны он	1	1
21	бузина а в	1	1
22	и многое другое	1	1
23	понимания жизни и	1	1
