N	2gram	Voloshinov	Russkaja
1	не может	13	22
2	и не	14	19
3	в этом	10	17
4	в том	3	17
5	и в	42	14
6	то что	9	13
7	таким образом	8	11
8	то же	16	11
9	точки зрения	11	11
10	но и	16	10
11	же время	7	10
12	в то	9	10
13	не только	28	9
14	с точки	5	9
15	том что	3	9
16	может быть	13	9
17	в себе	10	9
18	прежде всего	22	8
19	того чтобы	7	8
20	не будет	3	7
21	ни к	2	7
22	самом деле	5	7
23	к тому	4	7
24	о том	4	7
25	и если	1	7
26	мы должны	10	7
27	и с	5	7
28	отнюдь не	10	7
29	и к	4	6
30	для всех	2	6
31	если в	1	6
32	и при	2	6
33	для него	3	6
34	все это	4	6
35	на самом	3	6
36	в своих	2	6
37	если бы	4	6
38	и для	3	6
39	с тем	8	6
40	что он	2	6
41	для того	9	6
42	к которой	1	6
43	в своем	1	6
44	до сих	1	5
45	и на	7	5
46	из которых	3	5
47	только в	7	5
48	или иной	6	5
49	по существу	1	5
50	в своей	2	5
51	между собой	2	5
52	во всех	6	5
53	сих пор	2	5
54	вопрос о	2	5
55	хотя бы	18	5
56	потому что	7	5
57	в нем	6	5
58	между тем	3	5
59	он не	2	5
60	конечно не	3	5
61	а в	5	5
62	при этом	9	5
63	было бы	7	5
64	на то	1	5
65	лишь при	1	5
66	он должен	3	5
67	никогда не	7	5
68	что в	1	4
69	и то	5	4
70	все что	1	4
71	так как	8	4
72	возможно лишь	1	4
73	тогда когда	1	4
74	в его	6	4
75	не могут	1	4
76	его в	4	4
77	более или	1	4
78	не в	6	4
79	он будет	1	4
80	вместе с	5	4
81	как и	12	4
82	в мире	2	4
83	все же	9	4
84	в их	2	4
85	со стороны	1	4
86	себе и	2	4
87	или менее	1	4
88	которой он	1	4
89	можно было	4	4
90	что же	8	4
91	от того	3	4
92	и т.д	21	4
93	как бы	30	4
94	путь к	1	4
95	в этой	6	4
96	себя в	4	4
97	жизни и	3	4
98	но не	2	4
99	точку зрения	6	4
100	в самом	5	3
101	то в	1	3
102	этом случае	3	3
103	был и	2	3
104	что оно	3	3
105	собой и	1	3
106	и этот	2	3
107	может не	1	3
108	должно быть	2	3
109	несмотря на	3	3
110	что это	4	3
111	в качестве	4	3
112	для них	2	3
113	что и	3	3
114	что может	1	3
115	в виде	1	3
116	в будущем	3	3
117	не было	2	3
118	связи с	3	3
119	или в	2	3
120	тем что	2	3
121	именно в	1	3
122	в конце	6	3
123	и как	10	3
124	вряд ли	3	3
125	да и	4	3
126	о котором	1	3
127	не есть	2	3
128	но если	1	3
129	но мы	2	3
130	той или	4	3
131	еще не	3	3
132	все они	1	3
133	и потому	2	3
134	при условии	2	3
135	мы говорили	2	3
136	одна из	1	3
137	в значительной	2	3
138	и ни	2	3
139	так чтобы	1	3
140	в другом	1	3
141	говорить о	1	3
142	приходит к	1	3
143	что бы	1	3
144	в большинстве	1	3
145	лишь в	4	3
146	что для	1	3
147	главным образом	3	3
148	и во	1	3
149	одной из	2	3
150	в сознании	5	3
151	и по	1	3
152	конце концов	3	3
153	друг друга	2	3
154	из этих	2	3
155	для этого	2	3
156	всех этих	1	3
157	таким же	2	3
158	из них	3	3
159	того что	4	3
160	были бы	4	2
161	представить себе	3	2
162	к такому	1	2
163	не так	3	2
164	что такое	4	2
165	зависит от	2	2
166	и вот	3	2
167	каждого отдельного	1	2
168	с самим	2	2
169	из всех	1	2
170	говорили в	1	2
171	с ним	2	2
172	для нас	3	2
173	одному из	1	2
174	ни в	1	2
175	в результате	1	2
176	они будут	1	2
177	там и	1	2
178	том и	1	2
179	в этих	2	2
180	у него	1	2
181	по себе	1	2
182	и даже	3	2
183	если не	3	2
184	ее в	1	2
185	не о	1	2
186	к чему	2	2
187	или от	1	2
188	все эти	3	2
189	раз навсегда	1	2
190	на себя	1	2
191	но для	3	2
192	том же	2	2
193	в таком	1	2
194	отношения к	3	2
195	тому что	5	2
196	ему по	1	2
197	ясно что	2	2
198	помнить что	2	2
199	их в	3	2
200	большинстве случаев	1	2
201	является не	1	2
202	на эту	2	2
203	всю эту	1	2
204	следовательно и	1	2
205	ведь в	3	2
206	так же	4	2
207	если же	1	2
208	уже не	4	2
209	в меру	1	2
210	к той	3	2
211	деятельности и	3	2
212	другом случае	1	2
213	общественной жизни	10	2
214	с этим	2	2
215	его и	3	2
216	того или	5	2
217	совершенно не	3	2
218	мы можем	7	2
219	а с	5	2
220	всю свою	1	2
221	в таких	1	2
222	в котором	3	2
223	мы уже	11	2
224	даже и	2	2
225	она не	1	2
226	вне всякой	1	2
227	в течение	1	2
228	но даже	2	2
229	всем этим	1	2
230	это только	1	2
231	в ней	8	2
232	и тогда	2	2
233	и тем	7	2
234	в частности	3	2
235	а не	7	2
236	народов и	1	2
237	только на	3	2
238	ни от	1	2
239	в силу	1	2
240	и является	5	2
241	и что	1	2
242	не должен	2	2
243	в начале	3	2
244	говоря о	1	2
245	факт что	1	2
246	по отношению	2	2
247	целый ряд	3	2
248	даже не	1	2
249	тем самым	8	2
250	и те	2	2
251	тот факт	1	2
252	этот вопрос	2	2
253	отметить что	1	2
254	россию и	1	2
255	на это	4	2
256	культуры и	1	2
257	друг другу	2	2
258	благодаря этому	1	2
259	стоит только	1	2
260	даже если	1	2
261	и от	7	2
262	но в	5	2
263	и есть	1	2
264	место в	2	2
265	так что	1	2
266	и о	1	2
267	как будто	1	2
268	в области	6	2
269	стоящий на	1	2
270	или иного	5	2
271	но это	2	2
272	во время	1	2
273	не просто	4	2
274	не можем	1	2
275	и наконец	5	2
276	понять что	1	2
277	не к	4	2
278	к нему	2	2
279	от всякого	1	1
280	и ту	2	1
281	когда он	1	1
282	тем не	1	1
283	всего в	4	1
284	который нельзя	1	1
285	ближе к	1	1
286	тон и	1	1
287	и весь	1	1
288	связан с	1	1
289	сил которые	1	1
290	ведь уже	1	1
291	только не	1	1
292	как это	5	1
293	что его	1	1
294	один из	4	1
295	свое желание	2	1
296	мы ведь	1	1
297	человека к	1	1
298	что у	3	1
299	за ним	1	1
300	и конечно	2	1
301	если его	1	1
302	ничем не	2	1
303	разума и	1	1
304	на эти	2	1
305	же и	1	1
306	вообще не	1	1
307	себя только	1	1
308	то есть	5	1
309	внешним образом	1	1
310	это будет	1	1
311	себе элементы	1	1
312	то будет	1	1
313	роль и	1	1
314	нас не	2	1
315	время и	1	1
316	отношению к	2	1
317	даже к	1	1
318	ни других	1	1
319	которых мы	1	1
320	мы не	9	1
321	от которых	2	1
322	которых каждая	1	1
323	в состоянии	1	1
324	с этой	1	1
325	это не	3	1
326	для всякого	2	1
327	которые на	1	1
328	в себя	1	1
329	за ними	2	1
330	даже в	1	1
331	то у	1	1
332	была бы	1	1
333	лишь потому	2	1
334	лишь постепенно	1	1
335	до такой	1	1
336	уже знаем	1	1
337	бы на	1	1
338	человек с	2	1
339	в разных	3	1
340	чтобы стать	1	1
341	этом отношении	2	1
342	внутренней и	3	1
343	что при	1	1
344	в сущности	1	1
345	в ее	3	1
346	на отдельные	2	1
347	с некоторым	1	1
348	что так	1	1
349	души и	1	1
350	так и	7	1
351	те же	5	1
352	о которой	1	1
353	мы в	3	1
354	как какое-то	1	1
355	и всегда	1	1
356	не являются	1	1
357	остановиться на	1	1
358	было говорить	1	1
359	с другими	2	1
360	собой разумеется	2	1
361	с исторической	1	1
362	но этого	1	1
363	борьбы с	1	1
364	только чтобы	1	1
365	смысле этого	2	1
366	влияние на	4	1
367	говорить что	1	1
368	превратиться в	1	1
369	быть может	3	1
370	не допускает	1	1
371	головы и	1	1
372	все равно	1	1
373	тому же	2	1
374	а на	2	1
375	связь с	2	1
376	одну и	2	1
377	как же	1	1
378	материал для	2	1
379	или не	1	1
380	здесь мы	3	1
381	чем ближе	1	1
382	в которой	7	1
383	от тех	1	1
384	заключает в	4	1
385	перейдут в	1	1
386	неминуемо должен	1	1
387	в собственном	1	1
388	а о	1	1
389	как видно	1	1
390	с ней	2	1
391	от этих	1	1
392	ли оно	1	1
393	слова но	3	1
394	дать человеку	1	1
395	на свою	1	1
396	необходимо чтобы	3	1
397	мысль о	1	1
398	из двух	2	1
399	время эти	1	1
400	о своей	4	1
401	рабочего и	1	1
402	нами не	1	1
403	к внешней	1	1
404	с общим	1	1
405	данного человека	1	1
406	и начало	1	1
407	никакая культура	1	1
408	из всего	2	1
409	вот это	1	1
410	и будет	1	1
411	и действительно	1	1
412	превращается в	1	1
413	или хотя	2	1
414	очевидно что	2	1
415	здесь же	1	1
416	может в	1	1
417	если он	3	1
