N	3gram	Ircho_Kome	TeoriaLi
1	в том что	15	10
2	по отношению к	4	10
3	не сводится к	1	9
4	в то же	11	8
5	то же время	11	8
6	в отличие от	3	7
7	в конечном счете	2	6
8	с другой стороны	2	6
9	более или менее	2	6
10	состоит в том	2	6
11	не может быть	1	5
12	так и не	1	5
13	для того чтобы	8	5
14	так или иначе	3	5
15	одного и того	1	4
16	и того же	1	4
17	в свою очередь	10	3
18	с точки зрения	6	3
19	имеем в виду	2	3
20	в том числе	2	3
21	тем не менее	3	3
22	можно сказать что	1	3
23	подобно тому как	1	3
24	мы имеем в	2	3
25	в связи с	3	3
26	с одной стороны	4	3
27	в противном случае	1	2
28	этой точки зрения	1	2
29	и в самом	7	2
30	с этой точки	1	2
31	в самом деле	13	2
32	в самом начале	1	2
33	в отношении к	1	2
34	том числе и	2	2
35	и тем самым	1	2
36	и в то	2	2
37	в соответствии с	1	2
38	том что он	1	2
39	то ни было	3	2
40	сама по себе	1	2
41	к тому что	1	2
42	бы то ни	3	2
43	как уже говорилось	1	2
44	в основе своей	2	2
45	что он не	3	1
46	мере в какой	1	1
47	даже в том	1	1
48	принадлежат к числу	1	1
49	человека и его	1	1
50	если говорить о	1	1
51	никак не может	1	1
52	в той мере	1	1
53	на задний план	1	1
54	в известной степени	2	1
55	он не только	1	1
56	себе отчет в	1	1
57	по крайней мере	1	1
58	по своему происхождению	1	1
59	не в состоянии	1	1
60	жизнь в которой	1	1
61	о том что	7	1
62	на второй план	1	1
63	в последние десятилетия	2	1
64	в свое время	1	1
65	она могла бы	1	1
66	как бы в	1	1
67	на себя внимание	3	1
68	обращает на себя	3	1
69	в себе самом	1	1
70	таким же образом	1	1
71	и тем более	2	1
72	как впрочем и	1	1
73	друг от друга	1	1
74	в настоящее время	1	1
75	одной стороны и	2	1
76	в одной из	1	1
77	том что она	2	1
78	бы ни был	1	1
79	с первых же	3	1
80	и не могла	1	1
81	именно потому что	2	1
82	и в частности	1	1
83	а в ее	1	1
84	в первом случае	1	1
85	в то время	3	1
86	в первую очередь	2	1
87	таким образом что	1	1
88	речь идет о	3	1
89	в лучшем случае	1	1
90	как раз в	1	1
91	в зависимости от	1	1
92	точно так же	1	1
93	так же как	1	1
94	а тем более	1	1
95	однако и в	1	1
96	не было и	1	1
97	в этом случае	2	1
98	той мере в	1	1
99	если он не	1	1
100	к тому же	9	1
101	так же точно	1	1
102	том что в	1	1
103	и в пределах	1	1
104	каждой из них	2	1
105	то же самое	3	1
106	но только не	1	1
107	к более или	1	1
108	к вопросу о	1	1
109	едва ли не	4	1
110	в такое же	1	1
111	и не дает	1	1
112	нового времени в	1	1
113	к окружающему его	1	1
114	со временем получает	1	1
115	таким образом и	2	1
116	не более чем	1	1
117	в виду что	1	1
118	со своей стороны	1	1
119	принципиальное различие между	1	1
120	в частности с	1	1
121	в полной мере	1	1
