N	2gram	Losev_Prob	Hudozhes
1	в качестве	10	31
2	то есть	63	26
3	и в	62	23
4	не только	33	20
5	в том	35	20
6	при этом	9	19
7	может быть	39	19
8	в частности	4	18
9	и не	56	16
10	но и	20	14
11	а не	28	13
12	но не	6	13
13	а в	9	13
14	в себе	23	13
15	в этом	25	12
16	то же	23	12
17	такого рода	14	12
18	так и	16	12
19	произведение искусства	1	12
20	и его	12	12
21	как бы	11	11
22	точки зрения	14	11
23	в его	10	11
24	но в	17	10
25	своего рода	1	9
26	в душе	1	9
27	или иной	20	9
28	том что	25	9
29	с другой	14	9
30	в искусстве	4	9
31	не в	21	9
32	не может	14	9
33	в принципе	1	8
34	особого рода	1	8
35	себя в	4	8
36	его внешней	2	8
37	в области	2	8
38	в то	18	8
39	что в	11	7
40	в самом	4	7
41	только в	33	7
42	в своей	8	7
43	в основе	3	7
44	в отличие	2	7
45	отличие от	3	7
46	не столько	2	7
47	как это	4	7
48	по своей	1	7
49	лишь в	1	7
50	отношение к	1	7
51	другой стороны	11	6
52	в состав	1	6
53	более или	2	6
54	уже не	12	6
55	можно сказать	10	6
56	с ее	5	6
57	мы имеем	7	6
58	в ее	6	6
59	а также	6	6
60	или менее	2	6
61	по сути	1	6
62	в нем	13	6
63	ни в	17	5
64	в виду	20	5
65	не на	2	5
66	мыслится как	1	5
67	что он	16	5
68	в художественном	5	5
69	не менее	24	5
70	не является	19	5
71	того чтобы	4	5
72	для того	5	5
73	как к	1	5
74	для него	4	5
75	того что	10	5
76	прежде всего	13	5
77	с другими	6	5
78	в их	2	5
79	знака к	2	5
80	или иначе	2	5
81	между ними	1	5
82	той или	22	5
83	и одновременно	1	5
84	тем самым	9	5
85	то что	42	5
86	могут быть	2	5
87	слова как	3	5
88	во втором	1	4
89	для себя	6	4
90	так или	2	4
91	по пути	1	4
92	например в	1	4
93	значении этого	1	4
94	отношения к	3	4
95	в слове	4	4
96	еще не	12	4
97	в данном	14	4
98	входит в	3	4
99	в другом	4	4
100	говорить о	7	4
101	сказать что	24	4
102	в своем	7	4
103	к тому	4	4
104	и то	17	4
105	это не	10	4
106	в отношении	4	4
107	его в	4	4
108	не знает	1	4
109	и как	4	4
110	в этих	6	4
111	а только	9	4
112	художественности и	3	4
113	того или	8	4
114	произведения искусства	2	4
115	речи и	1	4
116	он не	10	4
117	и тем	16	4
118	и что	9	4
119	далеко не	1	4
120	со своей	1	4
121	и о	8	4
122	однако в	3	4
123	художественного произведения	14	4
124	или иного	5	4
125	хотя и	9	4
126	в той	8	3
127	и к	9	3
128	человеческой жизни	4	3
129	и на	4	3
130	с этой	3	3
131	искусства это	1	3
132	литературы как	1	3
133	даже в	2	3
134	была бы	2	3
135	о чем	4	3
136	подобно тому	3	3
137	если бы	9	3
138	и сам	6	3
139	есть в	6	3
140	а именно	12	3
141	в жизни	1	3
142	сути дела	1	3
143	как и	15	3
144	к его	1	3
145	их в	2	3
146	никто не	5	3
147	себя и	1	3
148	тем не	23	3
149	художественное произведение	9	3
150	и того	1	3
151	виду не	1	3
152	и состоит	2	3
153	в противоположность	1	3
154	к нему	3	3
155	потому что	40	3
156	одной стороны	2	3
157	искусства и	3	3
158	в стихотворении	2	3
159	в одном	4	3
160	не обязательно	4	3
161	имеем в	4	3
162	мог бы	1	3
163	во всей	3	3
164	от себя	2	3
165	из этих	1	3
166	и для	5	3
167	таким образом	13	3
168	по преимуществу	1	3
169	произведения как	1	3
170	с одной	3	3
171	том числе	1	3
172	с точки	9	3
173	как раз	11	3
174	все прочие	1	3
175	другими знаками	1	3
176	и притом	7	3
177	связи с	10	3
178	но он	1	3
179	в таком	11	3
180	в контексте	3	3
181	в связи	9	3
182	с художественной	1	3
183	или даже	6	3
184	по своему	6	3
185	во всех	4	3
186	однако если	3	3
187	тому как	2	3
188	в которой	3	3
189	не будет	3	3
190	одно и	4	3
191	к области	1	3
192	автора и	1	3
193	говоря о	1	3
194	анна каренина	1	3
195	в пределах	3	3
196	этом смысле	5	3
197	того же	2	3
198	перед лицом	1	3
199	что можно	1	3
200	тот или	4	3
201	одного и	1	3
202	слова в	1	3
203	в узком	2	3
204	и прежде	3	3
205	в целом	9	3
206	и ее	7	3
207	более не	2	2
208	и другие	4	2
209	образом и	2	2
210	однако с	1	2
211	таковы например	1	2
212	рассматриваться в	1	2
213	рассказ о	1	2
214	жизни а	4	2
215	языкового знака	3	2
216	об искусстве	1	2
217	для возникновения	1	2
218	с ним	11	2
219	строго говоря	1	2
220	жить и	1	2
221	из которых	6	2
222	не как	1	2
223	но чтобы	2	2
224	том и	1	2
225	по себе	36	2
226	вещами и	1	2
227	в них	6	2
228	оно не	1	2
229	этой точки	2	2
230	самом деле	6	2
231	заключается в	8	2
232	на свою	2	2
233	все эти	14	2
234	имеет дело	1	2
235	именно в	4	2
236	значения и	1	2
237	в порядке	3	2
238	каждый такой	1	2
239	из тех	1	2
