N	2gram	Nazirov_Tv	EvropaiC
1	таким образом	14	34
2	в том	13	31
3	и в	40	24
4	том что	14	20
5	все эти	3	19
6	то что	9	18
7	не может	9	18
8	может быть	11	17
9	до сих	1	15
10	все же	9	15
11	сих пор	1	15
12	в этом	11	13
13	все это	14	13
14	самом деле	4	12
15	с этим	2	12
16	между тем	2	12
17	в своем	4	12
18	по отношению	3	11
19	но и	10	11
20	культуры и	2	11
21	отношению к	3	11
22	мы знаем	2	10
23	не только	16	10
24	так и	5	10
25	как и	16	10
26	во всех	2	10
27	из себя	2	10
28	как бы	26	10
29	что в	17	9
30	при этом	14	9
31	в результате	1	9
32	не в	3	9
33	и все	6	9
34	и не	12	9
35	потому что	10	9
36	и что	2	9
37	на то	1	9
38	того же	2	9
39	в самом	6	8
40	чем у	2	8
41	европейской культуры	1	8
42	ясно что	1	8
43	к тому	2	8
44	от современных	1	8
45	если бы	4	8
46	а между	1	8
47	так же	6	8
48	знаем что	1	8
49	а и	1	8
50	из этих	1	8
51	так как	6	7
52	того что	3	7
53	что и	3	7
54	на самом	3	7
55	этот народ	1	7
56	что он	11	7
57	не менее	8	7
58	о которых	1	7
59	о котором	2	7
60	из этого	1	7
61	о том	9	7
62	вместе с	4	7
63	из элементов	1	7
64	в этой	7	7
65	в сознании	1	7
66	для этого	1	7
67	и на	12	6
68	с ним	4	6
69	что с	2	6
70	только в	7	6
71	тому же	2	6
72	в мире	8	6
73	отличается от	1	6
74	еще не	5	6
75	все они	1	6
76	и если	3	6
77	так что	4	6
78	тогда как	3	6
79	как на	1	6
80	с другой	4	6
81	в то	23	6
82	и к	1	5
83	как к	2	5
84	а потому	1	5
85	должно быть	1	5
86	в его	19	5
87	из всех	5	5
88	что это	1	5
89	другой стороны	2	5
90	у него	11	5
91	его в	2	5
92	в которой	5	5
93	но все	1	5
94	и с	9	5
95	именно в	6	5
96	и без	2	5
97	по своему	1	5
98	на все	1	5
99	не будет	2	5
100	и их	2	5
101	далеко не	3	5
102	его собственной	1	5
103	лишь в	1	5
104	в себе	3	5
105	и от	8	5
106	что все	4	5
107	столь же	2	5
108	как будто	5	5
109	к этому	4	5
110	в пользу	2	5
111	в целом	7	5
112	из них	4	5
113	но в	11	5
114	не так	5	4
115	ее и	2	4
116	та же	4	4
117	этой области	1	4
118	на вопрос	1	4
119	самого себя	1	4
120	своем развитии	1	4
121	хотя и	5	4
122	тем не	2	4
123	это есть	1	4
124	в их	5	4
125	в виде	4	4
126	связи с	2	4
127	что его	4	4
128	одним из	6	4
129	в конце	5	4
130	в таком	4	4
131	с тем	1	4
132	в в	2	4
133	не есть	2	4
134	в народе	1	4
135	не могут	2	4
136	между собой	2	4
137	выше мы	1	4
138	и у	3	4
139	а с	4	4
140	мы уже	2	4
141	в течение	1	4
142	хотя бы	5	4
143	цивилизации и	1	4
144	то ни	1	4
145	в дальнейшем	7	4
146	в такой	2	4
147	мы должны	1	4
148	для меня	1	4
149	что эта	1	4
150	народ в	1	4
151	целый ряд	1	4
152	признать что	1	4
153	отношение к	1	4
154	что для	3	4
155	что как	2	4
156	том же	3	4
157	ибо в	2	4
158	в области	1	4
159	он не	10	4
160	конце концов	1	4
161	если мы	1	4
162	всех этих	1	4
163	то же	19	4
164	никогда не	13	4
165	бы то	1	3
166	от него	2	3
167	что оно	2	3
168	а наоборот	1	3
169	данном случае	2	3
170	народ не	1	3
171	только что	2	3
172	и по	5	3
173	в начале	2	3
174	цивилизации в	2	3
175	с одной	2	3
176	за ними	1	3
177	даже в	4	3
178	ни было	1	3
179	как у	3	3
180	в с	2	3
181	прежде всего	10	3
182	у нас	2	3
183	одно из	1	3
184	же не	2	3
185	целом ряде	1	3
186	в этих	2	3
187	чем в	1	3
188	что по	1	3
189	в нем	4	3
190	заключается в	1	3
191	основанные на	1	3
192	представление о	9	3
193	очень много	1	3
