N	3gram	Losev_Prob	NovoeSre
1	не может быть	5	4
2	подобно тому как	2	3
3	не значит что	2	3
4	вопрос о том	1	2
5	в том и	1	2
6	том и заключается	1	2
7	вместе с тем	1	2
8	равно как и	2	2
9	так же как	3	2
10	и заключается что	1	2
11	в этом смысле	5	2
12	что в нем	1	2
13	когда мы говорим	5	2
14	с одной стороны	2	2
15	с другой стороны	11	2
16	это не значит	1	2
17	сами по себе	8	1
18	в том что	17	1
19	в человеческом обществе	1	1
20	до сих пор	4	1
21	хотя и в	1	1
22	и не был	1	1
23	не имеет никакой	1	1
24	будет сказать что	1	1
25	в ней нет	1	1
26	как будто бы	7	1
27	и потому что	1	1
28	вообще не существует	1	1
29	в зависимости от	3	1
30	по существу своему	1	1
31	но я могу	1	1
32	том числе и	1	1
33	можно было бы	6	1
34	то это есть	1	1
35	только потому что	3	1
36	не только в	2	1
37	но и в	2	1
38	которые могут быть	1	1
39	в том чтобы	1	1
40	но все время	1	1
41	в том смысле	4	1
42	в отличие от	2	1
43	мы говорим что	1	1
44	есть прежде всего	3	1
45	в нем не	1	1
46	о том что	8	1
47	же как и	4	1
48	в существе своем	1	1
49	что в этом	1	1
50	и весь мир	2	1
51	и того же	1	1
52	но это уже	1	1
53	не есть принцип	1	1
54	дня и ночи	1	1
55	мы говорим о	2	1
56	выходит за пределы	1	1
57	в новое время	1	1
58	было бы сказать	1	1
59	а не в	1	1
60	но это есть	1	1
61	как и в	2	1
62	и не в	2	1
63	не имеют никакого	2	1
64	во всяком случае	8	1
65	та или иная	4	1
66	ни в какие	1	1
67	в том числе	1	1
68	к вопросу о	1	1
69	конечно не в	1	1
70	это не есть	1	1
71	значение и не	1	1
72	это значит что	8	1
73	для них не	1	1
74	для того и	1	1
75	жизни а это	1	1
76	в то время	6	1
77	имея в виду	1	1
78	это и есть	3	1
79	то время как	6	1
80	в известном смысле	1	1
81	и все они	3	1
82	ни в чем	2	1
83	и совсем не	2	1
84	и не может	1	1
85	одного и того	1	1
