N	3gram	Vinokur_Ku	UchenyiS
1	в конечном счете	2	4
2	не может быть	5	4
3	то ни было	1	3
4	с другой стороны	12	3
5	в этой области	3	3
6	бы то ни	1	3
7	в то же	4	3
8	то же время	4	3
9	и то что	1	2
10	в том что	23	2
11	в противном случае	2	2
12	в самом деле	14	2
13	не могут быть	1	2
14	до сих пор	5	2
15	хотя бы и	4	2
16	тех или иных	1	2
17	и в частности	1	2
18	в конце концов	3	2
19	смысле этого термина	3	2
20	в этом отношении	8	2
21	но даже и	2	2
22	по крайней мере	11	2
23	в этом смысле	8	2
24	и в этой	1	2
25	иначе связанные с	1	1
26	в первую очередь	3	1
27	или иначе связанные	1	1
28	является с одной	1	1
29	имеем в виду	1	1
30	же в самом	1	1
31	сам по себе	1	1
32	язык в его	1	1
33	так или иначе	3	1
34	на своем месте	1	1
35	но что такое	1	1
36	в которых слово	1	1
37	в широком смысле	2	1
38	которые могли бы	1	1
39	тем что он	1	1
40	прежде всего что	1	1
41	только одним из	1	1
42	с тем что	1	1
43	большей или меньшей	2	1
44	сводится к следующему	1	1
45	с одной стороны	2	1
46	еще один пример	2	1
47	она все же	1	1
48	но прежде всего	1	1
49	и с другой	1	1
50	можно сказать что	2	1
51	как раз обратное	1	1
52	не случайно и	1	1
53	этом случае он	1	1
54	все это в	1	1
55	или меньшей степени	2	1
56	не в том	5	1
57	и не только	1	1
58	на то что	3	1
59	не только в	4	1
60	более или менее	3	1
61	и в то	1	1
62	но это не	1	1
63	в данном случае	1	1
64	само по себе	6	1
65	мы имеем в	1	1
66	все же остается	1	1
67	в этом случае	4	1
68	то что еще	1	1
69	в сторону от	2	1
70	том что она	1	1
71	в большей или	2	1
72	в буквальном смысле	1	1
73	и у других	1	1
74	что он называет	1	1
75	это было бы	1	1
