N	2gram	Trubetskoy	Narrotol
1	не только	10	62
2	и не	9	50
3	при этом	9	47
4	но и	11	45
5	а не	1	38
6	в качестве	1	35
7	в частности	2	31
8	может быть	17	30
9	и в	24	30
10	в том	31	29
11	в этом	13	28
12	тогда как	6	28
13	том что	20	28
14	а в	3	27
15	только в	6	25
16	состоит в	1	25
17	в данном	3	24
18	как и	10	24
19	не в	9	23
20	то что	18	23
21	то есть	2	22
22	не может	18	20
23	в себе	5	17
24	данном случае	3	17
25	так и	10	17
26	со стороны	1	16
27	в его	5	16
28	к тому	8	15
29	но в	5	15
30	иначе говоря	4	15
31	в жизни	3	14
32	и его	2	14
33	то же	4	13
34	в своей	1	13
35	уже не	1	13
36	о том	7	13
37	в своем	12	13
38	у него	5	13
39	все же	15	12
40	сводится к	2	12
41	как в	1	12
42	перед нами	1	12
43	как бы	10	12
44	прежде всего	3	12
45	по отношению	11	11
46	хотя и	4	11
47	в мире	6	11
48	если бы	8	11
49	и тем	1	11
50	в этой	7	11
51	в нем	3	11
52	жизни в	1	11
53	отличие от	3	11
54	тем самым	3	11
55	отношению к	11	11
56	один из	1	10
57	никогда не	4	10
58	тому же	6	10
59	точки зрения	14	10
60	между тем	12	10
61	в то	6	10
62	и все	9	10
63	не является	1	10
64	жизни и	2	10
65	с его	1	10
66	ничего не	1	10
67	того что	7	10
68	но не	3	10
69	и т.д	4	10
70	тем не	4	9
71	я в	2	9
72	столь же	5	9
73	отнюдь не	2	9
74	что в	9	9
75	с ним	6	9
76	что он	7	9
77	еще не	6	9
78	потому что	9	9
79	для него	2	9
80	далеко не	5	9
81	и к	5	8
82	в самом	8	8
83	в таком	4	8
84	не менее	7	8
85	не мог	1	8
86	одна из	2	8
87	он не	4	8
88	самом деле	12	8
89	того чтобы	8	8
90	же время	2	8
91	и для	6	8
92	у нас	3	8
93	но при	1	8
94	или иной	1	8
95	мира в	1	8
96	в принципе	1	7
97	имеет место	2	7
98	в котором	2	7
99	с другой	6	7
100	пока еще	1	7
101	в ее	1	7
102	на себя	1	7
103	в конце	4	7
104	в силу	7	7
105	и на	6	7
106	и состоит	2	7
107	в свою	2	7
108	это не	3	7
109	в глазах	2	7
110	также и	2	7
111	в ней	3	7
112	в целом	5	7
113	все что	10	6
114	в результате	9	6
115	например в	1	6
116	двух или	3	6
117	между двумя	5	6
118	сказать что	1	6
119	в нашем	3	6
120	на него	2	6
121	то в	2	6
122	что у	2	6
123	с одной	3	6
124	что и	7	6
125	не могла	1	6
126	в современной	1	6
127	однако в	1	6
128	во втором	2	6
129	в состав	1	6
130	таким образом	34	6
131	никак не	1	6
132	к его	1	6
133	то и	2	6
134	из этих	8	6
135	в сознании	7	6
136	здесь не	1	6
137	они не	2	6
138	как у	3	6
139	не по	1	6
140	одной стороны	2	6
141	на то	9	6
142	в центре	1	5
143	только что	3	5
144	в своих	2	5
145	и даже	1	5
146	и сам	2	5
147	именно в	5	5
148	а именно	1	5
149	и того	3	5
150	свою очередь	2	5
151	в другом	2	5
