N	2gram	Tiupa_Vved	Psycholo
1	то что	9	193
2	и в	23	190
3	в том	21	163
4	что в	6	123
5	потому что	7	114
6	том что	16	113
7	и что	2	108
8	может быть	25	107
9	таким образом	6	102
10	в этом	27	100
11	то есть	13	97
12	в самом	6	82
13	как бы	8	80
14	для того	1	78
15	того чтобы	2	78
16	что он	2	76
17	не только	32	75
18	на то	3	73
19	и не	24	73
20	что она	2	71
21	самом деле	6	70
22	точки зрения	1	69
23	не может	14	68
24	если мы	1	66
25	так же	2	63
26	было бы	4	56
27	если бы	10	55
28	то же	8	54
29	о том	7	54
30	и мы	1	54
31	при этом	43	52
32	как и	21	51
33	что и	6	50
34	а не	31	50
35	что это	2	49
36	сказать что	1	46
37	по себе	2	46
38	только в	9	46
39	в сущности	3	46
40	заключается в	2	46
41	к тому	9	45
42	в искусстве	1	45
43	не в	12	45
44	ясно что	2	43
45	в этой	2	43
46	никогда не	6	42
47	и все	8	42
48	вместе с	2	41
49	как это	2	40
50	но и	31	40
51	как раз	5	39
52	того что	7	39
53	же самое	2	38
54	и это	2	37
55	мы видим	1	37
56	и как	2	36
57	с тем	1	35
58	вовсе не	1	34
59	и если	1	34
60	и его	9	34
61	тому что	2	33
62	все же	10	33
63	что все	1	33
64	в себе	15	32
65	все это	3	32
66	он не	6	31
67	мы не	6	31
68	в его	9	31
69	для нас	4	31
70	в ней	5	31
71	мы увидим	1	30
72	как будто	6	30
73	никак не	2	30
74	как в	8	30
75	с одной	9	29
76	и для	8	29
77	одной стороны	9	29
78	в нем	9	29
79	что они	2	28
80	мы можем	2	28
81	и то	1	28
82	что мы	2	28
83	в своих	5	27
84	в основе	6	27
85	и на	5	27
86	а в	15	27
87	с другой	10	27
88	все то	1	27
89	так что	1	26
90	совершенно не	2	26
91	только что	1	25
92	и здесь	2	25
93	жизни и	8	25
94	с таким	1	24
95	до конца	5	24
96	тем что	2	24
97	сущности говоря	1	24
98	указывает на	2	24
99	и совершенно	1	24
100	в целом	4	24
101	в своем	9	23
102	из этого	1	23
103	один из	3	23
104	целый ряд	2	23
105	для этого	2	23
106	могут быть	5	23
107	из них	1	22
108	что у	4	22
109	между тем	3	22
110	и даже	3	22
111	всякий раз	2	22
112	как она	1	22
113	в котором	11	21
114	том чтобы	2	21
115	в двух	1	21
116	в которых	2	21
117	той же	3	21
118	в своей	10	21
119	в конце	3	21
120	но только	1	21
121	как мы	5	21
122	и вот	3	21
123	и только	2	21
124	другой стороны	3	20
125	в то	5	20
126	тот же	1	20
127	мы имеем	8	20
128	дело с	4	20
129	несмотря на	2	20
130	на этом	1	20
131	там где	1	20
132	это не	7	20
133	все эти	1	20
134	в одном	5	19
135	в какой	4	19
136	мы должны	1	19
137	в ее	1	19
138	у него	8	19
139	он говорит	1	19
140	можно было	2	18
141	но в	14	18
142	зависимости от	1	18
143	вслед за	3	18
144	на самом	5	18
145	но не	9	18
146	действующих лиц	2	18
147	и есть	2	18
148	был бы	1	18
149	перед нами	13	18
150	в виду	3	17
151	во всяком	3	17
152	полагает что	1	17
153	иначе говоря	8	17
154	что для	2	17
155	из этих	5	17
156	но это	4	17
157	одна из	5	17
158	только не	1	17
159	у нас	4	17
160	и о	4	17
161	и к	2	16
162	из которых	1	16
163	к этому	3	16
164	та же	1	16
165	сводится к	6	16
166	обратиться к	2	16
167	говорит о	1	16
168	самого начала	1	16
169	с самого	1	16
170	в таком	2	16
171	же как	1	16
172	и тем	3	16
173	очень легко	1	16
174	не имеет	3	16
175	так и	14	16
176	тому как	3	16
177	в результате	5	15
178	в них	4	15
179	этого рассказа	2	15
180	только на	2	15
181	во всех	2	15
182	о которых	2	15
183	могли бы	3	15
184	не могут	1	15
185	и так	1	15
186	о котором	5	15
187	и потому	2	15
188	в зависимости	1	15
189	не просто	2	15
190	которых мы	1	15
191	далеко не	5	15
192	еще не	8	15
193	для него	5	15
194	в частности	19	15
195	не можем	2	15
196	в совершенно	1	14
197	хотя бы	2	14
198	одной и	1	14
199	но он	2	14
200	очевидно что	2	14
201	и той	1	14
202	в художественном	1	14
203	это и	1	14
204	это только	3	14
205	того как	1	14
206	прежде всего	11	14
207	заключает в	4	14
208	что на	4	14
209	те же	2	14
210	в жизни	7	14
211	при таком	2	14
212	бы в	4	14
213	столь же	3	14
214	должна быть	3	14
215	всяком случае	3	14
216	этом отношении	7	14
217	с той	1	14
218	или в	3	14
219	к которым	1	14
220	есть только	1	14
221	в области	5	14
222	с ним	3	14
223	факт что	1	14
224	само по	1	14
225	именно в	1	13
226	не могли	1	13
227	точка зрения	3	13
228	а с	4	13
229	могла бы	3	13
230	отнюдь не	14	13
231	в той	5	13
232	речь идет	3	13
233	едва ли	4	13
234	и он	4	13
235	могло бы	4	13
236	рассказа и	1	13
237	как он	2	13
238	должен был	2	13
239	со стороны	15	13
240	в этих	5	12
241	их в	3	12
242	не менее	4	12
243	может служить	4	12
244	того же	1	12
245	в конечном	2	12
246	в рассказе	15	12
247	в свою	5	12
248	и уже	1	12
249	состоит в	23	12
250	но если	1	12
251	и этот	1	12
252	идет о	3	12
253	и с	2	12
254	например в	2	12
255	что этот	1	12
256	что не	2	12
257	что самое	1	12
258	и до	1	12
259	действия и	1	12
260	характера и	1	12
261	ничего не	3	12
262	об этом	5	12
263	мы воспринимаем	1	12
264	в нашей	1	12
265	конечном счете	2	11
266	так например	2	11
267	не было	5	11
268	мы видели	3	11
269	подобно тому	3	11
270	сравнению с	1	11
271	оба эти	1	11
272	по сравнению	1	11
273	на этот	2	11
274	как к	1	11
275	уже в	2	11
276	раз в	1	11
277	бы мы	2	11
278	отличие от	11	11
279	исходя из	4	11
280	есть в	2	11
281	по поводу	5	11
