N	2gram	Vinokur_St	NovoeSre
1	а не	19	17
2	не может	10	16
3	и в	61	16
4	совсем не	3	12
5	и не	23	11
6	и есть	1	10
7	что в	41	9
8	истории и	2	9
9	в эпоху	3	9
10	в том	56	8
11	как не	1	8
12	жизни и	6	8
13	он не	11	8
14	в этом	37	7
15	может быть	16	7
16	не будет	1	7
17	как и	11	7
18	ни в	5	6
19	не знает	2	6
20	не в	15	6
21	лишь в	3	6
22	высшей степени	1	6
23	с его	3	6
24	но это	9	6
25	в высшей	1	6
26	никогда не	7	6
27	и к	5	5
28	не только	36	5
29	в ней	9	5
30	все это	13	5
31	xix века	2	5
32	в нем	9	5
33	должен быть	3	5
34	культуры в	3	5
35	и потому	3	4
36	по своему	2	4
37	потому что	13	4
38	большую роль	1	4
39	это не	8	4
40	прежде всего	11	4
41	в них	2	4
42	то что	27	4
43	не было	7	4
44	и все	3	4
45	не менее	8	4
46	не имеет	5	4
47	значит что	3	4
48	и для	4	4
49	эпохи и	3	4
50	о том	30	4
51	наше время	1	4
52	исторической эпохи	1	3
53	верить в	1	3
54	во всех	8	3
55	вопрос о	9	3
56	не означает	1	3
57	в наши	2	3
58	в наше	1	3
59	и пр	4	3
60	должна быть	3	3
61	она не	3	3
62	в ее	6	3
63	смысле слова	1	3
64	что такое	2	3
65	в прошлом	1	3
66	за пределы	2	3
67	к власти	2	3
68	конечно не	2	3
69	в истории	5	3
70	не существует	4	3
71	в духе	2	3
72	с другой	11	3
73	право и	2	3
74	в основе	4	3
75	к ним	1	3
76	в россии	7	3
77	сказать что	9	3
78	французской революции	1	3
79	с тем	3	3
80	не значит	3	3
81	в своей	12	3
82	как в	15	3
83	но и	28	3
84	это было	2	3
85	наши дни	1	3
86	к тому	9	3
87	еще не	4	3
88	с этим	6	2
89	к подлинному	2	2
90	и от	2	2
91	еще до	4	2
92	это и	5	2
93	ни к	1	2
94	я уже	3	2
95	права на	1	2
96	и что	8	2
97	не могли	1	2
98	на протяжении	1	2
99	что она	5	2
100	не имеют	2	2
101	и было	1	2
102	с одной	3	2
103	хотя бы	8	2
104	такого рода	2	2
105	мы не	3	2
106	того чтобы	15	2
107	вот почему	1	2
