N	2gram	Tiupa_Anal	BTomashe
1	у нас	1	3
2	все это	5	2
3	литературных произведений	3	2
4	в ней	2	2
5	можно было	2	2
6	и не	14	2
7	видеть в	2	2
8	неудивительно что	1	1
9	вопрос о	1	1
10	говорить о	6	1
11	и о	1	1
12	о них	1	1
13	забывать что	2	1
14	было и	1	1
15	не только	40	1
16	а о	2	1
17	таким образом	4	1
18	не было	3	1
19	прежде всего	7	1
20	произведений является	1	1
21	и в	36	1
22	на самом	1	1
23	так и	19	1
24	на которой	2	1
25	в своей	12	1
26	иначе не	1	1
27	во всяком	6	1
28	и потому	3	1
29	и во	1	1
30	также что	1	1
31	по нашему	3	1
32	за пределы	3	1
33	не уничтожается	1	1
34	по крайней	5	1
35	с другой	10	1
36	об этом	3	1
37	художественного произведения	1	1
38	как будто	1	1
39	о смысловом	1	1
40	совершенно не	3	1
41	не о	2	1
42	другой стороны	7	1
43	крайней мере	5	1
44	всяком случае	6	1
45	было бы	6	1
46	не следует	5	1
47	и ее	3	1
48	одной из	6	1
49	в значительной	3	1
50	в пределах	5	1
51	в данном	12	1
52	более что	1	1
53	об исторических	1	1
54	далеко не	8	1
55	тем более	3	1
56	и более	1	1
57	имеющихся в	1	1
58	что все	1	1
59	не все	1	1
60	никак не	1	1
61	в книге	1	1
62	значительной степени	3	1
63	его не	3	1
64	будто бы	1	1
65	а не	16	1
66	отнюдь не	7	1
67	переходя к	1	1
68	представляется нам	2	1
69	ведет по	1	1
70	и на	5	1
71	между ними	3	1
72	еще не	7	1
73	к ней	1	1
74	все же	6	1
75	что в	15	1
