N	4gram	Bakhtin_Fr	Tvorches
1	в то же время	12	24
2	но в то же	3	6
3	дело в том что	2	4
4	в том числе и	2	2
5	заключается в том что	1	2
6	на самом же деле	1	1
7	не что иное как	1	1
8	таким образом и в	1	1
9	мы уже говорили о	2	1
10	с точки зрения их	1	1
11	одного и того же	1	1
12	человека и его сознания	1	1
13	и в ряде других	1	1
14	мы уже говорили что	3	1
15	и те и другие	2	1
16	мы имеем в виду	2	1
17	до сих пор еще	3	1
18	начала и до конца	4	1
19	и в метафорическом смысле	1	1
20	то же время они	1	1
21	в этот день и	1	1
