N	2gram	Tiupa_Lite	ViktorSh
1	конце концов	1	2
2	в конце	6	2
3	и в	26	2
4	в том	22	2
5	том что	19	2
6	в другом	3	1
7	все время	1	1
8	от общего	1	1
9	но это	2	1
10	одно и	1	1
11	столь же	5	1
12	том же	3	1
13	их как	1	1
14	по существу	4	1
15	тут ни	1	1
16	связанным с	1	1
17	в самом	4	1
18	и т.д	8	1
19	что слово	1	1
20	для них	2	1
21	а только	2	1
22	от других	2	1
23	именно в	1	1
24	что сами	1	1
25	все то	2	1
26	ни к	1	1
27	имеется в	2	1
28	самом деле	2	1
29	более чем	4	1
30	другом месте	1	1
31	в новизне	2	1
32	но разве	1	1
33	с большой	1	1
34	говоря о	1	1
35	в частности	18	1
36	и то	3	1
37	так в	6	1
38	крайней мере	2	1
39	этом и	1	1
40	и его	7	1
41	сводится к	4	1
42	на заре	1	1
43	значительной степени	1	1
44	на одном	1	1
45	хотя бы	3	1
46	бы потому	1	1
47	по поводу	2	1
48	далеко не	4	1
49	тем более	2	1
50	по крайней	2	1
51	впрочем не	1	1
52	в которых	1	1
53	говорится в	2	1
54	к этому	2	1
55	только в	8	1
56	потому что	5	1
57	в значительной	1	1
58	языка если	1	1
59	в их	3	1
60	и только	4	1
61	то же	13	1
62	и не	19	1
63	гораздо более	1	1
64	я не	8	1
65	дело в	3	1
66	да и	3	1
67	в этом	19	1
68	так как	2	1
69	сколь и	1	1
