N	4gram	Voloshinov	Morfolog
1	в собственном смысле слова	1	3
2	бы то ни было	2	2
3	и тем не менее	2	2
4	не что иное как	1	2
5	говорить о том что	2	2
6	с точки зрения его	1	1
7	и т д таким	1	1
8	ввести читателя в круг	1	1
9	не могут быть поняты	1	1
10	уже не может быть	1	1
11	или во всяком случае	1	1
12	во что бы то	1	1
13	бы то ни стало	1	1
14	в коем случае не	1	1
15	в том что он	2	1
16	одно и то же	1	1
17	мы останавливаться не будем	1	1
18	т д таким образом	1	1
19	ответить на этот вопрос	1	1
20	в то же время	6	1
21	один и тот же	3	1
22	до сих пор не	1	1
23	мы видим таким образом	1	1
24	не может быть и	4	1
25	что бы то ни	1	1
26	ни в коем случае	1	1
27	видим таким образом что	1	1
28	есть не что иное	1	1
