N	4gram	Savitsky_E	formyVre
1	в то же время	14	18
2	одного и того же	1	9
3	и в то же	8	8
4	с одной стороны и	6	5
5	в том числе и	1	5
6	в то время как	1	4
7	в связи с этим	1	4
8	в той или иной	3	3
9	но в то же	2	3
10	так же как и	3	3
11	дело в том что	1	2
12	одна и та же	1	2
13	той или иной степени	1	2
14	с этой точки зрения	5	1
15	и прежде всего в	1	1
16	так же мало как	2	1
17	одну и ту же	1	1
18	в тех случаях когда	1	1
19	с другой стороны в	1	1
20	и для того чтобы	1	1
21	не только в том	1	1
22	плоть от плоти и	1	1
23	мы говорили в предыдущем	1	1
24	то же время не	1	1
25	же мало как и	2	1
26	и с точки зрения	1	1
27	когда дело идет о	1	1
28	было бы совершенно неправильно	1	1
29	во всех этих случаях	1	1
30	в качестве одной из	1	1
