N	4gram	Tiupa_Teor	VeschiIm
1	не что иное как	1	12
2	бы то ни было	2	12
3	есть не что иное	1	8
4	одно и то же	2	5
5	с этой точки зрения	2	4
6	дело в том что	1	4
7	в то же время	8	4
8	и в то же	2	3
9	мы имеем дело не	1	2
10	заключается в том что	1	2
11	чего бы то ни	1	2
12	в том что он	2	2
13	и в самом деле	2	1
14	сама по себе а	1	1
15	в самом деле –	1	1
16	относится не только к	1	1
17	ни в коем случае	2	1
18	какой бы то ни	1	1
19	одном и том же	1	1
20	в основе своей является	1	1
21	с одной стороны и	1	1
22	в одном и том	1	1
23	как бы вбирает в	1	1
24	одного и того же	4	1
25	с самим собою в	1	1
26	о том о чем	1	1
27	в коем случае не	2	1
28	я в свою очередь	1	1
29	том что он не	1	1
30	не содержит в себе	1	1
31	но в то же	2	1
32	не может быть и	1	1
33	никак не может быть	1	1
34	бы вбирает в себя	1	1
35	еще и потому что	1	1
