N	3gram	Tiupa_Narr	UchenyiS
1	в конечном счете	2	4
2	не может быть	5	4
3	то ни было	3	3
4	с другой стороны	4	3
5	бы то ни	3	3
6	в то же	3	3
7	то же время	3	3
8	и то что	1	2
9	в том что	8	2
10	в самом деле	1	2
11	до сих пор	1	2
12	тех или иных	1	2
13	то же самое	1	2
14	в этом отношении	3	2
15	по крайней мере	1	2
16	в этом смысле	1	2
17	в первую очередь	1	1
18	в не меньшей	1	1
19	то что было	1	1
20	никогда и не	1	1
21	друг с другом	1	1
22	и т.д в	1	1
23	сам по себе	1	1
24	так или иначе	2	1
25	на первый взгляд	2	1
26	не входит в	1	1
27	но по существу	1	1
28	претендует на роль	1	1
29	с одной стороны	7	1
30	она все же	1	1
31	в ней не	1	1
32	можно сказать что	4	1
33	как нам представляется	1	1
34	а не только	1	1
35	не только в	2	1
36	и прежде всего	1	1
37	более или менее	2	1
38	и в то	1	1
39	но это не	1	1
40	не меньшей степени	1	1
41	в данном случае	4	1
42	само по себе	1	1
43	все же не	4	1
