N	2gram	Tiupa_Narr	Freidism
1	таким образом	1	34
2	и не	20	34
3	точки зрения	10	31
4	не может	10	30
5	и пр	1	29
6	в этом	17	28
7	может быть	25	28
8	и в	19	28
9	прежде всего	4	26
10	в его	9	25
11	и его	5	22
12	мы можем	1	20
13	как бы	4	19
14	как мы	3	18
15	то что	11	17
16	вовсе не	1	16
17	с точки	2	15
18	точка зрения	6	15
19	все эти	2	15
20	с ним	1	14
21	так и	9	14
22	самом деле	2	14
23	и все	2	13
24	как и	7	13
25	по отношению	7	13
26	но в	6	13
27	во всех	1	13
28	в самом	1	12
29	то же	4	12
30	ни в	3	12
31	что он	6	12
32	том что	14	12
33	во внешнем	2	12
34	точку зрения	4	12
35	для него	2	12
36	и потому	2	12
37	и наконец	1	12
38	мы видели	1	12
39	только в	4	11
40	сказать что	4	11
41	отношению к	6	11
42	его в	2	11
43	один из	3	10
44	не только	32	10
45	и с	4	10
46	но и	23	10
47	тот же	1	10
48	никогда не	3	10
49	в том	18	10
50	мы уже	1	10
51	он не	3	10
52	все те	4	10
53	не в	14	10
54	и на	3	9
55	те же	4	9
56	уже не	5	9
57	совершенно не	2	9
58	мы не	1	9
59	с его	6	9
60	к нему	5	9
61	в чем	1	9
62	а не	12	9
63	и др	2	9
64	могут быть	3	9
65	при этом	9	8
66	все же	7	8
67	еще не	7	8
68	было бы	4	8
69	а в	11	8
70	с другими	1	8
71	на этом	1	8
72	в ней	3	8
73	оно и	1	8
74	что в	3	7
75	и к	1	7
76	не могут	1	7
77	связь с	1	7
78	роль в	2	7
79	так сказать	1	7
80	его жизни	2	7
81	хотя бы	4	7
82	что все	1	7
83	и для	2	7
84	из них	3	7
85	на протяжении	6	7
86	того что	2	7
87	не является	8	7
88	но не	6	7
89	об этом	1	7
90	и у	1	7
91	в нем	4	7
92	быть и	1	7
93	в этой	5	7
94	отношение к	2	7
95	в себе	8	7
96	жизни и	3	7
97	и прежде	1	7
98	в то	3	7
99	и ее	2	7
100	более того	1	7
101	зрения на	2	6
102	одно из	2	6
103	не менее	3	6
104	к тому	7	6
105	можно сказать	5	6
106	в основе	5	6
107	в свою	3	6
108	же время	4	6
109	из этих	3	6
110	мы имеем	2	6
111	как раз	2	6
112	на самом	1	6
113	здесь в	1	6
114	в таком	2	6
115	она не	2	6
116	совсем не	1	6
117	в пределах	2	6
118	и только	2	6
119	что это	3	5
