N	2gram	Bakhtin_sl	Otkroven
1	у него	5	22
2	и в	69	19
3	и не	32	13
4	но и	37	13
5	в этом	21	12
6	человека в	5	11
7	а не	29	11
8	не только	37	11
9	не в	14	11
10	может быть	40	11
11	человека и	3	10
12	и все	9	10
13	в нем	44	10
14	потому что	2	9
15	прежде всего	14	9
16	не было	4	9
17	в самой	1	9
18	никогда не	9	9
19	и он	1	8
20	он был	1	8
21	нет ничего	1	7
22	от него	5	7
23	ни с	1	7
24	в его	19	7
25	ивана карамазова	1	7
26	он не	5	7
27	но он	4	7
28	лишь в	6	7
29	до конца	25	7
30	человек не	1	7
31	все это	14	6
32	как и	8	6
33	в самом	6	5
34	достоевского и	1	5
35	в том	7	5
36	человеке и	3	5
37	для него	8	5
38	в этой	1	5
39	а в	10	5
40	отношение к	8	5
41	то что	2	5
42	человеку и	1	5
43	что в	3	4
44	только и	3	4
45	того чтобы	1	4
46	не может	27	4
47	всегда есть	1	4
48	что не	1	4
49	человек и	13	4
50	все эти	15	4
51	и его	45	4
52	он сам	1	4
53	в романах	3	4
54	с его	8	4
55	только одно	1	3
56	и от	5	3
57	все что	1	3
58	хотя бы	6	3
59	это не	8	3
60	для того	2	3
61	с ним	12	3
62	мысли и	1	3
63	в бесах	1	3
64	романах достоевского	1	3
65	в этих	8	3
66	не могут	7	3
67	как бы	16	3
68	было бы	3	3
69	могут быть	25	3
70	в себе	3	3
71	и есть	2	3
72	что он	2	3
73	различие между	1	3
74	это было	2	3
75	и ее	3	3
76	о том	5	3
77	того что	4	3
78	к нему	7	3
79	еще не	9	3
80	всего в	1	2
81	и к	9	2
82	как к	5	2
83	и потому	9	2
84	так и	22	2
85	что они	2	2
86	и то	2	2
87	в душе	1	2
88	все же	10	2
89	никогда и	1	2
90	так как	7	2
91	за все	1	2
92	должно быть	3	2
93	даже и	4	2
94	погружается в	1	2
95	к ней	2	2
96	его не	4	2
97	для всякого	1	2
98	и ни	1	2
99	уже в	2	2
100	в другом	4	2
101	совсем не	1	2
102	личности и	1	2
103	так что	2	2
104	в своем	9	2
105	в этот	1	2
106	героев достоевского	1	2
107	с которой	1	2
108	в которой	4	2
109	не все	2	2
110	возможностей и	1	2
111	и этим	3	2
112	одно из	1	2
113	что и	2	2
114	потребность в	1	2
115	от самого	1	2
116	в истории	6	2
117	его в	7	2
118	чем в	3	2
119	их не	1	2
120	ко всем	1	2
121	он весь	2	2
122	образ человека	1	2
123	и с	10	2
124	те которые	1	2
125	и там	6	2
126	он в	6	2
127	творчество достоевского	1	2
128	и о	3	2
129	сказать что	4	2
130	что для	1	2
131	тем что	1	2
132	и на	17	2
133	в других	4	2
134	с чем	1	2
135	что все	2	2
136	ничего не	5	2
137	хотя и	4	2
138	не есть	2	2
139	в своей	8	2
140	момент в	2	2
141	жизни в	2	2
142	по себе	4	2
143	к этому	3	2
144	и никогда	1	2
145	том что	6	2
146	и для	7	2
147	в ее	2	2
148	но в	13	2
149	и нет	3	2
150	науки о	2	1
151	него из	1	1
152	и мир	9	1
153	ближе к	1	1
154	во всем	3	1
155	к одному	1	1
156	в каждом	5	1
157	его собственного	1	1
158	во всяком	9	1
159	связан с	2	1
160	человек может	1	1
161	ко всему	1	1
162	быть он	1	1
163	его и	5	1
164	с образом	1	1
165	совершенно не	2	1
166	смерть и	1	1
167	попадает в	1	1
168	в новые	2	1
169	а потому	1	1
170	то он	1	1
171	в бытовом	1	1
172	лишь к	1	1
173	но оно	5	1
174	не допускает	1	1
175	которой все	1	1
176	для его	1	1
177	а с	2	1
178	и самое	3	1
179	все его	4	1
180	и других	5	1
181	один из	9	1
182	которым он	1	1
183	в котором	2	1
184	и здесь	5	1
185	та же	1	1
186	виду не	1	1
187	а вовсе	4	1
188	характер его	1	1
189	сам человек	1	1
190	мир в	1	1
191	же и	4	1
192	и лишь	1	1
193	не имеют	1	1
194	того как	2	1
195	из образов	1	1
196	пределы и	1	1
197	в первый	1	1
198	собой в	1	1
199	его с	1	1
200	она не	8	1
201	от власти	1	1
202	должна быть	3	1
203	мы не	4	1
204	больше всего	1	1
205	притом не	1	1
206	один только	1	1
207	смысле слова	2	1
208	связана с	2	1
209	и остаются	1	1
210	есть без	1	1
211	заключено в	1	1
212	еще более	7	1
213	также и	5	1
214	ту же	5	1
215	но не	7	1
216	быть сопоставлены	2	1
217	образ и	1	1
218	с какой	1	1
219	быть не	1	1
220	для раскрытия	1	1
221	от которого	1	1
222	был бы	2	1
223	в ней	7	1
224	из всех	1	1
225	главное и	1	1
226	проник в	1	1
227	самому себе	1	1
228	он видит	1	1
229	его речь	1	1
230	лишь его	1	1
231	динамика ее	1	1
232	была поставлена	2	1
233	человека от	1	1
234	а это	1	1
235	речи и	4	1
236	этом отношении	2	1
237	может служить	1	1
238	всяком случае	7	1
239	он и	1	1
240	о чем	1	1
241	и по-новому	1	1
