N	2gram	Trubetskoy	IolandNe
1	и с	5	3
2	что в	9	2
3	оба они	1	2
4	самого себя	4	2
5	он не	4	2
6	должен быть	2	2
7	ничего не	1	2
8	и не	9	2
9	в этом	13	2
10	говорить о	2	1
11	все эти	19	1
12	для того	8	1
13	а в	3	1
14	понятий и	1	1
15	это было	1	1
16	у всех	1	1
17	и со	1	1
18	и та	1	1
19	что для	4	1
20	для него	2	1
21	ученый но	1	1
22	тех же	2	1
23	тем что	1	1
24	не случайно	1	1
25	а позднее	1	1
26	только что	3	1
27	от нее	2	1
28	а если	1	1
29	того же	9	1
30	не так	4	1
31	теперь я	1	1
32	жизни и	2	1
33	с другой	6	1
34	но когда	1	1
35	в целом	5	1
36	точно и	1	1
37	очевидно что	3	1
38	в эту	2	1
39	нее и	1	1
40	другой стороны	5	1
41	я не	2	1
42	то и	2	1
43	и еще	1	1
44	что при	7	1
45	если бы	8	1
46	отношению к	11	1
47	бы все	1	1
48	доказать что	2	1
49	по существу	7	1
50	и сам	2	1
51	того что	7	1
52	а с	4	1
53	только для	1	1
54	так и	10	1
55	в основе	2	1
56	в значительной	1	1
57	от этого	1	1
58	того чтобы	8	1
59	и без	5	1
60	а для	2	1
61	бы в	3	1
62	есть только	2	1
63	и в	24	1
64	никогда не	4	1
65	еще одной	1	1
66	все это	13	1
67	по отношению	11	1
68	на котором	1	1
69	как о	1	1
70	в них	2	1
71	получилось не	1	1
