N	4gram	Tiupa_Narr	Formalny
1	в то же время	3	20
2	бы то ни было	3	7
3	и в то же	1	6
4	не может быть и	1	4
5	один и тот же	1	3
6	в том числе и	4	3
7	той мере в какой	1	2
8	с этой точки зрения	1	2
9	в той мере в	1	2
10	сам по себе а	1	2
11	и с точки зрения	1	2
12	какой бы то ни	1	2
13	в том или ином	2	2
14	не что иное как	2	1
15	к сыну а от	1	1
16	от отца к сыну	1	1
17	жанр есть типическая форма	1	1
18	не с точки зрения	1	1
19	дело в том что	1	1
20	отца к сыну а	1	1
21	по отношению к самому	1	1
22	дело здесь не в	1	1
23	своим следствием то что	1	1
24	совершенно очевидно что в	1	1
25	состоит в том чтобы	1	1
26	мере в какой это	1	1
27	но в таком случае	1	1
28	одного и того же	1	1
29	не от отца к	1	1
30	есть не что иное	1	1
