N	2gram	Potebnia_M	Sovremen
1	не может	18	17
2	может быть	46	12
3	точки зрения	4	12
4	таким образом	24	11
5	мы не	17	9
6	в каждом	6	8
7	в этом	19	7
8	и в	48	7
9	не можем	8	7
10	мы можем	13	6
11	в результате	1	6
12	каждый раз	3	6
13	как и	22	6
14	ничего не	1	6
15	и не	28	6
16	с точки	3	5
17	прежде всего	6	5
18	что же	3	5
19	каждом отдельном	1	5
20	все эти	1	5
21	и наконец	3	5
22	а в	14	4
23	так как	20	4
24	вопрос о	2	4
25	это не	2	4
26	не только	32	4
27	мы должны	6	4
28	как бы	10	4
29	нет и	2	4
30	если мы	2	4
31	их в	3	4
32	жизни и	3	4
33	вместе с	22	4
34	в целом	5	4
35	же это	1	4
36	в том	47	4
37	зависимости от	1	4
38	из них	11	4
39	мы видели	5	4
40	и к	5	3
41	и потому	9	3
42	видели что	1	3
43	этим мы	1	3
44	и мы	3	3
45	с самого	1	3
46	когда мы	4	3
47	уже в	10	3
48	то же	35	3
49	при этом	6	3
50	мы получаем	1	3
51	можем назвать	1	3
52	не в	24	3
53	а не	22	3
54	в системе	2	3
55	для нас	40	3
56	все это	4	3
57	мы получим	1	3
58	как он	1	3
59	в одном	4	3
60	у нас	2	3
61	а все	1	3
62	так называемых	3	3
63	в наших	2	3
64	и т.д	1	3
65	было бы	16	3
66	в первом	5	3
67	ли мы	3	3
68	в этой	3	3
69	из двух	4	3
70	он в	1	3
71	и все	5	3
72	мы называем	2	3
73	в себе	26	3
74	само собою	1	3
75	ясно что	1	3
76	не подлежит	2	3
77	что она	4	3
78	он может	2	3
79	все же	3	3
80	в области	3	3
81	может не	1	3
82	отличается от	1	3
83	между собой	1	3
84	в нем	16	3
85	но мы	3	3
86	но в	8	3
87	еще не	9	3
88	с этим	12	2
89	что в	30	2
90	тем не	7	2
91	в самом	11	2
92	дает нам	3	2
93	мы видим	3	2
94	и что	13	2
95	для развития	3	2
96	отличие от	2	2
97	такие же	2	2
98	друг с	1	2
99	которой он	1	2
100	ее на	1	2
101	то и	10	2
102	о значении	2	2
103	с одной	8	2
104	в свою	6	2
105	из этих	10	2
106	в его	6	2
107	во всяком	4	2
108	не будем	1	2
109	мы знаем	1	2
110	не дает	2	2
111	в которую	1	2
112	еще более	1	2
113	можно назвать	2	2
114	то ни	1	2
115	что это	6	2
116	или же	8	2
117	что при	3	2
118	быть и	1	2
119	только одну	2	2
120	из которых	1	2
121	только один	3	2
122	что такое	2	2
123	может иметь	1	2
124	если же	1	2
125	говорить о	6	2
126	на его	4	2
127	в науке	3	2
128	конечно в	1	2
129	с общим	2	2
130	у него	3	2
131	для его	1	2
132	не могут	7	2
133	в виде	3	2
134	свою очередь	6	2
135	и даже	3	2
136	самом деле	5	2
137	в которой	9	2
138	но все	2	2
139	некоторое время	3	2
140	к чему	2	2
141	же самое	3	2
142	который как	1	2
143	как мы	8	2
144	настоящее время	1	2
145	развития в	2	2
146	тем же	6	2
147	научное объяснение	1	2
148	и во	1	2
149	той же	6	2
150	о жизни	1	2
151	могут быть	6	2
152	в таком	6	2
153	развития но	1	2
154	в нашем	1	2
155	уже не	11	2
156	мы этого	1	2
157	не знаем	5	2
158	и есть	4	2
159	что все	5	2
160	и именно	1	2
161	на этот	1	2
162	но очень	1	2
163	не менее	9	2
164	так сказать	6	2
165	и по	5	2
166	времени и	2	2
167	на котором	4	2
168	форма в	5	2
169	с другом	1	2
170	из одного	3	2
171	в настоящее	1	2
172	в один	4	2
173	известных нам	1	2
174	каждого из	2	2
175	знаем что	1	2
176	тот же	2	2
177	подлежит сомнению	1	2
178	мы с	1	2
179	всяком случае	3	2
180	он должен	2	2
181	во всех	1	1
182	только одно	1	1
183	на предметы	1	1
184	необходимость в	1	1
185	бы то	2	1
186	время нет	1	1
187	которые в	1	1
188	к которому	1	1
189	это и	2	1
190	ходом развития	1	1
191	его и	1	1
192	этом случае	2	1
193	в свое	2	1
194	только не	5	1
195	но можно	1	1
196	этого явления	1	1
197	искать в	1	1
198	том случае	2	1
199	влечет за	1	1
200	образом все	1	1
201	а потому	8	1
202	то он	2	1
203	человека в	2	1
204	но как	2	1
205	то они	1	1
206	чем же	1	1
207	этот результат	1	1
208	только из	2	1
209	не является	1	1
210	из многих	3	1
211	в данном	3	1
212	до сих	4	1
213	не хотим	1	1
214	только к	1	1
215	все его	2	1
216	он уже	1	1
217	еще раз	2	1
218	и более	4	1
219	та же	3	1
220	по преимуществу	1	1
221	вытекает из	2	1
222	и иначе	1	1
