N	3gram	Tiupa_Hudo	EvropaiC
1	в том что	15	16
2	до сих пор	3	15
3	по отношению к	15	11
4	друг с другом	1	9
5	с точки зрения	5	8
6	более или менее	1	8
7	а между тем	3	8
8	на то что	2	7
9	для того чтобы	2	7
10	мы знаем что	1	7
11	на самом деле	1	7
12	друг от друга	2	6
13	лишь в том	1	5
14	в самом деле	5	5
15	так или иначе	3	5
16	не может быть	5	4
17	о том что	14	4
18	тем не менее	6	4
19	с другой стороны	1	4
20	в том случае	2	4
21	в конце концов	1	4
22	в этом случае	1	4
23	том случае если	2	4
24	заключается в том	1	3
25	не в состоянии	1	3
26	отличаются друг от	1	3
27	в настоящее время	1	3
28	все же не	2	3
29	так же как	2	3
30	в данном случае	3	3
31	и то что	1	3
32	не может не	1	3
33	в связи с	3	3
34	приобщение к чужой	1	3
35	бы то ни	1	3
36	ответить на вопрос	1	2
37	в том и	1	2
38	в свою очередь	1	2
39	во всяком случае	1	2
40	случае если бы	1	2
41	двух или нескольких	1	2
42	несмотря на то	1	2
43	при этом что	1	2
44	заключает в себе	1	2
45	что же касается	2	2
46	как и в	5	2
47	в то же	11	2
48	но и его	1	2
49	и все что	1	2
50	именно потому что	1	2
51	ничего общего с	1	2
52	как и все	1	2
53	между этими двумя	1	2
54	а с другой	1	2
55	в таком же	1	2
56	том что он	1	2
57	в высшей степени	1	2
58	но все же	2	2
59	с одной стороны	4	2
60	то же время	11	2
61	о том чтобы	1	2
62	что несмотря на	1	2
63	и в жизни	1	1
64	друг друга и	1	1
65	за то что	1	1
66	этом и состоит	1	1
67	это не более	1	1
68	так и у	1	1
69	мы уже знаем	2	1
70	ни то ни	1	1
71	и так или	1	1
72	культуры при этом	1	1
73	и на тех	1	1
74	та или иная	4	1
75	к тому времени	1	1
76	наиболее существенные особенности	1	1
77	в противоречие с	2	1
78	как мы знаем	1	1
79	что все они	1	1
80	а для того	1	1
81	этой точки зрения	1	1
82	в себе и	1	1
83	с этой точки	1	1
84	так и от	2	1
85	точно так же	1	1
86	к одному из	1	1
87	в том числе	1	1
88	для себя лично	1	1
89	только в том	4	1
90	не в том	2	1
91	в этом и	2	1
92	при этом не	1	1
93	это действительно так	1	1
94	чтобы ответить на	1	1
95	каким был до	1	1
96	с такой постановкой	1	1
97	состоит в том	3	1
98	что у него	2	1
99	лишь то что	1	1
100	во многих отношениях	1	1
101	однако это не	1	1
102	у него в	1	1
103	но при этом	3	1
104	именно в этой	1	1
105	и в конце	1	1
106	все та же	2	1
107	я не могу	1	1
108	каждый из них	1	1
109	дело в том	1	1
110	что все эти	1	1
111	между тем как	1	1
112	в приложении к	1	1
113	в то что	1	1
114	мы не знаем	1	1
115	том числе и	1	1
116	можно было бы	5	1
117	столь же мало	2	1
118	и это не	2	1
119	то ни другое	1	1
120	на пути к	1	1
121	в результате которой	1	1
122	я до сих	1	1
123	а в том	1	1
124	и заключает в	1	1
125	с самого начала	1	1
126	будем признать что	1	1
127	в нем не	1	1
128	не только не	3	1
129	уже знаем что	1	1
130	же самое что	2	1
131	на наших глазах	1	1
132	на первый взгляд	1	1
133	а не в	1	1
134	то же самое	3	1
135	и все же	1	1
136	между тем в	2	1
137	тут не в	1	1
138	это не случайно	2	1
139	и на него	1	1
140	и сам он	2	1
141	к тому что	8	1
142	в этих местах	1	1
143	вместо того чтобы	2	1
144	все это делает	1	1
145	то что мы	1	1
146	на тех кто	2	1
147	мы уже говорили	1	1
148	приводит к тому	2	1
149	в равной мере	2	1
150	сих пор еще	1	1
151	нет и не	1	1
152	упускать из виду	1	1
153	пока еще не	2	1
154	уже одно это	2	1
155	тот или иной	1	1
156	что при отсутствии	1	1
157	иной чем у	1	1
158	но с другой	1	1
159	в чистом виде	1	1
160	это было бы	1	1
