N	2gram	Losev_Prob	VLabPisa
1	таким образом	9	32
2	в этом	30	29
3	не только	37	26
4	и в	64	26
5	и т	13	25
6	может быть	29	23
7	и не	63	20
8	хотя бы	15	20
9	объективной действительности	3	19
10	т е	2	18
11	не может	18	17
12	в процессе	1	17
13	т д	12	16
14	в его	12	15
15	в том	19	15
16	этом отношении	2	14
17	в силу	2	14
18	все это	11	13
19	прежде всего	17	13
20	в качестве	3	12
21	вот что	1	12
22	в частности	5	12
23	как это	7	12
24	что в	21	11
25	с другой	8	11
26	из них	3	11
27	то же	10	10
28	не могут	6	10
29	в художественном	1	10
30	о том	25	10
31	но и	23	10
32	по этому	6	10
33	и др	2	10
34	для него	2	9
35	об этом	10	9
36	т п	1	9
37	к этому	1	9
38	могут быть	2	8
39	говорит и	3	8
40	другой стороны	7	8
41	только в	19	8
42	все эти	15	8
43	вместе с	4	8
44	том что	26	8
45	ни один	1	8
46	было бы	16	8
47	не следует	1	8
48	в своем	7	8
49	в основном	1	7
50	это не	7	7
51	говорит о	4	7
52	в году	1	7
53	не было	7	7
54	тому что	6	7
55	как и	7	7
56	их в	6	7
57	действительности и	5	7
58	во всех	9	7
59	а не	21	7
60	этому поводу	5	7
61	то что	72	7
62	художественное произведение	1	7
63	же в	5	7
64	в нем	14	7
65	из этих	5	7
66	один из	7	6
67	думается что	2	6
68	более или	7	6
69	в порядке	1	6
70	все же	7	6
71	идеи и	1	6
72	бы и	5	6
73	в искусстве	3	6
74	не в	6	6
75	между тем	3	6
76	так и	17	6
77	художественного произведения	1	6
78	в себе	16	6
79	или менее	7	6
80	в зависимости	2	6
81	том же	1	6
82	и его	3	6
83	в то	7	6
84	утверждать что	2	5
85	художественный образ	9	5
86	даже в	2	5
87	в результате	6	5
88	в их	7	5
89	в них	8	5
90	связи с	8	5
91	одним из	2	5
92	зависимости от	2	5
93	к тому	5	5
94	перед нами	7	5
95	не является	12	5
96	он говорит	2	5
97	вот почему	1	5
98	действующих лиц	2	5
99	и при	4	5
100	в пределах	2	5
101	как бы	18	5
102	в целом	1	5
103	сказать что	33	5
104	в плане	2	5
105	и есть	7	5
106	никогда не	8	5
107	в самом	10	4
108	ее в	2	4
109	только что	2	4
110	познания и	1	4
111	в ее	3	4
112	как раз	20	4
113	можно сказать	9	4
114	что для	4	4
115	в этой	14	4
116	вполне естественно	1	4
117	что все	9	4
118	что он	11	4
119	в виду	10	4
120	по существу	2	4
121	в романе	1	4
122	с тем	6	4
123	художественном произведении	1	4
124	в своей	8	4
125	является не	4	4
126	роль в	2	4
127	должен быть	1	4
128	с его	3	4
129	чем же	2	4
130	в связи	7	4
131	это только	4	4
132	в нашей	3	4
133	их и	1	4
134	них не	1	4
135	и сводится	1	4
136	в сознании	5	4
137	одна из	4	4
138	по поводу	6	4
139	отнюдь не	15	4
140	во время	1	4
141	и ее	9	4
142	познания в	1	4
143	и к	2	3
144	что они	5	3
145	видели что	1	3
146	что оно	4	3
147	что у	1	3
148	этой области	5	3
149	мы знаем	1	3
150	мы имеем	3	3
151	естественно что	2	3
152	того что	18	3
153	никак не	13	3
154	но как	11	3
155	утверждает что	1	3
156	со своим	1	3
157	что и	2	3
158	у нас	31	3
159	сводится к	3	3
160	подобно тому	2	3
161	его в	9	3
162	а белый	1	3
163	если бы	8	3
164	или в	5	3
165	в другую	1	3
166	это мы	2	3
167	именно в	5	3
168	в конце	13	3
169	или иная	1	3
170	например в	2	3
171	момент в	2	3
172	и как	10	3
173	в слове	1	3
174	же и	4	3
175	в которых	4	3
176	и отдельных	1	3
177	явлений и	1	3
178	не столь	2	3
