N	3gram	Tiupa_Disk	Komedia
1	в том что	18	29
2	к тому же	4	21
3	в то же	7	16
4	то же время	9	16
5	до сих пор	1	16
6	в самом деле	1	13
7	о том что	8	13
8	в свою очередь	3	10
9	едва ли не	2	10
10	по отношению к	13	9
11	вместе с тем	1	9
12	с одной стороны	12	9
13	речь идет о	2	8
14	с другой стороны	4	8
15	с самого начала	2	7
16	в первую очередь	3	7
17	во всяком случае	2	7
18	в отличие от	12	6
19	говоря уже о	2	6
20	в том числе	3	6
21	в связи с	1	6
22	с точки зрения	3	6
23	не говоря уже	2	6
24	что он не	1	5
25	о том как	1	5
26	к этому времени	1	5
27	то же самое	2	5
28	в этом отношении	4	5
29	тем не менее	1	5
30	том что он	1	5
31	в обоих случаях	1	4
32	но все же	1	4
33	в это время	1	4
34	не в состоянии	1	4
35	трагедии и в	1	3
36	по своему происхождению	2	3
37	друг от друга	1	3
38	и столь же	1	3
39	более или менее	2	3
40	на мой взгляд	3	3
41	в соответствии с	4	3
42	в чем не	1	3
43	кто из вас	1	3
44	равно как и	1	3
45	на то что	1	3
46	в этом же	1	3
47	состоит в том	3	3
48	не более чем	3	3
49	в новое время	1	3
50	том числе и	3	3
51	ни в чем	1	3
52	ни одно из	2	3
53	к мысли что	1	2
54	одной стороны и	3	2
55	как будто бы	2	2
56	и даже не	1	2
57	в конечном счете	2	2
58	в известной степени	1	2
59	в большинстве случаев	2	2
60	к одному и	1	2
61	в этом смысле	1	2
62	таким же образом	1	2
63	потому что в	2	2
64	как и в	3	2
65	в частности в	2	2
66	так и в	4	2
67	но при этом	3	2
68	каждый из них	2	2
69	как правило в	1	2
70	и в то	2	2
71	том что в	3	2
72	не было и	1	2
73	одной из сторон	1	2
74	к одной из	1	2
75	в основе своей	4	2
76	и в том	1	2
77	в тех случаях	1	2
78	здесь в этом	1	2
79	друг друга и	1	2
80	и тому же	1	2
81	только в том	2	2
82	и тем более	1	2
83	в одной из	2	2
84	подобно тому как	4	2
85	только потому что	1	2
86	не только в	2	2
87	одному и тому	1	2
88	в этом случае	3	2
89	как мы видели	1	2
90	тех случаях когда	1	2
91	и все же	3	2
92	как и всякий	1	2
93	одна из них	1	2
94	время от времени	1	1
95	следует понимать как	1	1
96	лицо к которому	1	1
97	но все эти	1	1
98	и далеко не	1	1
99	себе не может	1	1
100	в этот период	1	1
101	нас не дошли	1	1
102	не было в	3	1
103	на каждом шагу	1	1
104	до нас в	1	1
105	и вернуться к	1	1
106	не может быть	5	1
107	в самых общих	1	1
108	не следует упускать	1	1
109	который по самой	1	1
110	можно сказать что	3	1
111	во всех его	1	1
112	имеем дело с	1	1
113	том что на	1	1
114	до наших дней	1	1
115	не знает он	1	1
116	она могла бы	1	1
117	при этом даже	1	1
118	дошли до нас	1	1
119	сводится к одной	1	1
120	с ними произошло	1	1
121	далеко не всегда	1	1
122	к лицу с	2	1
123	в качестве примера	2	1
124	того или иного	2	1
125	друг на друга	1	1
126	одного и того	4	1
127	х годов в	1	1
128	событие о котором	1	1
129	все же достаточно	1	1
130	сам по себе	1	1
131	следует при этом	1	1
132	в том случае	1	1
133	по общему мнению	1	1
134	из них в	1	1
135	том что человек	1	1
136	еще не знает	1	1
137	ближе к тому	1	1
138	следует упускать из	1	1
139	ни о чем	2	1
140	не сводится к	4	1
141	большей или меньшей	2	1
142	по аналогии с	2	1
143	в полной мере	1	1
144	именно здесь в	1	1
145	и прежде всего	2	1
146	в данном случае	6	1
147	можно говорить о	1	1
148	по себе не	2	1
149	как одного из	1	1
150	приходит в голову	1	1
151	они принадлежат к	1	1
152	одно из двух	1	1
153	и того же	4	1
154	и каждый из	1	1
155	но в этом	1	1
156	в наше время	4	1
157	лицом к лицу	2	1
158	и в современной	1	1
159	в котором он	1	1
160	и не дает	1	1
161	к точке зрения	1	1
162	имея в виду	1	1
163	в значительной степени	3	1
164	но не менее	1	1
165	а не в	2	1
166	и не может	3	1
167	мы имеем дело	3	1
168	не было видно	1	1
169	может и не	1	1
170	vi в и	1	1
171	ничего не знаем	1	1
172	о котором он	1	1
173	прежде всего это	1	1
174	героя нашего времени	1	1
175	той или иной	6	1
176	но прежде всего	1	1
177	столь же неожиданная	1	1
178	могла бы быть	2	1
179	то что и	2	1
180	из той же	1	1
181	в том чтобы	2	1
182	том что ни	2	1
183	по крайней мере	3	1
184	именно в этой	1	1
185	свою принадлежность к	1	1
186	вождя афинской демократии	1	1
187	даже не только	1	1
188	не заметить что	1	1
189	и на его	1	1
190	в свое время	3	1
191	что же касается	4	1
192	в целом ряде	1	1
193	то что в	1	1
194	может быть в	1	1
195	и представляет его	1	1
196	он не может	1	1
197	представляет его себе	1	1
198	жизни но и	1	1
199	но тут же	1	1
200	внешнее и внутреннее	1	1
201	почти одновременно с	1	1
202	что с ними	1	1
203	и один из	1	1
204	в частности на	1	1
205	для литературного жанра	1	1
206	в противном случае	1	1
207	другой стороны в	1	1
208	может быть все	1	1
209	так и на	1	1
210	одной стороны он	1	1
211	тем же словом	1	1
212	при всей их	1	1
213	еще в одном	2	1
214	мы ничего не	1	1
215	до нас не	1	1
216	самых общих чертах	1	1
217	в нем только	1	1
218	принципиальное различие между	1	1
219	тем что он	2	1
220	том случае если	1	1
221	не последнюю роль	1	1
222	тому как мы	1	1
223	и не только	2	1
224	а нередко и	1	1
225	к себе и	1	1
226	с ней в	1	1
227	как уже говорилось	1	1
228	в другом случае	1	1
