N	2gram	Bakhtin_KF	BTomashe
1	все это	10	2
2	в ней	3	2
3	и не	28	2
4	видеть в	1	2
5	для которой	3	1
6	вопрос о	2	1
7	говорить о	2	1
8	творчества и	1	1
9	и о	1	1
10	было и	2	1
11	со всем	5	1
12	не только	5	1
13	всего в	1	1
14	следует конечно	2	1
15	не было	8	1
16	прежде всего	4	1
17	так по	1	1
18	бы только	1	1
19	и в	28	1
20	на самом	3	1
21	так и	2	1
22	признать его	1	1
23	можно в	1	1
24	в своей	11	1
25	во всяком	1	1
26	и потому	2	1
27	и во	1	1
28	говорить об	1	1
29	же не	1	1
30	не со	2	1
31	об этом	1	1
32	точке зрения	1	1
33	этой книги	1	1
34	совершенно не	7	1
35	не о	2	1
36	и полнее	1	1
37	всяком случае	1	1
38	было бы	8	1
39	как таковому	1	1
40	не следует	2	1
41	и ее	2	1
42	одной из	1	1
43	в значительной	1	1
44	в данном	2	1
45	более что	1	1
46	должна быть	4	1
47	в области	2	1
48	является только	1	1
49	и исторической	1	1
50	что все	1	1
51	области методологии	1	1
52	значительной степени	1	1
53	его не	1	1
54	а не	17	1
55	отнюдь не	7	1
56	до конца	3	1
57	представляется нам	1	1
58	и на	3	1
59	между ними	1	1
60	еще не	5	1
61	нет но	1	1
62	к ней	1	1
63	все же	5	1
64	что в	4	1
