N	4gram	Voloshinov	Problema
1	не что иное как	1	14
2	дело в том что	1	10
3	не чем иным как	1	7
4	бы то ни было	1	6
5	ни в чем не	3	5
6	и ни в чем	1	4
7	ни в коем случае	1	4
8	во всяком случае не	1	4
9	в связи с этим	1	4
10	так же как и	1	4
11	одного и того же	1	3
12	с этой точки зрения	1	3
13	говорить о том что	1	3
14	в коем случае нельзя	1	2
15	каких бы то ни	1	2
16	а вместе с тем	1	2
17	нечего и говорить о	1	2
18	мы имеем в виду	1	2
19	и говорить о том	1	2
20	до поры до времени	1	1
21	имеет очень мало общего	1	1
22	бы оно ни было	1	1
23	общем можно сказать что	1	1
24	в общем можно сказать	1	1
25	по своему качеству и	1	1
26	то же самое и	1	1
27	мы на самом деле	1	1
28	если бы он был	1	1
29	случае не может быть	1	1
30	подобно тому как мы	1	1
31	очень мало общего с	1	1
32	нам кажется что такие	1	1
33	а на самом деле	1	1
34	и пр можно сказать	1	1
35	только для того чтобы	1	1
36	сказать то же самое	1	1
37	и в этом смысле	2	1
