N	3gram	Tiupa_Anal	VelikijI
1	в том что	12	2
2	ведет по пути	1	2
3	а между тем	1	2
4	но и в	2	2
5	том что он	2	2
6	по этому пути	1	2
7	как бы и	1	2
8	так и в	1	1
9	бог не есть	1	1
10	в конце концов	1	1
11	свободного выбора в	1	1
12	мы видим что	1	1
13	в этом мире	1	1
14	и в форме	2	1
15	что они в	1	1
16	в прошлом и	1	1
17	как и в	6	1
18	и теперь в	1	1
19	по крайней мере	5	1
20	не могут быть	1	1
21	хотя бы и	1	1
22	как бы в	1	1
23	есть одна из	1	1
24	то что во	1	1
25	с другой стороны	7	1
26	в известном смысле	2	1
27	идет по этому	1	1
28	в них и	1	1
29	и каким образом	1	1
30	после того как	1	1
