N	2gram	Bakhtin_Fr	Retstnzi
1	не может	4	4
2	и в	73	3
3	в центре	2	2
4	один из	5	2
5	произведения но	1	1
6	может и	2	1
7	в особенности	5	1
8	несмотря на	3	1
9	может быть	5	1
10	не только	11	1
11	точки зрения	6	1
12	с точки	4	1
13	для него	7	1
14	первая часть	1	1
15	чужд и	1	1
16	в ней	10	1
17	тех же	2	1
18	себе все	3	1
19	в каждом	1	1
20	связи с	5	1
21	его от	1	1
22	конечно и	4	1
23	вещей и	2	1
24	в его	18	1
25	значительное количество	1	1
26	зрения их	1	1
27	влияния на	2	1
28	и заставляет	3	1
29	в языке	1	1
30	но и	15	1
31	мы видим	13	1
32	к тому	2	1
33	во второй	3	1
34	почти с	1	1
35	вероятнее всего	1	1
36	в то	14	1
37	из этих	1	1
38	категорий и	1	1
39	и больше	1	1
40	он в	2	1
41	же время	12	1
42	то же	16	1
43	по своим	2	1
44	не оказать	1	1
45	а не	2	1
46	бы в	3	1
47	в системе	2	1
48	и не	13	1
49	так называемая	1	1
50	на нее	1	1
51	и все	19	1
52	истории но	2	1
53	и на	12	1
54	вполне понятно	2	1
