N	2gram	Propp_Russ	Narrotol
1	не только	28	62
2	и не	6	50
3	при этом	11	47
4	но и	20	45
5	а не	3	38
6	в качестве	5	35
7	в частности	2	31
8	может быть	14	30
9	и в	59	30
10	в том	33	29
11	в этом	18	28
12	тогда как	4	28
13	своего рода	3	28
14	том что	33	28
15	а в	16	27
16	представляет собой	5	25
17	только в	4	25
18	состоит в	18	25
19	в данном	7	24
20	как и	19	24
21	не в	2	23
22	то что	10	23
23	то есть	3	22
24	в тексте	1	22
25	не может	6	20
26	в себе	1	17
27	данном случае	8	17
28	так и	8	17
29	а также	6	17
30	в его	3	16
31	к тому	4	15
32	можно сказать	1	15
33	но в	5	15
34	в жизни	2	14
35	и его	2	14
36	то же	6	13
37	в своей	1	13
38	уже не	9	13
39	о том	14	13
40	в своем	3	13
41	у него	2	13
42	все же	7	12
43	как в	10	12
44	перед нами	2	12
45	как бы	18	12
46	прежде всего	2	12
47	по отношению	1	11
48	об этом	11	11
49	к себе	1	11
50	хотя и	3	11
51	если бы	1	11
52	и тем	1	11
53	в этой	4	11
54	в нем	3	11
55	в отличие	4	11
56	отличие от	4	11
57	отношению к	1	11
58	один из	10	10
59	как правило	4	10
60	никогда не	1	10
61	тому же	1	10
62	точки зрения	3	10
63	между тем	9	10
64	как это	11	10
65	в то	3	10
66	и все	4	10
67	не является	2	10
68	жизни и	1	10
69	с его	1	10
70	ничего не	4	10
71	того что	6	10
72	но не	7	10
73	как раз	1	9
74	тем не	3	9
75	отнюдь не	3	9
76	что в	35	9
77	с ним	2	9
78	истории в	1	9
79	что он	2	9
80	еще не	7	9
81	потому что	15	9
82	для него	1	9
83	далеко не	5	9
84	в той	1	8
85	и к	3	8
86	в таком	5	8
87	о чем	7	8
88	не менее	3	8
89	одна из	12	8
90	он не	1	8
91	и он	1	8
92	самом деле	1	8
93	того чтобы	6	8
94	внимание на	1	8
95	мы имеем	7	8
96	и для	3	8
97	этом отношении	1	8
98	в литературе	1	8
99	у нас	11	8
100	имеет место	3	7
101	в котором	2	7
102	с другой	1	7
103	пока еще	1	7
104	на себя	4	7
105	в конце	1	7
106	в чем	1	7
107	в силу	2	7
108	и на	14	7
109	в форме	3	7
110	же в	5	7
111	и состоит	1	7
112	в свою	3	7
113	это не	14	7
114	из наиболее	2	7
115	или в	7	7
116	также и	1	7
117	в ней	3	7
118	в целом	2	7
119	все что	2	6
120	например в	3	6
121	между двумя	2	6
122	сказать что	1	6
123	в нашем	2	6
124	на него	1	6
125	что у	3	6
126	с одной	1	6
127	что и	8	6
128	могло бы	1	6
129	на другой	2	6
130	в случае	1	6
131	в детстве	1	6
132	не могла	1	6
133	в современной	1	6
134	однако в	1	6
135	однако и	1	6
136	во втором	1	6
137	в состав	1	6
138	таким образом	10	6
139	представляют собой	13	6
140	никак не	1	6
141	то и	4	6
142	из этих	6	6
143	здесь не	1	6
144	ответ на	2	6
145	они не	1	6
146	как у	2	6
147	слова в	3	6
148	не по	1	6
149	одной стороны	1	6
150	на то	2	6
151	вплоть до	4	6
152	только что	1	5
153	исходя из	2	5
154	не столько	3	5
155	в своих	3	5
156	и даже	1	5
157	и сам	1	5
158	именно в	3	5
159	а именно	2	5
160	и того	1	5
161	свою очередь	2	5
162	в другом	1	5
163	для того	6	5
164	не всегда	4	5
165	о них	2	5
166	может служить	1	5
167	в одном	4	5
168	точка зрения	1	5
169	из них	12	5
170	к нему	3	5
171	не было	3	5
172	или не	2	5
173	но для	1	5
174	между собой	4	5
175	в русской	1	5
176	по поводу	1	5
177	следует признать	2	5
178	точку зрения	1	5
179	и от	2	5
180	и здесь	3	5
181	что это	4	5
182	подобно тому	3	5
183	если не	1	5
184	их в	7	5
185	и у	5	5
186	с ними	6	5
187	о котором	1	5
188	было бы	3	5
189	за пределами	2	5
190	и то	2	5
191	свидетельствует о	1	5
192	мы не	11	5
193	на самом	3	5
194	в равной	2	5
195	в какой	3	5
196	тем более	1	5
197	тому как	3	5
198	в начале	1	5
199	еще в	6	5
200	в пределах	2	5
201	не случайно	2	5
202	и о	4	5
203	говорилось выше	1	5
204	этом и	1	5
205	место в	2	5
206	как будто	6	5
207	не являются	1	4
208	в виду	3	4
209	в них	10	4
210	в первом	1	4
211	и с	12	4
212	не вполне	1	4
213	которой он	1	4
214	только на	4	4
215	но они	4	4
216	который в	2	4
217	к этому	7	4
218	представить себе	1	4
219	что они	8	4
220	на том	1	4
221	несмотря на	4	4
222	к жизни	3	4
223	в третьем	1	4
224	и притом	1	4
225	не о	1	4
226	тому что	4	4
227	не будет	1	4
228	равной степени	2	4
229	другой день	2	4
230	и по	10	4
231	и ее	3	4
232	для себя	1	4
233	не на	2	4
234	оно не	2	4
235	вместе с	16	4
236	не имеет	9	4
237	в москве	4	4
238	в основе	1	4
239	могла бы	1	4
240	не могло	1	4
241	в поле	18	4
242	начиная с	4	4
243	что я	1	4
244	всяком случае	1	4
245	друг друга	3	4
246	ему в	1	4
247	нас нет	1	4
248	зависит от	1	4
249	во всяком	1	4
250	для нас	12	4
251	а на	8	4
252	и как	2	4
253	или даже	3	4
254	так в	5	4
255	ли не	1	4
256	по своему	2	4
257	не все	4	4
258	в области	3	4
259	от первого	1	4
260	она не	4	4
261	быть и	3	4
262	что касается	1	4
263	не с	5	4
264	как он	2	4
265	как по	2	4
266	к ней	4	4
267	как мы	11	4
268	на святках	15	4
269	что на	5	4
270	не к	3	4
271	что было	1	3
272	с этой	2	3
273	говорит о	3	3
274	не бывает	1	3
275	по мере	1	3
276	в этих	3	3
277	о своем	1	3
278	каждый из	3	3
279	обращает на	1	3
280	и дело	2	3
281	входит в	4	3
282	говорить о	2	3
283	точно так	1	3
284	так же	7	3
285	к ним	4	3
286	жизни как	1	3
287	наряду с	1	3
288	все время	1	3
289	что она	4	3
290	что именно	3	3
291	к ее	1	3
292	в церкви	2	3
293	ее и	2	3
294	она в	4	3
295	с точки	3	3
296	и сама	1	3
297	одно из	6	3
298	связи с	6	3
299	но он	3	3
300	не знает	1	3
301	в которой	3	3
302	что не	1	3
303	в связи	4	3
304	между ними	1	3
305	же как	5	3
306	и это	2	3
307	должен был	3	3
308	а с	6	3
309	себя внимание	2	3
310	и что	8	3
311	можно было	3	3
312	иметь в	2	3
313	как уже	6	3
314	не просто	3	3
315	как известно	2	3
316	даже если	1	3
317	в первой	1	3
318	а как	1	3
319	здесь мы	3	3
320	во время	23	3
321	в него	2	3
322	чем и	1	3
323	при такой	1	3
324	он уже	1	3
325	интерес к	2	3
326	то они	1	3
327	от их	1	3
328	ни о	1	3
329	с таким	2	3
330	и т	13	3
331	приводит к	4	3
332	зависимости от	1	3
333	всей своей	1	3
334	еще и	1	3
335	что мы	1	3
336	как на	2	3
337	в роли	1	3
338	быть не	1	3
339	подобного рода	1	3
340	случае с	1	3
341	нет оснований	1	3
342	тем же	1	3
343	до конца	5	3
344	на этот	3	3
345	но это	5	3
346	и после	2	3
347	и девочка	1	3
348	он и	1	3
349	истории как	1	3
350	же не	2	3
351	в виде	10	3
352	дело в	1	3
353	все эти	5	3
354	по его	2	3
355	так а	1	3
356	должен быть	2	3
357	и потому	3	3
358	того или	1	3
359	а к	3	3
360	дело не	2	3
361	связано с	3	3
362	во второй	1	3
363	не следует	1	3
364	первые два	1	3
365	каждого из	1	3
366	со своими	1	3
367	для обозначения	2	3
368	в е	2	3
369	мы и	1	2
370	от имени	1	2
371	есть время	1	2
372	те же	1	2
373	город с	1	2
374	в году	5	2
375	нас в	2	2
376	с той	2	2
377	случае он	1	2
378	быть может	1	2
379	с собой	4	2
380	людей и	1	2
381	границы между	1	2
