N	4gram	Bakhtin_Pr	FransuaR
1	в то же время	3	55
2	но в то же	1	20
3	дело в том что	1	13
4	и в то же	2	12
5	на самом же деле	1	10
6	с одной стороны и	1	5
7	и не может быть	1	4
8	не что иное как	1	3
9	таким образом и в	1	3
10	и в изобразительных искусствах	1	3
11	есть не что иное	1	3
12	в настоящее время в	1	2
13	бы то ни было	2	2
14	в его целом в	1	2
15	в большинстве случаев не	2	2
16	которой можно было бы	1	2
17	то же время этот	1	2
18	ни в коем случае	2	2
19	мы можем сказать что	1	2
20	а также и в	1	2
21	не подлежит конечно никакому	1	2
22	и с точки зрения	1	2
23	подлежит конечно никакому сомнению	1	2
24	никогда не может быть	1	1
25	на протяжении всего романа	1	1
26	во всех его моментах	1	1
27	в том и в	1	1
28	в нем не только	1	1
29	есть именно то что	1	1
30	вопрос о том как	1	1
31	не входит в наши	1	1
32	в этом существенное отличие	2	1
33	с одной стороны в	1	1
34	в первом случае мы	1	1
35	в то время как	1	1
36	и с его помощью	1	1
37	точка зрения на мир	1	1
38	самое существенное отношение к	1	1
39	во всех своих моментах	2	1
40	в высшей степени характерно	1	1
41	не обходится и без	1	1
42	все то что не	1	1
43	том и в другом	1	1
44	но и в них	1	1
45	здесь же мы должны	1	1
46	то что не имеет	1	1
47	всех его моментах как	1	1
48	но и во всех	1	1
49	и в том и	1	1
50	не может быть конечно	1	1
51	входит в наши задачи	1	1
52	о мире и человеке	1	1
53	ни в чем не	2	1
54	дело конечно не в	1	1
55	с природой и с	1	1
56	и независимо от него	1	1
57	то же время она	1	1
58	в следующей главе посвященной	1	1
59	подчеркиваем что дело идет	1	1
60	по отношению к которому	1	1
61	не чем иным как	1	1
62	находит свое отражение в	1	1
63	и во всех своих	1	1
64	на самом деле и	1	1
65	и в этом отношении	1	1
66	в строгом смысле слова	1	1
67	между тем как в	2	1
68	не в том что	1	1
