N	4gram	Vygotskiy_	Sovremen
1	не хотим сказать что	1	1
2	с помощью которых он	2	1
3	но тем не менее	1	1
4	то же самое что	1	1
5	все более и более	1	1
6	бы то ни было	1	1
7	подлежит никакому сомнению что	2	1
8	друг с другом мы	1	1
9	одной и той же	5	1
10	во всяком случае не	1	1
11	с одной стороны и	1	1
12	не подлежит никакому сомнению	2	1
13	совершенно так же как	1	1
14	не что иное как	2	1
15	в том что эта	1	1
16	одна и та же	1	1
17	в такой же мере	1	1
18	одни и те же	3	1
19	когда мы говорим о	1	1
20	таким образом ясно что	1	1
21	один и тот же	6	1
22	есть не что иное	1	1
