N	2gram	Vinokur_Vv	VelikijI
1	и не	13	20
2	и в	35	16
3	так как	15	9
4	то что	19	9
5	в истории	9	8
6	еще не	4	8
7	и потому	2	7
8	что они	2	7
9	а не	5	7
10	человека и	1	6
11	не есть	5	6
12	что есть	1	5
13	хотя и	5	5
14	того что	12	5
15	все это	6	5
16	как бы	7	5
17	но и	7	5
18	все что	1	4
19	в котором	4	4
20	в этом	35	4
21	что мы	2	4
22	потому что	18	4
23	в его	12	4
24	в ней	3	4
25	так и	2	4
26	это еще	2	4
27	говорить о	5	4
28	и есть	3	4
29	и все	1	4
30	что не	5	4
31	что все	1	4
32	как и	7	4
33	что он	5	4
34	и я	1	4
35	в нем	13	4
36	во всех	2	3
37	что в	13	3
38	бы и	3	3
39	за ним	1	3
40	то это	3	3
41	в конце	3	3
42	должно быть	2	3
43	нас и	1	3
44	если не	1	3
45	хотя бы	6	3
46	в том	38	3
47	любовь к	4	3
48	тому что	2	3
49	этих трех	1	3
50	не в	10	3
51	и что	6	3
52	что и	5	3
53	превращается в	1	3
54	в этих	3	3
55	в них	5	3
56	оно не	1	3
57	не было	2	3
58	лишь в	1	3
59	и будет	1	3
60	в жизни	1	3
61	человечества и	1	3
62	по этому	3	3
63	как не	1	3
64	в своей	4	3
65	должна быть	2	3
66	от этого	5	3
67	не имеет	4	3
68	но это	2	3
69	и для	4	3
70	истории человечества	1	3
71	жизни и	2	3
72	в чем	4	3
73	все эти	3	3
74	тот же	1	3
75	но в	10	3
76	к тому	4	3
77	никогда не	3	3
78	чтобы сделать	1	2
79	что было	1	2
80	человечества на	1	2
81	всего в	1	2
82	государства и	2	2
83	во всяком	5	2
84	его и	1	2
85	материалом для	1	2
86	а к	1	2
87	один из	6	2
88	не могли	2	2
89	которые не	2	2
90	на том	3	2
91	не создает	1	2
92	того чтобы	22	2
93	это не	8	2
94	между тем	10	2
95	не только	26	2
96	для него	1	2
97	вот почему	3	2
98	и тогда	3	2
99	с ним	1	2
100	но теперь	1	2
101	не будет	1	2
102	ее в	1	2
103	для нас	1	2
104	и то	7	2
105	и за	1	2
106	не с	3	2
107	прежде всего	10	2
108	а есть	1	2
109	для них	2	2
110	можно было	8	2
111	в форме	2	2
112	а между	2	2
113	и это	6	2
114	мы не	2	2
115	нет еще	1	2
116	только в	16	2
117	все равно	2	2
118	а с	2	2
119	под этим	1	2
120	а в	6	2
121	до того	2	2
122	в духе	1	2
123	человечества в	1	2
124	в прошлом	2	2
125	в число	2	2
126	истории и	4	2
127	и сам	3	2
128	нет и	1	2
129	и последний	1	2
130	но не	9	2
131	и никогда	1	2
132	тем что	6	2
133	могут быть	6	2
134	значения и	1	2
135	с тем	6	2
136	давно уже	1	2
137	и т	45	2
138	по видимости	1	2
139	одна из	3	2
140	во главе	1	2
141	его к	2	2
142	не могут	6	2
143	т д	39	2
144	да и	4	2
145	и новые	1	2
146	том что	30	2
147	почему в	1	2
148	так много	1	2
149	в себя	1	2
150	что их	1	2
151	уже не	6	2
152	мира в	1	2
153	не к	2	2
154	в новом	1	1
155	с которыми	2	1
156	в самом	13	1
157	во всем	2	1
158	бы то	1	1
159	ли они	1	1
160	перестает быть	1	1
161	были в	1	1
162	и другие	2	1
163	и стало	1	1
164	было не	1	1
165	а потому	5	1
166	человека в	1	1
167	но как	2	1
168	все в	1	1
169	нужно знать	2	1
170	мы видим	1	1
171	что оно	2	1
172	уже сказано	1	1
173	на котором	2	1
174	для нашего	1	1
175	любви и	1	1
176	речь идет	2	1
177	из сторон	1	1
178	вообще в	2	1
179	только слово	1	1
180	будто бы	2	1
181	и на	3	1
182	она и	1	1
183	тому кто	1	1
184	на части	1	1
185	вопрос о	10	1
186	о духе	1	1
187	на этом	3	1
188	может быть	30	1
189	они не	1	1
190	что нет	2	1
191	после того	2	1
192	к человеку	1	1
193	бытие не	1	1
194	она с	1	1
195	вся история	1	1
196	быте и	1	1
197	одно целое	2	1
198	слова для	1	1
199	того как	3	1
200	это как	1	1
201	которая в	1	1
202	и вообще	3	1
203	своей целью	2	1
204	до времени	1	1
205	общественной жизни	1	1
206	от природы	1	1
207	в руки	6	1
208	и вот	3	1
209	уже в	5	1
210	б и	1	1
211	для себя	1	1
212	у них	2	1
213	что уже	3	1
214	с этой	5	1
215	то же	11	1
216	для всякого	1	1
217	по сравнению	4	1
218	то ни	1	1
219	для того	23	1
220	iv в	2	1
221	это только	4	1
222	не по	1	1
223	нельзя не	6	1
224	не быть	1	1
225	и должна	1	1
226	эта идея	1	1
227	что всякий	1	1
228	и своим	1	1
229	этом пути	1	1
230	но от	1	1
231	что это	3	1
232	это значит	1	1
233	это отрицание	1	1
234	не всегда	1	1
235	которые идут	1	1
236	в разных	7	1
237	него в	2	1
238	о чем	4	1
239	нужна для	1	1
240	они только	1	1
241	в ее	11	1
242	и тем	5	1
243	есть один	1	1
244	и уже	3	1
245	своим объектом	1	1
246	говорит о	3	1
247	нашего времени	2	1
248	как это	5	1
249	истории в	2	1
250	есть еще	3	1
251	от этой	1	1
252	практическом действии	1	1
253	и всегда	1	1
254	есть что-нибудь	1	1
255	есть и	5	1
256	слова не	1	1
257	в одном	4	1
258	у нас	2	1
259	о своем	1	1
260	в этой	3	1
261	и конечная	1	1
262	есть продукт	1	1
263	потребность в	1	1
264	в результате	4	1
265	говорит что	1	1
266	в виду	5	1
267	другой стороны	5	1
268	человеческого духа	1	1
269	основной вопрос	1	1
270	нет никакого	1	1
271	и чем	2	1
272	но что	3	1
273	человека к	1	1
274	уже и	10	1
275	в русском	1	1
276	у него	1	1
277	по словам	1	1
278	них и	2	1
279	образом по	2	1
280	существует и	1	1
281	не существует	2	1
282	так же	3	1
283	в виде	4	1
284	тогда как	2	1
285	не была	1	1
286	но с	5	1
287	и самые	1	1
288	в своих	2	1
289	наука не	2	1
290	всего что	1	1
291	человеческой природы	1	1
292	о возможности	1	1
293	с другой	8	1
294	свою роль	1	1
295	в которой	1	1
296	но все	4	1
297	но какой	1	1
298	ее от	2	1
299	и с	2	1
300	наших дней	2	1
301	много общего	1	1
302	и можно	1	1
303	к ним	1	1
304	жизнь в	1	1
305	существует как	1	1
306	может ли	2	1
307	каким образом	2	1
308	отношение к	3	1
309	на нее	3	1
310	известном смысле	3	1
311	важное для	1	1
312	бытия и	1	1
313	с именем	1	1
314	себе такую	1	1
315	или даже	1	1
316	что со	1	1
317	лишь как	2	1
318	как мы	11	1
319	двадцать веков	1	1
320	имеет своим	1	1
321	из всего	1	1
322	но нет	1	1
323	и до	2	1
324	лишь к	1	1
325	прошлом и	3	1
326	смысле нельзя	2	1
327	смысле и	2	1
328	в своем	3	1
329	меня в	1	1
330	его нужно	1	1
331	был в	2	1
332	еще и	4	1
333	целое и	2	1
334	и от	1	1
335	в изображении	1	1
336	лишь на	1	1
337	как она	4	1
338	ничего не	2	1
339	равно не	1	1
340	о людях	1	1
341	с ними	1	1
342	и именно	13	1
343	конечная цель	1	1
344	духа в	1	1
345	и очень	1	1
346	по крайней	4	1
347	о которой	2	1
348	в атмосфере	1	1
349	природы и	2	1
350	и так	2	1
351	вместе с	6	1
352	все же	9	1
353	в одно	1	1
354	и которые	1	1
355	как в	3	1
356	жизни человечества	1	1
357	этого слова	2	1
358	в которых	6	1
359	значение в	2	1
360	была с	1	1
361	сделать его	1	1
362	и настоящем	1	1
363	человеке и	1	1
364	и могут	1	1
365	и эта	1	1
366	к этому	3	1
367	в их	12	1
368	который был	1	1
369	какие бы	1	1
370	это в	2	1
371	в практическом	2	1
372	сравнению с	4	1
373	может и	1	1
374	конце концов	2	1
375	зависимости от	3	1
376	себя не	1	1
377	есть то	1	1
378	которого не	1	1
379	в известном	3	1
380	себе и	2	1
381	не просто	5	1
382	он был	1	1
383	в целом	5	1
384	крайней мере	4	1
385	теперь и	1	1
386	и ее	4	1
387	вовсе не	6	1
388	что на	1	1
389	их для	1	1
390	есть не	5	1
391	д и	1	1
392	смысле на	1	1
393	бы в	2	1
394	к нему	3	1
