N	4gram	Bakhtin_Pr	Morfolog
1	в то время как	1	3
2	бы то ни было	2	2
3	и тем не менее	1	2
4	не что иное как	1	2
5	ни к чему не	1	2
6	бы они ни были	1	1
7	не могут быть поняты	1	1
8	в основе очень многих	1	1
9	по отношению к этой	1	1
10	во что бы то	1	1
11	как бы они ни	1	1
12	бы то ни стало	1	1
13	в коем случае не	2	1
14	вопрос о том как	1	1
15	входит в наши задачи	1	1
16	не входит в наши	1	1
17	мы останавливаться не будем	1	1
18	тем не менее мы	1	1
19	в то же время	3	1
20	иногда в тех же	1	1
21	что бы то ни	1	1
22	ни в коем случае	2	1
23	это дало бы возможность	1	1
24	на то что в	1	1
25	есть не что иное	1	1
