N	4gram	Medvedev_V	FransuaR
1	в то же время	5	55
2	но в то же	1	20
3	в том числе и	2	17
4	большей или меньшей степени	2	14
5	в большей или меньшей	2	14
6	и в то же	3	12
7	в той или иной	1	10
8	с одной стороны и	2	5
9	и не может быть	2	4
10	нет и не может	1	3
11	в значительной мере и	1	2
12	с другой стороны в	1	2
13	говорит о том что	1	2
14	до сих пор не	1	2
15	не подлежит сомнению что	1	2
16	с большей или меньшей	1	2
17	не может быть и	1	2
18	после того как он	1	2
19	может быть и речи	1	2
20	и по отношению к	1	2
21	так же как и	1	2
22	в том или ином	1	2
23	никогда не может быть	1	1
24	по отношению к ней	1	1
25	в точном смысле слова	2	1
26	в другом месте в	1	1
27	сцен из рыцарских времен	1	1
28	не только в искусстве	1	1
29	но к тому же	1	1
30	в то время как	1	1
31	к тому же выводу	1	1
32	что для того чтобы	1	1
33	в искусстве и в	1	1
34	это и есть то	1	1
35	одно и то же	1	1
36	в одном и том	1	1
37	той или иной мере	1	1
38	одном и том же	2	1
39	и вместе с тем	1	1
40	целом но и в	1	1
41	имеет ничего общего с	1	1
42	в области художественного творчества	1	1
43	с другой стороны он	1	1
44	в этом отношении очень	1	1
45	о том можно ли	1	1
46	о том как он	1	1
47	и в другом месте	2	1
48	в том случае если	1	1
49	они не только не	1	1
50	но даже и не	1	1
51	точном смысле слова не	1	1
52	и др таким образом	1	1
53	примеров можно было бы	1	1
54	быть и речи о	1	1
55	то же время она	1	1
56	в том же духе	1	1
57	есть в конечном счете	1	1
58	на то или иное	1	1
59	в плоть и кровь	1	1
60	на него со стороны	1	1
61	не чем иным как	1	1
62	хотя бы и не	2	1
63	и в конечном счете	1	1
64	не имеет ничего общего	1	1
65	роль в этом отношении	1	1
66	но вместе с тем	1	1
67	не в том что	2	1
68	в начале этой главы	1	1
69	во всех его элементах	2	1
70	если можно так выразиться	1	1
71	в том что оно	1	1
