N	3gram	Trubetskoy	Vladivir
1	в том что	3	29
2	о том что	4	22
3	тем не менее	3	18
4	в то время	1	13
5	во всяком случае	6	12
6	в связи с	3	12
7	более или менее	5	11
8	в конце концов	3	11
9	к тому же	4	11
10	не может быть	1	10
11	в то же	2	10
12	вместе с тем	8	10
13	с точки зрения	6	10
14	то что он	2	9
15	у него в	1	9
16	на этот раз	1	9
17	то же время	2	9
18	на то что	2	8
19	точно так же	3	7
20	так или иначе	3	6
21	в данном случае	1	6
22	в отличие от	1	6
23	с другой стороны	1	6
24	и в этом	2	6
25	в настоящее время	1	6
26	и в то	1	5
27	бы то ни	2	5
28	и потому что	2	5
29	что и в	1	5
30	можно сказать что	2	4
31	для того чтобы	5	4
32	в этом отношении	2	4
33	сказать что в	1	4
34	и вместе с	4	4
35	что в этом	1	4
36	по крайней мере	5	4
37	с одной стороны	7	4
38	еще и потому	1	4
39	в самом деле	1	3
40	в котором он	1	3
41	в том числе	5	3
42	не в том	1	3
43	потому что в	1	3
44	ничего общего с	2	3
45	свидетельствует о том	1	3
46	иметь в виду	1	3
47	а с другой	5	3
48	а в том	1	3
49	не только не	1	3
50	только то что	1	3
51	в свою очередь	1	3
52	не имеет никакого	1	3
53	несмотря на все	1	3
54	мы видели выше	1	3
55	с самого начала	2	3
56	в первую очередь	1	3
57	и в смысле	1	3
58	так же как	3	2
59	и тот же	1	2
60	но вместе с	2	2
61	в этот период	1	2
62	и по своим	1	2
63	совершенно так же	1	2
64	ввиду того что	1	2
65	в таком случае	1	2
66	в себе не	1	2
67	так и в	1	2
68	до сих пор	5	2
69	в этой области	1	2
70	то есть о	1	2
71	точки зрения того	1	2
72	из них не	1	2
73	то ни было	2	2
74	не может не	1	2
75	или по крайней	1	2
76	что даже в	1	2
77	ярко свидетельствует о	1	2
78	все существующее в	1	2
79	из этих трех	1	2
80	сих пор не	1	2
81	что это есть	1	2
82	а так как	3	2
83	в самом этом	1	2
84	один и тот	1	2
85	а следовательно и	1	2
86	таким образом если	2	2
87	но в общем	1	2
88	но в то	1	2
89	главным образом в	3	2
90	при таких условиях	1	2
91	с тем что	1	2
92	и все же	1	2
93	притом не только	1	2
94	все это было	1	2
95	это и есть	1	2
96	после того как	1	2
97	может быть и	2	2
98	и иной раз	1	1
99	свою очередь с	1	1
100	мы видим что	1	1
101	до известной степени	1	1
102	после смерти этого	1	1
103	нет ничего кроме	1	1
104	людей но и	1	1
105	и в результате	1	1
106	с представлением о	1	1
107	и те и	2	1
108	сказать и о	1	1
109	указывает на то	1	1
110	и только на	1	1
111	крайней мере в	1	1
112	и что она	1	1
113	крайней мере до	1	1
114	самом деле если	1	1
115	а с тем	1	1
116	том виде в	2	1
117	его жизнь в	1	1
118	но не с	1	1
119	христианской точки зрения	2	1
120	с тем чтобы	4	1
121	не потому что	1	1
122	том как бы	1	1
123	той или иной	2	1
124	с тем и	2	1
125	в то что	1	1
126	в разные стороны	1	1
127	и никогда не	1	1
128	что в этой	1	1
129	не исключая и	1	1
130	виде в каком	1	1
131	до настоящего времени	1	1
132	в которых он	1	1
133	то же самое	2	1
134	а после смерти	1	1
135	с тех пор	2	1
136	лишь постольку поскольку	1	1
137	но все же	4	1
138	лицом к лицу	1	1
139	к чему не	1	1
140	о том как	1	1
141	что все существующее	1	1
142	только тогда когда	1	1
143	в этом последнем	1	1
144	таком случае эта	1	1
145	может и не	1	1
146	на каждом шагу	1	1
147	нельзя сказать чтобы	1	1
148	чуть ли не	1	1
149	может быть в	1	1
150	есть истинный бог	1	1
151	те и другие	2	1
152	о его существовании	1	1
153	как на нечто	1	1
154	в значительной мере	2	1
155	тем что в	1	1
156	и только в	1	1
157	что начиная с	1	1
158	не только от	1	1
159	с этой точки	2	1
160	востока и запада	1	1
161	но когда мы	1	1
162	смерти этого последнего	1	1
163	тем и другим	1	1
164	на этот путь	2	1
165	хотя бы с	1	1
166	но все это	2	1
167	состоит в том	1	1
168	начинается с того	1	1
169	но в конце	1	1
170	если подойти к	1	1
171	время одного из	1	1
172	смысле этого слова	1	1
173	что мы можем	1	1
174	и к концу	1	1
175	и это православие	1	1
176	и прежде чем	1	1
177	во время одного	1	1
178	данном случае мы	1	1
179	которой не было	1	1
180	он в конце	1	1
181	смысле так и	1	1
182	но тем не	1	1
183	а вместе с	1	1
184	что касается до	1	1
185	том что духовная	1	1
186	человеку если он	1	1
187	что учение о	1	1
188	ни к чему	1	1
189	и если некоторые	1	1
190	вернуться к этому	1	1
191	ему в этом	1	1
192	этой точки зрения	2	1
193	в том виде	2	1
194	не только как	1	1
195	больше чем с	1	1
196	но и для	2	1
