N	3gram	Vinokur_St	DiskursI
1	в том что	29	28
2	в отличие от	1	26
3	по отношению к	3	17
4	с одной стороны	2	14
5	не может быть	5	12
6	в данном случае	7	12
7	то же время	5	10
8	той или иной	1	10
9	о том что	19	9
10	в то же	5	8
11	в этом отношении	13	8
12	как и в	2	7
13	так и в	5	6
14	в соответствии с	1	6
15	к тому же	2	6
16	по крайней мере	2	6
17	с точки зрения	10	6
18	с другой стороны	8	5
19	в первую очередь	2	5
20	в значительной степени	2	5
21	что же касается	3	5
22	дело в том	7	5
23	не только в	4	5
24	на мой взгляд	1	5
25	тем не менее	4	4
26	не в том	3	4
27	а с другой	1	4
28	и не может	1	4
29	в наше время	1	4
30	в свое время	3	4
31	и мн др	3	4
32	в этом случае	3	4
33	как будто бы	1	3
34	говоря уже о	2	3
35	в том числе	3	3
36	более или менее	2	3
37	и то же	1	3
38	того или иного	4	3
39	в том случае	1	3
40	в обоих случаях	2	3
41	том числе и	2	3
42	но не менее	1	3
43	а не в	1	3
44	мы имеем дело	1	3
45	в борисе годунове	19	3
46	в этом жанре	1	3
47	не говоря уже	2	3
48	в одной из	3	3
49	одно и то	1	3
50	содержит в себе	1	3
51	том что в	4	3
52	во всяком случае	8	3
53	также и в	1	3
54	это прежде всего	2	3
55	мере в какой	3	2
56	бы то ни	2	2
57	точка зрения на	1	2
58	в той мере	2	2
59	на том что	1	2
60	ни одно из	1	2
61	он не может	1	2
62	то что могло	1	2
63	на этом основании	1	2
64	сами по себе	2	2
65	одних и тех	1	2
66	речь идет о	3	2
67	и в то	1	2
68	для своего времени	1	2
69	а в том	1	2
70	той мере в	2	2
71	то ни было	1	2
72	никогда не было	1	2
73	и в том	3	2
74	в том и	1	2
75	в одном из	4	2
76	и тем же	2	2
77	мысль о том	1	2
78	не столько в	1	2
79	но и в	2	2
80	в том чтобы	1	2
81	только то что	1	2
82	только в том	3	2
83	и тех же	1	2
84	одним и тем	2	2
85	не приходится удивляться	1	2
86	это еще не	1	2
87	на литовской границе	1	2
88	с самого начала	3	2
89	и то что	2	2
90	может быть признана	1	2
91	тем или иным	3	2
92	так и на	1	2
93	из того же	1	2
94	а также и	2	2
95	обратить внимание на	3	2
96	что он не	5	1
97	в той или	1	1
98	но все эти	1	1
99	как и во	1	1
100	а не на	1	1
101	свою задачу в	1	1
102	пушкиным все же	1	1
103	что же это	1	1
104	и даже не	2	1
105	о том как	1	1
106	в применении к	3	1
107	согласно которому в	1	1
108	как и вообще	2	1
109	на пути от	1	1
110	что в одном	1	1
111	в этом смысле	2	1
112	по сравнению с	1	1
113	это в равной	1	1
114	и в другом	1	1
115	то или иное	3	1
116	одни и те	1	1
117	в году как	1	1
118	так например в	4	1
119	хотя бы и	2	1
120	дело не в	2	1
121	в самом деле	7	1
122	в котором он	2	1
123	для того чтобы	13	1
124	в еще более	1	1
125	некоторые из них	1	1
126	друг от друга	1	1
127	свидетельствует о том	1	1
128	говорит о том	3	1
129	но и вся	1	1
130	не только имеет	1	1
131	во втором случае	2	1
132	что у него	1	1
133	говорит о себе	1	1
134	так или иначе	3	1
135	сам по себе	1	1
136	долгом по отношению	1	1
137	пушкиным в его	3	1
138	до сих пор	12	1
139	в иных случаях	2	1
140	значение в истории	1	1
141	иметь в виду	2	1
142	в отношении к	1	1
143	прежде всего к	1	1
144	для правильного понимания	1	1
145	произведения в том	1	1
146	и таким образом	1	1
147	даже и в	1	1
148	но также и	5	1
149	в россии в	1	1
150	не могло быть	1	1
151	одно из двух	1	1
152	одной из двух	1	1
153	же несомненно и	1	1
154	не может не	1	1
155	в данном отношении	6	1
156	том что так	1	1
157	к участию в	1	1
158	на этот раз	2	1
159	вовсе не является	1	1
160	но все же	3	1
161	в другом месте	1	1
162	мысль о возможности	1	1
163	имея в виду	1	1
164	такого рода в	1	1
165	в равной мере	2	1
166	но это не	1	1
167	и о том	1	1
168	говорит об этом	2	1
169	и в тексте	1	1
170	ни для кого	2	1
171	и в этом	4	1
172	не только по	1	1
173	во второй половине	1	1
174	в ответ на	1	1
175	внимание на то	1	1
176	как своего рода	2	1
177	столь же несомненно	1	1
178	за то что	5	1
179	вольному воля а	1	1
180	и могут быть	1	1
181	вместе с тем	2	1
182	чем у пушкина	2	1
183	даже сказать что	1	1
184	бориса годунова но	1	1
185	и те же	1	1
186	следует обратить внимание	1	1
187	и только в	3	1
188	но и здесь	2	1
189	на то что	5	1
190	может быть ни	1	1
191	из монастыря и	1	1
192	заключается в том	4	1
193	из двух или	1	1
194	в это время	3	1
195	в одно целое	1	1
196	а иногда и	2	1
197	с исчерпывающей полнотой	2	1
198	в которой он	1	1
199	ту или иную	1	1
200	но в целом	2	1
201	в целом ряде	1	1
202	то что в	3	1
203	к одному из	1	1
204	в результате этого	1	1
205	но столь же	2	1
206	можно даже сказать	1	1
207	при этом и	1	1
208	тем более что	2	1
209	только таким путем	1	1
210	в известном смысле	1	1
211	истории русской поэзии	1	1
212	на самом деле	7	1
213	убедительно говорит о	1	1
214	в этом утверждении	1	1
215	далеко не все	1	1
216	то все же	1	1
217	в основе трагедии	1	1
218	до нас не	1	1
219	том что и	1	1
220	можно было бы	8	1
221	по тем или	1	1
222	однако и в	1	1
223	только потому что	2	1
224	и это не	1	1
225	во всех этих	1	1
226	именно в том	1	1
227	а не по	1	1
228	том что он	6	1
229	бориса годунова в	4	1
230	а не для	1	1
231	жизни и смерти	1	1
232	между тем в	1	1
233	по мнению автора	1	1
234	это не просто	1	1
235	не должно было	1	1
236	гораздо проще чем	1	1
237	в предисловии к	2	1
238	в прошлом но	1	1
239	в виду что	1	1
240	ни в чем	1	1
241	имеем дело с	2	1
242	после того как	5	1
