N	4gram	Bakhtin_sl	Literetu
1	в то же время	15	21
2	с этой точки зрения	1	5
3	бы то ни было	1	4
4	с одной стороны и	2	3
5	в том числе и	1	3
6	но с другой стороны	1	3
7	дело в том что	1	2
8	не исключают друг друга	1	2
9	одно и то же	2	2
10	именно в том что	1	1
11	о себе как бы	1	1
12	и прежде всего в	1	1
13	только и не столько	1	1
14	все более и более	1	1
15	в том что в	1	1
16	с точки зрения говорящего	1	1
17	и т п это	1	1
18	и в то же	6	1
19	нас в данном случае	1	1
20	и потому не может	1	1
21	то же время в	1	1
22	в данном случае не	1	1
23	не только и не	1	1
24	с точки зрения которого	1	1
25	в каждый данный момент	4	1
26	в том что он	1	1
27	каковы бы ни были	1	1
28	то же время он	1	1
29	в той или иной	12	1
30	оттесняет на задний план	1	1
31	но в то же	6	1
