N	2gram	Medvedev_I	Vvedenie
1	в этом	2	35
2	и в	1	35
3	для того	1	23
4	того чтобы	1	22
5	что в	2	13
6	и не	2	13
7	того что	1	12
8	с другой	1	8
9	все это	1	6
10	тем что	1	6
11	в руки	1	6
12	а в	1	6
13	другой стороны	1	5
14	в них	1	5
15	от этого	1	5
16	говорить о	1	5
17	в целом	1	5
18	только что	1	4
19	видит в	1	4
20	должен быть	2	4
21	как о	1	4
22	по отношению	1	4
23	отношению к	1	4
24	если бы	1	3
25	и сам	1	3
26	а также	1	3
27	другое дело	1	3
28	нисколько не	1	3
29	все эти	1	3
30	в значительной	1	3
31	того же	1	3
32	никогда не	1	3
33	так и	1	2
34	знать и	1	2
35	себя в	1	2
36	то она	1	2
37	и с	3	2
38	по существу	1	2
39	жизни и	1	2
40	и без	1	2
41	и творчества	1	2
42	есть только	1	2
43	и со	1	2
44	как только	1	2
45	могло бы	1	2
46	а с	1	2
47	а если	1	2
48	ничего не	2	2
49	значительной мере	1	2
50	и др	1	2
51	произведения и	1	2
52	них не	1	2
53	хорошо знать	1	2
54	а отсюда	1	2
55	же это	1	2
56	на котором	1	2
57	бы в	1	2
58	и очень	1	1
59	этого все	1	1
60	неудивительно что	1	1
61	для него	1	1
62	и чрезвычайно	1	1
63	что при	1	1
64	было не	1	1
65	и о	1	1
66	нам в	1	1
67	цель и	1	1
68	этим и	1	1
69	о жизни	1	1
70	очевидно что	1	1
71	не остается	1	1
72	человеке и	1	1
73	без этого	1	1
74	это было	1	1
75	в эту	1	1
76	а для	1	1
77	по поводу	1	1
78	и многое	1	1
79	и занимается	1	1
80	тех же	1	1
81	автора и	1	1
82	не дает	1	1
83	и та	1	1
84	и тот	1	1
85	оба они	2	1
86	творчества пушкина	1	1
87	после смерти	1	1
88	о ней	1	1
89	и ничего	1	1
