N	2gram	Potebnia_M	Poddanst
1	не только	32	17
2	и в	48	14
3	и не	28	12
4	в области	3	11
5	в этом	19	10
6	д е	1	10
7	в том	47	9
8	то же	35	9
9	но в	8	9
10	хотя бы	3	8
11	в пределах	1	8
12	и д	1	8
13	только в	29	7
14	же время	8	7
15	с к	2	7
16	в то	16	7
17	в ней	11	6
18	xix века	1	6
19	быть может	7	6
20	было бы	16	6
21	но и	30	6
22	в смысле	4	6
23	может быть	46	5
24	отношении к	3	5
25	с другой	8	5
26	не в	24	5
27	и о	6	5
28	в которых	5	5
29	и к	5	4
30	что в	30	4
31	в котором	7	4
32	по себе	26	4
33	и если	4	4
34	и потому	9	4
35	мы должны	6	4
36	в с	1	4
37	с т	2	4
38	на пути	2	4
39	и е	1	4
40	не может	18	4
41	а в	14	4
42	то что	37	4
43	как бы	10	4
44	если бы	20	4
45	а также	1	4
46	в своем	6	4
47	же в	3	4
48	том что	28	4
49	в сравнении	4	3
50	в себе	26	3
51	сравнении с	1	3
52	что мы	16	3
53	с одной	8	3
54	мы не	17	3
55	это не	2	3
56	одной стороны	4	3
57	для того	8	3
58	между тем	19	3
59	с точки	3	3
60	хотя и	3	3
61	е и	1	3
62	с тем	9	3
63	потому что	82	3
64	она есть	2	3
65	прежде всего	6	3
66	вслед за	6	3
67	пред лицом	1	3
68	сводится к	1	3
69	тем самым	11	3
70	сами по	3	3
71	света как	1	3
72	заключается в	2	3
73	но не	8	3
74	могут быть	6	3
75	я и	3	3
76	и т	12	3
77	и как	8	3
78	с ними	6	3
79	столь же	8	3
80	в порядке	1	3
81	в нем	16	3
82	и без	9	3
83	д а	1	3
84	тот же	2	3
85	точки зрения	4	3
86	с этим	12	2
87	во всех	1	2
88	в сочетании	1	2
89	и это	6	2
90	и других	3	2
91	и мы	3	2
92	было в	6	2
93	которую мы	1	2
94	если в	2	2
95	более чем	2	2
96	и вот	1	2
97	время в	3	2
98	не будем	1	2
99	еще более	1	2
100	по-видимому не	2	2
101	эта идея	1	2
102	каждый в	1	2
103	в ее	3	2
104	и тем	8	2
105	того что	24	2
106	никак не	3	2
107	в его	6	2
108	а не	22	2
109	нужно было	2	2
110	для нас	40	2
111	все это	4	2
112	в которую	1	2
113	говорить о	6	2
114	в тот	1	2
115	заключает в	10	2
116	может и	1	2
117	и есть	4	2
118	стороны и	1	2
119	и и	1	2
120	в виде	3	2
121	в них	9	2
122	только это	1	2
123	не было	12	2
124	сомнения что	1	2
125	к чему	2	2
126	и с	4	2
127	в начале	3	2
128	может ли	1	2
129	как на	6	2
130	слова но	3	2
131	в общем	1	2
132	о х	1	2
133	мысль о	12	2
134	которое в	2	2
135	в сфере	1	2
136	главным образом	1	2
137	она ни	1	2
138	духа и	1	2
139	именно в	5	2
140	должно быть	9	2
141	в жизни	1	2
142	отношения к	2	2
143	друг другу	2	2
144	взгляда на	1	2
145	есть нечто	6	2
146	помнить что	1	2
147	в силу	7	2
148	между прочим	5	2
149	в мире	3	2
150	например в	9	2
151	не менее	9	2
152	в ряду	7	2
153	в выборе	1	2
154	где бы	1	2
155	не столько	2	2
156	думать что	6	2
157	с с	1	2
158	со стороны	4	2
159	да и	2	2
160	точек зрения	1	2
161	суждений о	1	2
162	не нужно	1	2
163	в эту	4	2
164	из них	11	2
165	дети и	1	2
166	есть не	9	2
167	весьма мало	1	2
168	тем более	9	2
169	есть в	6	2
170	переход от	3	2
171	не к	4	2
172	бы ни	6	2
173	в ком	1	1
174	были бы	1	1
175	представить себе	5	1
176	говорится о	1	1
177	нет ничего	2	1
178	ли они	1	1
179	возможность не	1	1
180	от нее	2	1
181	ее части	1	1
182	во всяком	4	1
183	тем в	1	1
184	могли бы	3	1
185	не есть	24	1
186	его возможно	1	1
187	собственном смысле	2	1
188	и теперь	6	1
189	находятся в	3	1
190	и то	13	1
191	но как	2	1
192	понимать что	1	1
193	бы и	4	1
194	мы можем	13	1
195	несовершенство и	1	1
196	и эти	1	1
197	мы видим	3	1
198	а с	4	1
199	в данном	3	1
200	не хотим	1	1
201	только к	1	1
202	с его	1	1
203	за то	1	1
204	области и	1	1
205	что оно	12	1
206	определенном смысле	1	1
207	и многие	3	1
208	сходства между	1	1
209	и более	4	1
210	те же	6	1
211	вместе с	22	1
212	и здесь	3	1
213	основная задача	1	1
214	до тех	5	1
215	и на	5	1
216	только а	1	1
217	отличие от	2	1
218	в самом	11	1
219	составляющее в	1	1
220	вопрос о	2	1
221	не означает	1	1
222	может не	1	1
223	что происходит	1	1
224	них в	2	1
225	это в	2	1
226	только что	12	1
227	действие которое	1	1
228	мысль и	2	1
229	вероятно что	2	1
230	также что	1	1
231	в действии	1	1
232	со всякою	1	1
233	бы она	2	1
234	признаки что	1	1
235	с и	3	1
236	и глубины	1	1
237	и который	1	1
238	очень далеко	1	1
239	прямо на	1	1
240	она не	4	1
241	уже в	10	1
242	как условие	1	1
243	наиболее общих	1	1
244	должна быть	2	1
245	пор пока	2	1
246	чем то	1	1
247	наших глазах	2	1
248	более или	6	1
249	них самих	2	1
250	есть прежде	2	1
251	можно думать	3	1
252	связана с	1	1
253	только как	9	1
254	того чтобы	5	1
255	к соединению	1	1
256	мы знаем	1	1
257	вела к	1	1
258	на основе	1	1
259	есть для	7	1
260	прочим потому	1	1
261	и менее	1	1
262	многих случаях	1	1
263	вопросу о	1	1
264	но возможно	1	1
265	что истина	1	1
266	мира но	1	1
267	формы в	3	1
268	во многих	3	1
269	того чем	1	1
270	что это	6	1
271	не более	1	1
272	что называют	1	1
273	одно и	7	1
274	что при	3	1
275	есть как	1	1
276	не были	4	1
277	утверждается как	1	1
278	мысли и	8	1
279	с которой	2	1
280	ряду многих	1	1
281	какой бы	1	1
282	должна была	1	1
283	науке и	1	1
284	из этих	10	1
285	идеи и	2	1
286	что если	5	1
287	что с	2	1
288	что то	1	1
289	положение что	2	1
290	именно на	2	1
291	не как	3	1
292	только один	3	1
293	об отношении	5	1
294	оно ни	2	1
295	зрения той	1	1
296	что уже	2	1
297	в каждом	6	1
298	эта мысль	2	1
299	из мира	1	1
300	и вслед	1	1
301	только на	4	1
302	не с	4	1
303	что эта	3	1
304	например с	1	1
305	не об	2	1
306	в других	3	1
307	верим в	1	1
308	и при	5	1
309	и что	13	1
310	в различных	2	1
311	не могла	2	1
312	некотором смысле	2	1
313	связь между	6	1
314	при существовании	1	1
315	масс и	1	1
316	чем говорить	1	1
317	ли их	1	1
318	на основании	1	1
319	что и	16	1
320	тем и	5	1
321	мы хотим	1	1
322	или его	1	1
323	другой стороны	4	1
324	идеи в	2	1
325	этом смысле	2	1
326	что народ	1	1
327	далеко не	5	1
328	только то	1	1
329	не дается	5	1
330	в этих	2	1
331	не вполне	1	1
332	не прийти	1	1
333	них и	1	1
334	что все	5	1
335	в истории	2	1
336	как оно	2	1
337	и любовью	1	1
338	как по	1	1
339	так же	6	1
340	человека с	2	1
341	этой последней	2	1
342	как она	2	1
343	его в	6	1
344	знаем что	1	1
345	речь но	1	1
346	вопрос об	2	1
347	каждый из	1	1
348	в большинстве	2	1
349	и наоборот	5	1
350	д не	1	1
351	все же	3	1
352	при виде	1	1
353	времени с	1	1
354	и притом	3	1
355	которого в	3	1
356	в настоящее	1	1
357	если представить	1	1
358	всего что	1	1
359	теми же	1	1
360	но на	2	1
361	только признанием	1	1
362	что его	3	1
363	того кто	2	1
364	в результате	1	1
365	явления которые	1	1
366	и слова	4	1
367	в которой	9	1
368	никому другому	1	1
369	в прошлом	1	1
370	должен быть	1	1
371	в этой	3	1
372	причины почему	2	1
373	в наших	2	1
374	к ним	3	1
375	прежде чем	2	1
376	самосознание и	1	1
377	и еще	1	1
378	определенно и	1	1
379	из нее	2	1
380	к первому	2	1
381	два различных	1	1
382	что по	4	1
383	по преимуществу	1	1
384	духа в	2	1
385	и которая	1	1
386	на нее	2	1
387	себя в	1	1
388	круга мыслей	1	1
389	из двух	4	1
390	само по	6	1
391	оно есть	4	1
392	к науке	2	1
393	настоящее время	1	1
394	видим в	1	1
395	том виде	2	1
396	чтобы понять	1	1
397	что не	12	1
398	развития в	2	1
399	если мы	2	1
400	иначе как	2	1
401	тем же	6	1
402	но для	1	1
403	в каком	8	1
404	но есть	3	1
405	было иметь	1	1
406	что есть	3	1
407	заключен в	1	1
408	ведет к	1	1
409	к другим	4	1
410	чувство и	1	1
411	на наш	2	1
412	какой она	1	1
413	мнения о	1	1
414	более что	1	1
415	менее ясно	1	1
416	происходит и	1	1
417	тогда когда	20	1
418	и другим	2	1
419	и пред	1	1
420	относящиеся к	1	1
