N	2gram	Losev_Prob	DiskursI
1	в качестве	3	72
2	а не	21	60
3	может быть	29	56
4	не только	37	49
5	и в	64	49
6	как и	7	47
7	при этом	8	46
8	и не	63	44
9	в том	19	44
10	представляет собой	2	41
11	то есть	61	41
12	том что	26	40
13	в этом	30	38
14	в себе	16	37
15	в частности	5	36
16	но и	23	35
17	но не	13	31
18	со стороны	2	28
19	но в	19	28
20	так и	17	28
21	не может	18	27
22	по своей	1	26
23	как в	5	25
24	такого рода	20	24
25	отнюдь не	15	23
26	еще не	18	23
27	в рамках	1	23
28	а также	6	20
29	в своей	8	19
30	все же	7	19
31	в нем	14	19
32	прежде всего	17	19
33	далеко не	9	18
34	в основе	4	18
35	то же	10	17
36	в данном	16	17
37	с другой	8	17
38	точки зрения	5	16
39	только в	19	16
40	о том	25	15
41	то что	72	15
42	роль в	2	15
43	в его	12	15
44	не менее	26	14
45	можно сказать	9	14
46	одной стороны	4	14
47	с одной	4	14
48	не в	6	14
49	ни к	1	14
50	не является	12	14
51	это не	7	14
52	или иной	8	14
53	как бы	18	13
54	для него	2	13
55	в целом	1	13
56	в своих	3	12
57	при всей	1	12
58	в своем	7	12
59	того же	3	12
60	и на	11	12
61	и все	9	12
62	данном случае	10	12
63	не было	7	11
64	не сводится	1	11
65	столь же	1	11
66	что в	21	11
67	с его	3	11
68	и как	10	11
69	той или	10	10
70	а с	1	10
71	для себя	9	10
72	а в	7	10
73	также и	22	10
74	в них	8	9
75	уже не	9	9
76	пока еще	12	9
77	себя в	1	9
78	внимание на	4	9
79	между тем	3	9
80	в силу	2	9
81	в то	7	9
82	сводится к	3	9
83	еще в	2	9
84	тем самым	11	9
85	в этих	7	8
86	и даже	19	8
87	к тому	5	8
88	в котором	5	8
89	в противоположность	1	8
90	из них	3	8
91	хотя и	8	8
92	он не	5	8
93	если в	2	8
94	не на	4	8
95	не следует	1	8
96	совпадает с	2	8
97	потому что	24	8
98	этом отношении	2	8
99	человека в	1	8
100	как уже	1	8
101	не с	1	8
102	и о	11	8
103	о чем	11	7
104	другой стороны	7	7
105	таким образом	9	7
106	одной из	1	7
107	что и	2	7
108	тому же	1	7
109	его в	9	7
110	к этому	1	7
111	в этой	14	7
112	могут быть	2	7
113	например в	2	7
114	ни в	13	7
115	в процессе	1	7
116	перед нами	7	7
117	ни для	1	7
118	той же	2	7
119	но это	11	7
120	и для	10	7
121	основе своей	1	7
122	нового времени	1	7
123	в пределах	2	7
124	лишь в	4	7
125	и ее	9	7
126	и его	3	7
127	мира в	2	7
128	не как	2	6
129	одно из	2	6
130	именно в	5	6
131	и того	5	6
132	времени в	2	6
133	одна из	4	6
134	крайней мере	8	6
135	никогда не	8	6
136	то в	6	6
