N	3gram	Savitsky_P	Sovremen
1	с точки зрения	3	5
2	не может быть	1	4
3	друг с другом	1	2
4	во всяком случае	1	2
5	в отличие от	1	2
6	в настоящее время	1	2
7	уже в древней	1	1
8	что дело идет	1	1
9	не было бы	1	1
10	мы знаем что	1	1
11	в том что	4	1
12	и именно в	1	1
13	не более как	1	1
14	одной стороны и	2	1
15	в которой расположены	1	1
16	сами по себе	3	1
17	прежде всего мы	1	1
18	с одной стороны	3	1
19	в известном смысле	1	1
20	так же как	1	1
21	то же время	7	1
22	не в том	1	1
23	в то же	7	1
24	заключает в себе	2	1
25	подчеркнуть что дело	1	1
26	и в этом	1	1
27	тот или иной	1	1
28	в этом смысле	1	1
29	и в то	2	1
30	и не может	1	1
31	почва под ногами	1	1
