N	3gram	Trubetskoy	Stilisti
1	в то же	2	9
2	для того чтобы	7	7
3	в зависимости от	1	7
4	то же время	2	7
5	с точки зрения	8	5
6	одно и то	1	5
7	и то же	1	5
8	в свою очередь	2	4
9	заключает в себе	2	4
10	и той же	1	4
11	одной и той	1	4
12	с самого начала	1	4
13	то же самое	1	4
14	то что мы	1	4
15	но для того	1	3
16	на самом деле	7	3
17	в конце концов	4	3
18	как мы видели	1	3
19	в этом случае	4	3
20	не забудем что	1	3
21	но все же	2	3
22	мы видели что	1	2
23	и для того	1	2
24	в самом деле	5	2
25	может показаться что	1	2
26	и в сознании	1	2
27	все то что	1	2
28	мы можем не	1	2
29	вместе с тем	3	2
30	мы видим что	1	2
31	не может быть	4	2
32	по отношению к	11	2
33	о том что	4	2
34	в голову не	1	2
35	но при этом	1	2
36	смысле этого слова	1	2
37	с тем и	1	2
38	мы не знаем	1	2
39	тех случаях когда	1	2
40	на первый взгляд	1	2
41	в связи с	3	2
42	к тому что	1	2
43	тот или иной	1	2
44	в тех случаях	1	2
45	мы все же	2	1
46	в нашем случае	2	1
47	так и от	1	1
48	в том что	16	1
49	благодаря тому что	1	1
50	целый ряд вопросов	1	1
51	и в жизни	1	1
52	в том и	2	1
53	таким образом мы	1	1
54	друг друга и	1	1
55	о которой мы	2	1
56	о котором мы	1	1
57	бы не в	1	1
58	показаться что мы	1	1
59	мы уже знаем	1	1
60	но вместе с	2	1
61	мысль о том	1	1
62	для этого необходимо	1	1
63	образом здесь не	1	1
64	борьбе за существование	1	1
65	как и вообще	1	1
66	не внешним образом	1	1
67	по крайней мере	1	1
68	лишь при условии	2	1
69	и тому же	1	1
70	на каждом этапе	1	1
71	в себе и	1	1
72	если мы возьмем	1	1
73	как и в	2	1
74	то для того	1	1
75	я до сих	1	1
76	если бы человечество	1	1
77	тот факт что	4	1
78	тем не менее	4	1
79	полного тождества между	1	1
80	и поэтому мы	1	1
81	только в том	1	1
82	в своем развитии	4	1
83	что при этом	1	1
84	том и другом	1	1
85	при этом не	1	1
86	более или менее	8	1
87	по сравнению с	5	1
88	независимо от того	1	1
89	но и его	2	1
90	все эти слова	1	1
91	таким образом в	3	1
92	отнюдь не противоречит	1	1
93	этот вопрос в	1	1
94	одного и того	3	1
95	отвлекаться в сторону	1	1
96	лишь то что	1	1
97	не говоря уже	1	1
98	не будет уже	1	1
99	даже в области	1	1
100	из них в	1	1
101	до сих пор	15	1
102	именно потому что	2	1
103	лишь постепенно в	1	1
104	иметь в виду	1	1
105	иметь не может	1	1
106	возможна лишь при	1	1
107	сошли с ума	1	1
108	между этими двумя	2	1
109	и от всех	1	1
110	и в голову	1	1
111	самом широком смысле	1	1
112	но в этой	1	1
113	одному и тому	1	1
114	а затем и	1	1
115	не только не	1	1
116	хотя бы в	1	1
117	и того же	3	1
118	и т.д в	1	1
119	бы нам удалось	1	1
120	и если я	1	1
121	во всех их	1	1
122	не может не	3	1
123	социальной жизни он	1	1
124	в высшей степени	2	1
125	два первых вопроса	1	1
126	мы говорили выше	6	1
127	и все же	1	1
128	между тем в	1	1
129	самом деле является	1	1
130	та или иная	1	1
131	для многих других	1	1
132	в котором они	1	1
133	с другой стороны	4	1
134	в самом широком	1	1
135	только тогда когда	1	1
136	нет и не	1	1
137	вполне очевидно что	1	1
138	с течением времени	4	1
139	можно было бы	1	1
140	что несмотря на	2	1
141	и не может	1	1
142	бы прежде всего	1	1
143	если мы будем	1	1
144	если бы нам	1	1
