N	4gram	Ircho_Kome	Problemy
1	в то же время	11	26
2	и в то же	2	7
3	бы то ни было	3	6
4	в то время как	3	3
5	и к тому же	2	2
6	мы можем сказать что	1	2
7	ни в чем не	2	2
8	и до сих пор	1	1
9	до сих пор еще	1	1
10	с одной стороны и	2	1
11	слова мы увидим что	1	1
12	не с точки зрения	1	1
13	и того же слова	1	1
14	с точки зрения того	1	1
15	в зависимости от того	1	1
16	именно потому что он	1	1
17	о том что он	1	1
18	сих пор еще не	1	1
19	в пределах того же	1	1
20	одного и того же	1	1
21	одних и тех же	1	1
22	в собственном смысле слова	1	1
23	тем не менее в	1	1
24	один и тот же	3	1
25	и в самом деле	7	1
26	в самом деле не	1	1
27	в том числе и	2	1
28	мы имеем в виду	2	1
29	несмотря на то что	1	1
30	и в частности на	1	1
31	о своей любви к	1	1
32	хотя он и не	1	1
33	тем не менее и	1	1
34	может быть даже в	1	1
35	до сих пор не	2	1
36	с точки зрения ее	1	1
