N	3gram	Losev_Prob	Sovremen
1	мы не можем	2	6
2	с точки зрения	9	5
3	в зависимости от	3	4
4	не может быть	5	4
5	то же самое	17	2
6	во всяком случае	8	2
7	тем не менее	23	2
8	времени и пространства	1	2
9	в отличие от	2	2
10	мы можем назвать	1	2
11	в настоящее время	4	2
12	может быть и	3	2
13	он может быть	1	1
14	с ним или	1	1
15	есть не что	6	1
16	не было бы	3	1
17	всяком случае не	2	1
18	то ни было	4	1
19	и ни в	4	1
20	в том что	17	1
21	один и тот	1	1
22	на самом деле	5	1
23	как и во	1	1
24	но это уже	1	1
25	и есть не	1	1
26	до сих пор	4	1
27	нельзя говорить о	1	1
28	одной стороны и	1	1
29	мы говорим о	2	1
30	все более и	1	1
31	а может быть	2	1
32	прежде всего человек	1	1
33	в свое время	1	1
34	сами по себе	8	1
35	и тот же	1	1
36	в новое время	1	1
37	не что иное	6	1
38	в связи с	9	1
39	и все же	1	1
40	может быть в	1	1
41	в самом деле	1	1
42	но только не	1	1
43	какой бы то	1	1
44	дело в том	4	1
45	и в новое	1	1
46	тот факт что	1	1
47	и могут быть	1	1
48	той или иной	16	1
49	ясно что при	1	1
50	что иное как	6	1
51	в данном случае	12	1
52	как мы это	1	1
53	прежде всего мы	1	1
54	и не было	2	1
55	но все же	1	1
56	равно как и	2	1
57	ничего общего не	1	1
58	собою ясно что	1	1
59	и прежде всего	3	1
60	и той же	1	1
61	это значит что	8	1
62	но если мы	1	1
63	когда мы говорим	5	1
64	с одной стороны	2	1
65	одной и той	1	1
66	не в виде	1	1
67	можем ли мы	1	1
68	мы не знаем	2	1
69	и не можем	1	1
70	в известном смысле	1	1
71	более и более	1	1
72	в одном случае	4	1
73	так же как	3	1
74	быть и речи	1	1
75	и может быть	2	1
76	состоит из одной	1	1
77	общего не имеет	1	1
78	явлений и не	1	1
79	в то же	10	1
80	бы то ни	5	1
81	для чего же	2	1
82	возникновения и развития	1	1
83	на этот раз	3	1
84	на этот вопрос	1	1
85	но отнюдь не	2	1
86	само собою ясно	1	1
87	и в этом	6	1
88	по крайней мере	9	1
89	то он уже	1	1
90	те или иные	6	1
91	в этом случае	8	1
92	тот или иной	4	1
93	этого и не	1	1
94	и есть то	2	1
95	можно было бы	6	1
96	в этом смысле	5	1
97	когда мы ее	1	1
98	другое дело если	2	1
99	и в то	2	1
100	в себе в	2	1
101	и не может	1	1
102	ни о каком	2	1
103	сказать несколько слов	1	1
104	ровно ничего не	2	1
105	всяком случае такого	1	1
