N	2gram	Medvedev_B	Literetu
1	а не	1	50
2	и не	2	47
3	не только	1	46
4	и в	1	44
5	так и	1	22
6	прежде всего	1	19
7	с другой	1	17
8	в своей	1	12
9	в данном	1	12
10	еще не	1	12
11	что в	1	10
12	и на	1	10
13	отнюдь не	1	10
14	в области	1	10
15	все же	1	8
16	другой стороны	1	7
17	до конца	1	7
18	у нас	3	7
19	не было	1	6
20	было бы	1	6
21	в ней	2	6
22	далеко не	1	6
23	как будто	1	6
24	всего в	1	5
25	и нет	1	4
26	во всяком	1	4
27	не вполне	1	4
28	за пределы	1	4
29	в пределах	1	4
30	совершенно не	1	4
31	одной из	1	4
32	таким образом	1	4
33	вопрос о	1	3
34	установка на	1	3
35	крайней мере	1	3
36	говорить о	1	3
37	должна быть	1	3
38	можно было	2	3
39	по крайней	1	3
40	всяком случае	1	3
41	на самом	1	3
42	и потому	1	3
43	и о	1	3
44	художественного произведения	1	3
45	словесного творчества	1	2
46	значительной степени	1	2
47	тем более	1	2
48	для которой	1	2
49	и ее	1	2
50	литературы как	1	2
51	никак не	1	2
52	и более	1	2
53	в значительной	1	2
54	то как	1	2
55	его не	1	2
56	из своей	1	2
57	автора по	1	1
58	со всем	1	1
59	о них	1	1
60	о свободе	1	1
61	как таковому	1	1
62	точно и	1	1
63	точке зрения	1	1
64	о художественной	1	1
65	его функцией	1	1
66	так по	1	1
67	не о	1	1
68	будто бы	1	1
69	между ними	1	1
70	признать его	1	1
71	говорить об	1	1
72	также не	1	1
73	творчества и	1	1
74	свободная от	1	1
75	было и	1	1
76	и во	1	1
77	бы пожалуй	1	1
78	нашему мнению	1	1
79	выходит за	1	1
80	неудивительно что	1	1
81	все это	2	1
82	целиком в	1	1
83	теорию литературы	1	1
84	в эпоху	1	1
85	не со	1	1
86	более что	1	1
87	эпоху кризиса	1	1
88	не все	1	1
89	нельзя не	1	1
90	не следует	1	1
91	значение слова	1	1
92	в книге	1	1
93	к ней	1	1
94	по нашему	1	1
