N	3gram	Propp_Isto	Mirosoze
1	не может быть	8	28
2	в том что	6	9
3	но он не	1	9
4	для того чтобы	1	7
5	в высшей степени	1	7
6	и в этом	1	6
7	вместе с тем	7	6
8	и в нем	2	6
9	о том что	5	6
10	до сих пор	11	5
11	и вместе с	2	5
12	на этом пути	1	5
13	что и в	1	5
14	но и в	4	5
15	мы увидим что	8	5
16	прежде всего в	1	5
17	после того как	2	5
18	что он не	4	4
19	по отношению к	6	4
20	никогда не было	1	4
21	на то что	5	4
22	в то время	3	4
23	не что иное	3	4
24	потому что он	2	4
25	можно было бы	5	4
26	то время как	3	4
27	что иное как	3	4
28	она никогда не	1	3
29	как будто бы	2	3
30	может быть назван	2	3
31	том что он	1	3
32	он живет в	1	3
33	есть не что	2	3
34	к тому что	1	3
35	а не только	1	3
36	но это не	1	3
37	это значит что	1	3
38	и ничего не	1	3
39	так же как	6	3
40	в значительной степени	1	3
41	же как и	1	3
42	с тем что	3	3
43	это не значит	1	2
44	смысле этого слова	1	2
45	что она не	1	2
46	в этом направлении	1	2
47	не только в	5	2
48	превращает человека в	1	2
49	человека а не	1	2
50	и в конце	1	2
51	и тот кто	1	2
52	именно потому что	1	2
53	том что в	1	2
54	это означает что	1	2
55	ни к какому	1	2
56	в своей книге	1	2
57	тем что в	1	2
58	она не знает	2	2
59	к тому чтобы	1	2
60	всякий раз когда	1	2
61	подобно тому как	3	2
62	не могут быть	1	2
63	как бы его	1	2
64	никогда не может	1	2
65	т е в	1	2
66	в этом отношении	1	2
67	уже не только	1	2
68	в иной мир	7	2
69	всего этого не	1	1
70	только с одним	2	1
71	а может быть	2	1
72	все это не	1	1
73	в тот момент	3	1
74	они до сих	1	1
75	и т п	1	1
76	говорят о том	1	1
77	вступает в новый	1	1
78	не видит но	1	1
79	с культом предков	1	1
80	должно было бы	1	1
81	ключ к пониманию	1	1
82	раньше чем будет	1	1
83	что они не	1	1
84	но оно не	1	1
85	для этого нужно	1	1
86	ней так как	1	1
87	не значит что	1	1
88	но я не	1	1
89	они не могут	1	1
90	органической связи с	1	1
91	но они не	3	1
92	но и с	1	1
93	тогда и спрашивай	1	1
94	и есть то	1	1
95	друг на друга	1	1
96	что у него	1	1
97	что он был	1	1
98	сам по себе	1	1
99	этом он очень	1	1
100	не в том	1	1
101	друг с другом	3	1
102	в том случае	1	1
103	то же что	1	1
104	нас прежде всего	1	1
105	что он в	1	1
106	в зависимости от	3	1
107	вместо того чтобы	2	1
108	роль в жизни	1	1
109	его жалеет и	1	1
110	все же и	1	1
111	в отличие от	3	1
112	иначе не может	1	1
113	тех случаях когда	1	1
114	есть вместе с	1	1
115	играет огромную роль	1	1
116	мы хотели бы	1	1
117	в себе в	1	1
118	не знают какие	1	1
119	по сравнению со	1	1
120	не только у	1	1
121	с другой стороны	7	1
122	только тогда когда	1	1
123	но никогда не	1	1
124	но так как	2	1
125	могли бы быть	2	1
126	для него как	1	1
127	в тех случаях	1	1
128	должна быть признана	1	1
129	и глубже чем	1	1
130	в стороне от	1	1
131	в чистом виде	2	1
132	в действительности это	1	1
133	увидим что он	1	1
134	на земле что	1	1
135	я не думаю	1	1
136	должен был быть	1	1
137	лишь тогда когда	1	1
138	и общественное мнение	1	1
139	за то что	2	1
140	ставит его в	1	1
141	не только для	1	1
142	и должно быть	2	1
143	по существу своему	1	1
144	означает что у	1	1
145	это не так	1	1
146	с того что	3	1
147	а не как	1	1
148	а иногда и	1	1
149	в ту же	1	1
150	его отношения к	1	1
151	мог бы показать	1	1
152	в иных случаях	1	1
153	может ли он	1	1
154	ответ на это	1	1
155	только в этом	1	1
156	приводит нас к	1	1
157	и на ней	1	1
158	эпохи в которую	1	1
159	до тех пор	1	1
160	никогда не остается	1	1
161	так как будто	1	1
162	связано не с	1	1
163	на самом деле	2	1
164	того как он	2	1
165	не означает что	2	1
166	он прежде всего	1	1
167	решение этого вопроса	1	1
168	о его пути	1	1
169	также в значительной	1	1
170	ту же минуту	1	1
171	да и то	1	1
172	она и есть	1	1
173	мы имеем в	4	1
174	во всех этих	1	1
175	не сам по	1	1
176	только в начале	1	1
177	уже в иной	1	1
178	то мы имеем	1	1
179	хотя бы в	1	1
180	таит в себе	1	1
181	она лежит в	1	1
182	огромную роль в	1	1
183	это приводит нас	1	1
184	она может быть	1	1
185	момент когда он	1	1
186	и потому в	1	1
187	двойственность с одной	1	1
188	не дает никакой	1	1
189	и она не	1	1
190	приводит к себе	1	1
191	в нем и	1	1
192	с одной стороны	7	1
193	отец и мать	1	1
194	это потому что	1	1
195	что это за	5	1
196	чтобы получить от	1	1
197	не думаю чтобы	1	1
198	до конца и	1	1
199	может быть названо	1	1
200	это было бы	1	1
201	если бы не	1	1
