N	2gram	Berdyaev_N	Formalny
1	и в	16	95
2	и не	11	78
3	может быть	7	66
4	в этом	7	61
5	не может	16	57
6	и пр	3	53
7	и его	1	51
8	так и	2	50
9	в нем	5	42
10	в его	1	42
11	прежде всего	4	41
12	как и	7	39
13	в самом	1	35
14	не в	6	35
15	а не	17	34
16	но и	3	33
17	не только	5	30
18	в том	8	26
19	то что	4	25
20	в своей	3	24
21	лишь в	6	24
22	было бы	1	23
23	в ней	5	23
24	в то	2	22
25	и с	2	21
26	что в	9	21
27	в истории	3	21
28	с тем	3	20
29	не менее	4	20
30	и от	2	20
31	место в	2	20
32	по себе	1	19
33	хотя бы	2	19
34	не могут	1	19
35	все это	5	19
36	должна быть	3	18
37	только в	1	18
38	и все	4	18
39	с его	6	18
40	все эти	2	18
41	и их	1	18
42	социальной жизни	1	17
43	как в	3	17
44	во всяком	1	16
45	с другой	3	16
46	так же	2	16
47	всяком случае	1	16
48	потому что	4	16
49	все время	2	15
50	должно быть	4	15
51	с другими	1	15
52	во всех	3	15
53	и на	2	15
54	так как	1	15
55	но в	2	15
56	в жизни	5	14
57	в своем	1	14
58	в ее	3	14
59	в этой	1	14
60	что он	1	14
61	вместе с	2	14
62	еще не	3	14
63	и потому	4	14
64	жизни и	8	14
65	тем что	1	13
66	ни в	6	13
67	могут быть	2	13
68	для них	1	13
69	она не	3	13
70	а в	2	13
71	уже не	2	12
72	к тому	3	12
73	как это	2	12
74	оно не	1	12
75	того чтобы	2	12
76	и для	4	12
77	никогда не	6	11
78	лишь для	1	11
79	зависимости от	1	11
80	они не	1	11
81	это и	2	11
82	в основе	3	11
83	но не	2	11
84	в большинстве	1	11
85	другой стороны	2	10
86	конечно не	3	10
87	в зависимости	1	10
88	не было	4	10
89	большинстве случаев	1	10
90	не есть	3	10
91	он не	8	10
92	с ее	5	10
93	друг друга	1	10
94	формы и	2	10
95	мы не	2	10
96	по существу	2	10
97	и даже	2	9
98	говорить о	1	9
99	но ведь	1	9
100	совсем не	12	9
101	в свою	1	9
102	и до	1	9
103	но это	6	9
104	от всех	1	9
105	менее всего	1	9
106	у нас	1	9
107	и к	5	8
108	в них	4	8
109	одной стороны	2	8
110	с одной	2	8
111	же как	2	8
112	сих пор	1	8
113	до сих	1	8
114	и должно	2	8
115	с этим	2	8
116	роль в	2	8
117	не должна	1	8
118	это не	4	8
119	должен быть	5	8
120	для того	1	8
121	в области	1	8
122	для этого	2	8
123	в той	1	7
124	же и	1	7
125	но все	1	7
126	становится в	1	7
127	сказать что	3	7
128	в сущности	1	7
129	из них	1	7
130	от этого	1	7
131	совершается в	1	7
132	значение и	1	7
133	в себе	2	7
134	не на	1	7
135	творчества и	1	7
136	сами по	1	7
137	жизни в	3	7
138	том что	2	7
139	высшей степени	6	7
140	ничем не	1	7
141	он и	1	7
142	и более	1	7
143	в высшей	6	7
144	и только	1	7
145	в этих	1	6
146	их в	1	6
147	о том	4	6
148	познания и	2	6
149	по преимуществу	1	6
150	в которой	1	6
151	но для	2	6
152	в конце	1	6
