N	3gram	Savitsky_E	Vvedenie
1	и т д	1	39
2	для того чтобы	5	22
3	в том что	6	15
4	не может быть	2	10
5	в этом смысле	3	10
6	но также и	1	10
7	с течением времени	2	7
8	в применении к	3	6
9	в то же	15	6
10	то же время	14	6
11	на этот вопрос	1	5
12	с другой стороны	2	5
13	во всяком случае	3	5
14	с точки зрения	16	4
15	по сравнению с	2	4
16	само по себе	4	4
17	можно было бы	3	4
18	не только в	4	4
19	в данном случае	2	4
20	в отличие от	1	4
21	с одной стороны	8	4
22	в этом отношении	3	4
23	и в этом	4	4
24	одной стороны и	6	3
25	той или иной	4	3
26	большей или меньшей	1	3
27	заключается в том	2	3
28	можно сказать что	3	3
29	дело в том	1	3
30	но в то	2	3
31	как мы видели	2	3
32	тех или иных	1	3
33	с тем что	1	3
34	также и в	1	3
35	в известном смысле	3	3
36	можно представить себе	1	2
37	в свою очередь	2	2
38	т е не	1	2
39	в значительной мере	1	2
40	имеют дело с	1	2
41	и со стороны	2	2
42	этой точки зрения	5	2
43	хотя бы и	3	2
44	что же касается	1	2
45	с этой точки	5	2
46	между ними и	2	2
47	только в том	2	2
48	не говоря уже	2	2
49	сильнее чем в	1	2
50	смысле этого слова	1	2
51	в соответствии с	1	2
52	что в этом	1	2
53	и того же	1	2
54	не могут быть	1	2
55	в связи с	1	2
56	во второй половине	2	2
57	одного и того	1	2
58	вовсе не в	1	2
59	а также и	1	2
60	может быть и	1	2
61	в ряде случаев	1	1
62	в той или	3	1
63	прошлом и настоящем	1	1
64	в том же	1	1
65	о котором мы	1	1
66	которая как мы	1	1
67	это может быть	1	1
68	или иной степени	1	1
69	значение только в	1	1
70	науки с этой	1	1
71	но и в	1	1
72	в известных пределах	2	1
73	со стороны тех	1	1
74	в том смысле	1	1
75	или иных областей	1	1
76	что из числа	1	1
77	то или иное	1	1
78	в гораздо большей	1	1
79	но какой бы	1	1
80	а именно в	1	1
81	и не в	1	1
82	в разных отраслях	1	1
83	ответить на этот	1	1
84	в том числе	1	1
85	его историческом и	1	1
86	он мог бы	1	1
87	в духовной жизни	1	1
88	том что обе	1	1
89	говорить о том	1	1
90	связи с этим	1	1
91	и для того	1	1
92	этот вопрос мы	1	1
93	более или менее	1	1
94	в лучшем случае	1	1
95	в качестве примера	1	1
96	в европе и	1	1
97	того или иного	4	1
98	в частности в	2	1
99	в большей или	1	1
100	все эти области	1	1
101	при известных условиях	1	1
102	говоря уже о	1	1
103	в самом процессе	1	1
104	при помощи которого	1	1
105	своих потребностей в	1	1
106	в определенном смысле	2	1
107	о том насколько	1	1
108	именно потому что	1	1
109	на то или	1	1
110	сказать что в	2	1
111	того что в	2	1
112	по своему характеру	2	1
113	в их развитии	1	1
114	прежде всего к	2	1
115	так же как	5	1
116	или меньшей степени	1	1
117	во многих случаях	1	1
118	и прежде всего	3	1
119	не быть в	1	1
120	тот же язык	1	1
121	по себе не	2	1
122	что наряду с	1	1
123	уже и сейчас	1	1
124	следует толковать в	1	1
125	человеческой культуры в	1	1
126	несомненно представляет собой	1	1
127	то ни было	4	1
128	не может не	1	1
129	представление о том	1	1
130	заключает в себе	3	1
131	же время в	1	1
132	к тому что	1	1
133	та или иная	1	1
134	бы то ни	4	1
135	между прочим и	2	1
136	ту или иную	3	1
137	из того что	2	1
138	том смысле что	1	1
139	только тогда когда	1	1
140	в значительной степени	1	1
141	прежде всего в	2	1
142	то что в	2	1
143	но от этого	1	1
